"name","type"
"A0A182G6N9","protein"
"aal-mir-87","miRNA"
"Reverse transcriptase RNA-dependent DNA polymerase and Multifunctional anion exchangers","enriched term"
"A0A182GC69","protein"
"A0A182GEI8","protein"
"A0A182GQQ4","protein"
"A0A182H7E8","protein"
"A0A182H9B0","protein"
"A0A182HDI8","protein"
"A0A182G4U6","protein"
"aal-mir-1951","miRNA"
"BTB And C-terminal Kelch","enriched term"
"A0A182GDY7","protein"
"A0A182GYP6","protein"
"A0A182G2Q1","protein"
"aal-mir-4728-5p","miRNA"
"Processing of Intronless Pre-mRNAs","enriched term"
"A0A182GIN2","protein"
"A0A182GK16","protein"
"A0A182GMD7","protein"
"A0A182HDC1","protein"
"A0A023ECJ9","protein"
"Intracellular","enriched term"
"A0A023EFS1","protein"
"A0A023EIB6","protein"
"A0A023EJQ3","protein"
"A0A023EK43","protein"
"A0A023EMA3","protein"
"A0A023EPY3","protein"
"A0A023EQE1","protein"
"A0A023ETF7","protein"
"A0A182G0N5","protein"
"A0A182G0T6","protein"
"A0A182G151","protein"
"A0A182G2A3","protein"
"A0A182G2Y4","protein"
"A0A182G3H6","protein"
"A0A182G3N7","protein"
"A0A182G4S8","protein"
"A0A182G598","protein"
"A0A182G5Z9","protein"
"A0A182G6N6","protein"
"A0A182G786","protein"
"A0A182G7F5","protein"
"A0A182GD72","protein"
"A0A182GDI3","protein"
"A0A182GDP6","protein"
"A0A182GE26","protein"
"A0A182GE86","protein"
"A0A182GEC6","protein"
"A0A182GEG3","protein"
"A0A182GEP3","protein"
"A0A182GER1","protein"
"A0A182GG23","protein"
"A0A182GH02","protein"
"A0A182GHU9","protein"
"A0A182GJ49","protein"
"A0A182GKR1","protein"
"A0A182GLB9","protein"
"A0A182GLI1","protein"
"A0A182GLJ0","protein"
"A0A182GLV4","protein"
"A0A182GM05","protein"
"A0A182GMC1","protein"
"A0A182GMS9","protein"
"A0A182GP53","protein"
"A0A182GQ91","protein"
"A0A182GR14","protein"
"A0A182GRH9","protein"
"A0A182GRS0","protein"
"A0A182GS49","protein"
"A0A182GTM7","protein"
"A0A182GTN5","protein"
"A0A182GTQ3","protein"
"A0A182GUV4","protein"
"A0A182GV08","protein"
"A0A182GV15","protein"
"A0A182GV54","protein"
"A0A182GVH7","protein"
"A0A182GXI4","protein"
"A0A182GXK9","protein"
"A0A182GY18","protein"
"A0A182GZZ1","protein"
"A0A182H044","protein"
"A0A182H0X1","protein"
"A0A182H0Y8","protein"
"A0A182H146","protein"
"A0A182H338","protein"
"A0A182H345","protein"
"A0A182H3T2","protein"
"A0A182H443","protein"
"A0A182H4D2","protein"
"A0A182H4G7","protein"
"A0A182H540","protein"
"A0A182H556","protein"
"A0A182H5B1","protein"
"A0A182H5J7","protein"
"A0A182H5Q9","protein"
"A0A182H615","protein"
"A0A182H6P5","protein"
"A0A182H6W8","protein"
"A0A182H812","protein"
"A0A182H8T1","protein"
"A0A182H8W0","protein"
"A0A182H9A7","protein"
"A0A182HA79","protein"
"A0A182HAA9","protein"
"A0A182HB08","protein"
"A0A182HBL3","protein"
"A0A182HBZ8","protein"
"A0A182HC86","protein"
"A0A182HCT5","protein"
"A0A182HDF6","protein"
"A0A182HDP9","protein"
"A0A182HE06","protein"
"A0A182HE88","protein"
"A0A182HEJ7","protein"
"A0A182HFD9","protein"
"Response to chemical","enriched term"
"A0A182G2L9","protein"
"A0A182G4R2","protein"
"A0A182G8P0","protein"
"A0A182G9G7","protein"
"A0A182GIH3","protein"
"A0A182GL59","protein"
"A0A182GMX7","protein"
"A0A182GPT4","protein"
"A0A182H3V6","protein"
"A0A182H9E6","protein"
"A0A182G4I0","protein"
"aal-mir-193-5p","miRNA"
"Endonuclease-reverse transcriptase","enriched term"
"A0A182HB25","protein"
"A0A182HDJ1","protein"
"aal-mir-276-5p","miRNA"
"Nucleoplasm","enriched term"
"mRNA cleavage factor complex and Protein suppressor of sable-like","enriched term"
"A0A182G5M6","protein"
"aal-mir-970-3p","miRNA"
"Attenuation phase and Cyclosporin A binding","enriched term"
"A0A182G5Y8","protein"
"A0A182HB57","protein"
"A0A182GJU2","protein"
"aal-mir-622","miRNA"
"Cargo concentration in the ER","enriched term"
"A0A182GSS4","protein"
"A0A182H4Q0","protein"
"A0A182H4Q1","protein"
"A0A182H581","protein"
"Processing of Capped Intronless Pre-mRNA","enriched term"
"mRNA cleavage factor complex","enriched term"
"Response to organic substance","enriched term"
"A0A182GCB3","protein"
"Aspartic peptidase domain superfamily","enriched term"
"A0A182H373","protein"
"A0A182H681","protein"
"A0A182HEI5","protein"
"Kelch","enriched term"
"Kelch repeat","enriched term"
