microRNA	mRNA	energy	targetStart	targetEnd	score
aae-miR-305-5p	AALF011532-RA.1	-13.55	7142	7178	0.9995369109188371
aae-miR-305-5p	AALF017035-RA.1	-13.7	165	185	0.9995042383221198
aae-miR-305-5p	AALF024628-RA.1	-21.55	0	53	0.9946371065713489
aae-miR-305-5p	AALF024628-RA.1	-15.1	320	348	0.9982727760052879
aae-miR-305-5p	AALF023794-RA.1	-13.2	659	683	0.9995945844878189
aae-miR-305-5p	AALF025948-RA.1	-18.8	13419	13463	0.9999085322103831
aae-miR-305-5p	AALF026595-RA.1	-13.12	316	333	0.9997047154780253
aae-miR-305-5p	AALF005473-RA.1	-16.73	982	1021	0.9913130354954798
aae-miR-305-5p	AALF005473-RA.1	-11.92	1319	1354	0.9933852727765597
aae-miR-305-5p	AALF027855-RA.1	-20.5	473	518	0.9939341780151609
aae-miR-305-5p	AALF022731-RA.1	-17.02	110	130	0.9999066736343761
aae-miR-305-5p	AALF003816-RA.1	-14.44	231	282	0.9999066736343761
aae-miR-305-5p	AALF006898-RA.1	-12.7	665	685	0.999827220162893
aae-miR-305-5p	AALF001602-RA.1	-13.3	65	87	0.9988856328990686
aae-miR-305-5p	AALF007211-RA.1	-14.0	1780	1815	0.9987263388331683
aae-miR-305-5p	AALF007211-RA.1	-14.71	1989	2038	0.9910316732677434
aae-miR-305-5p	AALF027115-RA.1	-11.93	12179	12236	0.999903823114105
aae-miR-305-5p	AALF027115-RA.1	-13.0	12541	12567	0.9999066736343761
aae-miR-305-5p	AALF006046-RA.1	-12.94	567	631	0.9991255279071245
aae-miR-305-5p	AALF012319-RA.1	-17.9	1831	1860	0.9975767862478798
aae-miR-305-5p	AALF004512-RA.1	-15.8	72	105	0.9986635953158016
aae-miR-305-5p	AALF020781-RA.1	-11.91	53	105	0.9991255279071245
aae-miR-305-5p	AALF022037-RA.1	-16.9	3	21	0.9917596517300906
aae-miR-305-5p	AALF013075-RA.1	-13.0	431	448	0.9925178934198962
aae-miR-305-5p	AALF014226-RA.1	-15.1	6081	6102	0.999300086035647
aae-miR-305-5p	AALF011418-RA.1	-21.72	55	87	0.9958341067263433
aae-miR-305-5p	AALF004994-RA.1	-16.76	480	533	0.9992411068581416
aae-miR-305-5p	AALF014328-RA.1	-14.61	22	82	0.9996026550475953
aae-miR-305-5p	AALF027956-RA.1	-14.54	8	41	0.9990506458147298
aae-miR-305-5p	AALF009698-RA.1	-16.7	32	54	0.994365970370375
aae-miR-305-5p	AALF025689-RA.1	-12.9	545	580	0.9983121221595648
aae-miR-305-5p	AALF007203-RA.1	-16.19	356	396	0.9964237455922971
aae-miR-305-5p	AALF004782-RA.1	-13.71	18	55	0.9936019799500722
aae-miR-305-5p	AALF004782-RA.1	-14.24	761	828	0.9954268354218488
aae-miR-305-5p	AALF011530-RA.1	-12.74	555	576	0.9997404592565761
aae-miR-305-5p	AALF011530-RA.1	-13.5	784	820	0.9913130354954798
aae-miR-305-5p	AALF012962-RA.1	-14.31	1494	1552	0.9991255279071245
aae-miR-305-5p	AALF017917-RA.1	-16.25	386	424	0.999542114427819
aae-miR-305-5p	AALF017917-RA.1	-15.36	641	684	0.9988789552079719
aae-miR-305-5p	AALF003712-RA.1	-14.0	511	538	0.9964038713116642
aae-miR-305-5p	AALF011899-RA.1	-13.12	314	331	0.9997047154780253
aae-miR-305-5p	AALF028394-RA.1	-14.1	145	163	0.9954343792970568
aae-miR-305-5p	AALF007727-RA.1	-18.0	962	1004	0.9970513867332492
aae-miR-305-5p	AALF017448-RA.1	-16.26	97	142	0.9981877294702025
aae-miR-305-5p	AALF019989-RA.1	-17.85	140	192	0.9952102439243772
aae-miR-305-5p	AALF021891-RA.1	-15.04	1894	1917	0.9986635953158016
aae-miR-305-5p	AALF014393-RA.1	-13.48	7	56	0.9996026550475953
aae-miR-305-5p	AALF001920-RA.1	-12.72	299	354	0.9993553057591104
aae-miR-305-5p	AALF015551-RA.1	-15.8	267	311	0.999827220162893
aae-miR-305-5p	AALF007304-RA.1	-12.0	111	135	0.9997220707451848
aae-miR-305-5p	AALF009211-RA.1	-14.53	3	51	0.998427062078888
aae-miR-305-5p	AALF009267-RA.1	-13.52	163	189	0.9990506458147298
aae-miR-305-5p	AALF005248-RA.1	-11.8	788	804	0.999542114427819
aae-miR-305-5p	AALF009485-RA.1	-20.38	218	268	0.9997701136963609
aae-miR-305-5p	AALF000008-RA.1	-15.2	860	887	0.9998831872922551
aae-miR-305-5p	AALF008947-RA.1	-14.9	1452	1481	0.995731989920146
aae-miR-305-5p	AALF008947-RA.1	-13.6	5953	6013	0.999872643604338
aae-miR-305-5p	AALF008947-RA.1	-19.14	6548	6593	0.9983121221595648
aae-miR-305-5p	AALF012320-RA.1	-16.8	25	50	0.9943814619090738
aae-miR-305-5p	AALF010842-RA.1	-18.13	1356	1393	0.9981501508966895
aae-miR-305-5p	AALF003978-RA.1	-17.55	10053	10108	0.9954343792970568
aae-miR-305-5p	AALF003978-RA.1	-16.8	13687	13711	0.996850649177124
aae-miR-305-5p	AALF011049-RA.1	-16.0	7399	7437	0.9981066227642279
aae-miR-305-5p	AALF009696-RA.1	-15.8	173	207	0.9970513867332492
aae-miR-305-5p	AALF009696-RA.1	-12.52	224	296	0.9999069455947484
aae-miR-305-5p	AALF009524-RA.1	-20.3	837	856	0.9936445679852082
aae-miR-305-5p	AALF028432-RA.1	-13.2	194	219	0.9935824522042291
aae-miR-305-5p	AALF003235-RA.1	-18.82	441	473	0.9954343792970568
aae-miR-305-5p	AALF012689-RA.1	-18.3	70	102	0.9990993431307186
aae-miR-305-5p	AALF023790-RA.1	-21.41	3208	3259	0.9989485988749152
aae-miR-305-5p	AALF013111-RA.1	-12.5	1269	1297	0.9996416582974353
aae-miR-305-5p	AALF013220-RA.1	-16.73	148	179	0.9998891642392262
aae-miR-305-5p	AALF012171-RA.1	-13.1	311	342	0.999662466239951
aae-miR-305-5p	AALF028181-RA.1	-14.0	772	841	0.9997437628571144
aae-miR-305-5p	AALF028181-RA.1	-16.2	1037	1069	0.9970665999035643
aae-miR-305-5p	AALF000856-RA.1	-14.1	807	848	0.999438897650203
aae-miR-305-5p	AALF006511-RA.1	-16.2	10	36	0.9946371065713489
aae-miR-305-5p	AALF024828-RA.1	-16.4	507	540	0.999827220162893
aae-miR-305-5p	AALF024828-RA.1	-15.31	1830	1868	0.9953645917557098
aae-miR-305-5p	AALF014529-RA.1	-14.5	44	64	0.999827220162893
aae-miR-305-5p	AALF005891-RA.1	-12.0	95	122	0.9953645917557098
aae-miR-305-5p	AALF006996-RA.1	-15.4	551	578	0.9997576451508878
aae-miR-305-5p	AALF008414-RA.1	-14.12	945	979	0.9982727760052879
aae-miR-305-5p	AALF005095-RA.1	-16.7	3	28	0.9913130354954798
aae-miR-305-5p	AALF019571-RA.1	-16.05	414	456	0.9998348901162549
aae-miR-305-5p	AALF020090-RA.1	-13.92	546	573	0.9998500703859644
aae-miR-305-5p	AALF004881-RA.1	-19.7	344	368	0.9912891577468158
aae-miR-305-5p	AALF004881-RA.1	-18.3	2203	2224	0.998230352493474
aae-miR-305-5p	AALF008516-RA.1	-17.2	217	243	0.9918182125899107
aae-miR-305-5p	AALF020710-RA.1	-15.0	1234	1259	0.9926540628569914
aae-miR-305-5p	AALF009952-RA.1	-16.36	384	423	0.9997968919190114
aae-miR-305-5p	AALF009952-RA.1	-19.85	2629	2674	0.999542114427819
aae-miR-305-5p	AALF007520-RA.1	-11.3	2901	2930	0.9997632721224806
aae-miR-305-5p	AALF007520-RA.1	-13.04	8544	8584	0.999542114427819
aae-miR-305-5p	AALF007520-RA.1	-12.9	17435	17462	0.9988913929231196
aae-miR-305-5p	AALF004603-RA.1	-13.1	350	374	0.9909080166509677
aae-miR-305-5p	AALF004603-RA.1	-13.77	1120	1154	0.9989494403145492
aae-miR-305-5p	AALF012061-RA.1	-18.7	8	35	0.997699594861475
aae-miR-305-5p	AALF012061-RA.1	-15.15	778	825	0.9998500703859644
aae-miR-305-5p	AALF005028-RA.1	-14.27	477	519	0.9997017332403748
aae-miR-305-5p	AALF018452-RA.1	-14.7	337	369	0.9964237455922971
aae-miR-305-5p	AALF000066-RA.1	-12.24	15	92	0.9993915055214835
aae-miR-305-5p	AALF015971-RA.1	-13.29	117	164	0.9996890415410149
aae-miR-305-5p	AALF011618-RA.1	-18.5	1016	1045	0.9945769263105185
aae-miR-305-5p	AALF011160-RA.1	-12.9	1424	1450	0.9998630941228068
aae-miR-305-5p	AALF016231-RA.1	-18.1	905	927	0.9913130354954798
aae-miR-305-5p	AALF016231-RA.1	-18.1	4177	4199	0.9913130354954798
aae-miR-305-5p	AALF003867-RA.1	-14.0	512	539	0.9973468975011789
aae-miR-305-5p	AALF004127-RA.1	-12.5	1059	1097	0.9991255279071245
aae-miR-305-5p	AALF008473-RA.1	-13.8	40	59	0.9949081378772534
aae-miR-305-5p	AALF008473-RA.1	-14.8	2026	2048	0.999662466239951
aae-miR-305-5p	AALF022768-RA.1	-12.8	119	138	0.9913130354954798
aae-miR-305-5p	AALF020336-RA.1	-16.8	25	50	0.9943814619090738
aae-miR-305-5p	AALF012476-RA.1	-15.9	149	171	0.9913840838682595
aae-miR-305-5p	AALF008304-RA.1	-14.46	61	97	0.9998500703859644
aae-miR-305-5p	AALF012416-RA.1	-14.8	144	171	0.9982727760052879
aae-miR-305-5p	AALF014059-RA.1	-14.4	516	535	0.9954343792970568
aae-miR-305-5p	AALF025051-RA.1	-21.76	136	194	0.991800369624569
aae-miR-305-5p	AALF013063-RA.1	-18.5	43	67	0.9968628360143518
aae-miR-305-5p	AALF016653-RA.1	-16.65	4	57	0.9994617681861983
aae-miR-305-5p	AALF002233-RA.1	-15.5	3	31	0.9946506307319686
aae-miR-305-5p	AALF002233-RA.1	-14.6	1194	1215	0.999170822433293
aae-miR-305-5p	AALF002233-RA.1	-14.55	2735	2778	0.9996416582974353
aae-miR-305-5p	AALF007410-RA.1	-15.76	168	221	0.9990506458147298
aae-miR-305-5p	AALF014277-RA.1	-15.15	929	975	0.9985855684413323
aae-miR-305-5p	AALF019454-RA.1	-17.8	1547	1572	0.993489130836408
aae-miR-305-5p	AALF009951-RA.1	-13.1	4780	4806	0.999945112512645
aae-miR-305-5p	AALF017867-RA.1	-17.7	438	471	0.9954343792970568
aae-miR-305-5p	AALF011469-RA.1	-14.46	61	97	0.9998500703859644
aae-miR-305-5p	AALF007403-RA.1	-12.71	340	390	0.9998545138144042
aae-miR-305-5p	AALF020649-RA.1	-19.36	16	70	0.9982727760052879
aae-miR-305-5p	AALF013274-RA.1	-14.46	93	140	0.9998638502683371
aae-miR-305-5p	AALF008617-RA.1	-13.46	23	70	0.9974074793305302
aae-miR-305-5p	AALF026420-RA.1	-18.7	741	767	0.9970665999035643
aae-miR-305-5p	AALF002219-RA.1	-13.9	3087	3104	0.999827220162893
aae-miR-305-5p	AALF002219-RA.1	-14.42	7936	7960	0.9998500703859644
aae-miR-305-5p	AALF014643-RA.1	-18.0	373	406	0.9958526245579408
aae-miR-305-5p	AALF028274-RA.1	-18.5	237	272	0.9990663791074251
aae-miR-305-5p	AALF005400-RA.1	-20.9	28	49	0.9939250052371903
aae-miR-305-5p	AALF005400-RA.1	-13.62	692	717	0.9981877294702025
aae-miR-305-5p	AALF023879-RA.1	-16.7	317	339	0.9982727760052879
aae-miR-305-5p	AALF015068-RA.1	-14.11	113	149	0.9998424751845799
aae-miR-305-5p	AALF019196-RA.1	-16.35	7	57	0.9994713655050067
aae-miR-305-5p	AALF022820-RA.1	-18.09	48	97	0.9979701483350022
aae-miR-305-5p	AALF022820-RA.1	-13.9	189	214	0.9913130354954798
aae-miR-305-5p	AALF006607-RA.1	-17.14	81	102	0.998921835911512
aae-miR-305-5p	AALF004562-RA.1	-16.16	593	643	0.9985377895218716
aae-miR-305-5p	AALF014174-RA.1	-16.65	4	57	0.9994617681861983
aae-miR-305-5p	AALF020662-RA.1	-15.76	165	215	0.9991761137684413
aae-miR-305-5p	AALF020662-RA.1	-15.29	379	423	0.999970944766146
aae-miR-305-5p	AALF022816-RA.1	-15.02	384	407	0.9981877294702025
aae-miR-305-5p	AALF014956-RA.1	-17.05	183	216	0.9993180126536237
aae-miR-305-5p	AALF028309-RA.1	-12.2	222	243	0.9964237455922971
aae-miR-305-5p	AALF022918-RA.1	-16.02	1742	1765	0.9927754316751534
aae-miR-305-5p	AALF016081-RA.1	-14.0	232	263	0.9994507249069136
aae-miR-305-5p	AALF013164-RA.1	-15.11	392	461	0.9988401570093569
aae-miR-305-5p	AALF012626-RA.1	-22.3	837	876	0.9939250052371903
aae-miR-305-5p	AALF007683-RA.1	-15.44	4766	4830	0.9991761137684413
aae-miR-305-5p	AALF007683-RA.1	-12.46	10542	10589	0.9997437628571144
aae-miR-305-5p	AALF007683-RA.1	-13.14	16397	16416	0.9994405319838953
aae-miR-305-5p	AALF022347-RA.1	-17.53	492	533	0.9985132692427631
aae-miR-305-5p	AALF025039-RA.1	-17.52	299	367	0.9996078453317729
aae-miR-305-5p	AALF004132-RA.1	-11.8	370	392	0.999827220162893
aae-miR-305-5p	AALF017450-RA.1	-18.75	332	381	0.999542114427819
aae-miR-305-5p	AALF006673-RA.1	-17.24	147	197	0.9999751597889853
aae-miR-305-5p	AALF021337-RA.1	-15.8	64	97	0.9981877294702025
