"uniprot_id","species","mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"A0A182GCB3","Aedes albopictus","aal-mir-276-5p","IPR021109","Aspartic peptidase domain superfamily",4,28,1.71,0.73,0.0076,"RP20_CCG007416","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"InterPro",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H373","Aedes albopictus","aal-mir-276-5p","IPR021109","Aspartic peptidase domain superfamily",4,28,1.71,0.73,0.0076,"RP20_CCG010842","Uncharacterized protein.",NA,NA,NA,NA,"K02A2.6-like",NA,"RVT_1,rve,zf-H2C2","InterPro",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H681","Aedes albopictus","aal-mir-276-5p","IPR021109","Aspartic peptidase domain superfamily",4,28,1.71,0.73,0.0076,"RP20_CCG022561","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"K02A2.6-like",NA,"RVT_1,Retrotrans_gag,rve,zf-CCHC,zf-H2C2","InterPro",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182HEI5","Aedes albopictus","aal-mir-276-5p","IPR021109","Aspartic peptidase domain superfamily",4,28,1.71,0.73,0.0076,"RP20_CCG015806","Uncharacterized protein.",NA,NA,NA,NA,"K02A2.6-like",NA,"Asp_protease_2,RVT_1,rve,zf-CCHC","InterPro",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4U6","Aedes albopictus","aal-mir-276-5p","SM00875","BTB And C-terminal Kelch",3,13,1.92,0.79,0.0058,"RP20_CCG002972","BTB domain-containing protein.",NA,NA,NA,NA,"Galactose oxidase, central domain","IVNS1ABP","BACK,BTB,Kelch_1","SMART",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4U6","Aedes albopictus","aal-mir-1951","SM00875","BTB And C-terminal Kelch",3,13,2.2,1.31,0.00078,"RP20_CCG002972","BTB domain-containing protein.",NA,NA,NA,NA,"Galactose oxidase, central domain","IVNS1ABP","BACK,BTB,Kelch_1","SMART",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDY7","Aedes albopictus","aal-mir-276-5p","SM00875","BTB And C-terminal Kelch",3,13,1.92,0.79,0.0058,"RP20_CCG008258","BACK domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,"SMART",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDY7","Aedes albopictus","aal-mir-1951","SM00875","BTB And C-terminal Kelch",3,13,2.2,1.31,0.00078,"RP20_CCG008258","BACK domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,"SMART",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GYP6","Aedes albopictus","aal-mir-276-5p","SM00875","BTB And C-terminal Kelch",3,13,1.92,0.79,0.0058,"RP20_CCG018278","BTB domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,"SMART",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GYP6","Aedes albopictus","aal-mir-1951","SM00875","BTB And C-terminal Kelch",3,13,2.2,1.31,0.00078,"RP20_CCG018278","BTB domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,"SMART",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
