"uniprot_id","microRNA"
"A0A1S4FAZ9","aae-miR-276-5p"
"Q179N7","aae-miR-276-5p"
"A0A1S4F7M2","aae-miR-2945-3p"
"Q17D51","aae-miR-2945-3p"
"A0A1S4F037","aae-miR-2945-3p"
"Q17JX3","aae-miR-2945-3p"
"UPI000B783B59","aae-miR-2945-3p"
"Q17KB4","aae-miR-2945-3p"
"UPI000B77159C","aae-miR-2945-3p"
"UPI000B77FF3D","aae-miR-2945-3p"
"UPI000B76D7C1","aae-miR-2945-3p"
"UPI000B787803","aae-miR-2945-3p"
"Q17IM9","aae-miR-2945-3p"
"Q173S6","aae-miR-2945-3p"
"Q16FC5","aae-miR-2945-3p"
"Q176D1","aae-miR-2945-3p"
"Q16EA9","aae-miR-2945-3p"
"Q0IFW6","aae-miR-2945-3p"
"A0A1S4EZY5","aae-miR-2945-3p"
"Q17K00","aae-miR-2945-3p"
"Q177N4","aae-miR-2945-3p"
"A0A1S4FCD0","aae-miR-2945-3p"
"UPI000B775E31","aae-miR-2945-3p"
"UPI000B784BE4","aae-miR-2945-3p"
"A0A1S4FX10","aae-miR-2945-3p"
"UPI000B76DFD8","aae-miR-2945-3p"
"Q17GU4","aae-miR-2945-3p"
"UPI000B78C42B","aae-miR-2945-3p"
"A0A1S4F335","aae-miR-2945-3p"
"UPI000B770343","aae-miR-276-5p"
"UPI000B775E87","aae-miR-276-5p"
"A0A1S4G776","aae-miR-2945-3p"
"Q16PQ3","aae-miR-2945-3p"
"Q16ZQ0","aae-miR-2945-3p"
"Q17IF7","aae-miR-2945-3p"
"A0A1S4FNQ3","aae-miR-276-5p"
"Q16UG8","aae-miR-276-5p"
"Q16UG7","aae-miR-276-5p"
"Q16UG6","aae-miR-276-5p"
"Q17K45","aae-miR-276-5p"
"Q171F9","aae-miR-2945-3p"
"UPI000B774F9D","aae-miR-2945-3p"
"UPI000937E4E8","aae-miR-2945-3p"
"UPI000B7706AF","aae-miR-2945-3p"
"UPI000B798B44","aae-miR-2945-3p"
"UPI000B77AA48","aae-miR-2945-3p"
"Q17E15","aae-miR-2945-3p"
"Q16HG5","aae-miR-2945-3p"
"A0A0P6J6H6","aae-miR-2945-3p"
"A0A1S4F938","aae-miR-2945-3p"
"UPI000B77EBB8","aae-miR-2945-3p"
"Q1DGD9","aae-miR-2945-3p"
"Q16W86","aae-miR-2945-3p"
"UPI000B773AAC","aae-miR-2945-3p"
"UPI000B78E96A","aae-miR-2945-3p"
"Q17BB1","aae-miR-2945-3p"
"UPI000B785B32","aae-miR-276-5p"
"Q17C40","aae-miR-276-5p"
"A0A0P6ITV5","aae-miR-276-5p"
"Q17C42","aae-miR-276-5p"
"UPI000B78D693","aae-miR-276-5p"
"UPI000B77DA12","aae-miR-2945-3p"
"UPI000B773391","aae-miR-2945-3p"
"Q16U75","aae-miR-2945-3p"
