"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"A0A023EBS4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG021402","Uncharacterized protein; Belongs to the complex I LYR family.","Complex 1 LYR protein domain-containing protein",NA,"iron-sulfur cluster assembly",NA,"Complex1_LYR-like","LYRM4","Complex1_LYR","Complex 1 LYR protein domain","Complex 1 protein (LYR family)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023ECJ9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG026969","HIG1 domain-containing protein.","HIG1 domain-containing protein",NA,"mitochondrial respirasome assembly",NA,"Hypoxia induced protein conserved region","HIGD1C","HIG_1_N","Hypoxia induced protein, domain","Hypoxia induced protein conserved region","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023ED66","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004030","60S ribosomal protein L36; Belongs to the eukaryotic ribosomal protein eL36 family.","60S ribosomal protein L36",NA,"translation","structural constituent of ribosome","Belongs to the eukaryotic ribosomal protein eL36 family","RPL36","Ribosomal_L36e","Large ribosomal subunit protein eL36","Ribosomal protein L36e","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EDY3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG017449","Uncharacterized protein.","Protein with signal anchor",NA,NA,NA,NA,NA,"SPT_ssu-like",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EE18","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009017","Uncharacterized protein.",NA,NA,NA,NA,"Chromosome 19 open reading frame 12","C19orf12",NA,"Protein C19orf12","C19orf12-like protein","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EFH1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013111","MICOS complex subunit MIC13; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane.","MICOS complex subunit MIC13","Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane","cristae formation",NA,"Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane",NA,"QIL1","MICOS complex subunit Mic13","MICOS complex subunit MIC13, QIL1","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EFS1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010314","Putative fatty acid-binding protein fabp; Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family.","Fatty acid-binding protein, muscle","Binds fatty acids in a 1:1 molar ratio",NA,"lipid binding","Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family","FABP5","Lipocalin","Lipocalin/cytosolic fatty-acid binding domain","Lipocalin / cytosolic fatty-acid binding protein family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EGI5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012262","Putative secreted protein.","Protein MIX23",NA,NA,NA,"Caffeine-induced death protein 2","CCDC58","Cid2","Intermembrane space protein MIX23","Intermembrane space protein MIX23","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EIB6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003697","Putative gtp-binding protein.",NA,NA,"protein transport","GTP binding; GTPase activity","ADP-ribosylation factor family","RAB1A","Ras","Small GTPase","Ras family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EID3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG023467","Putative gtp-binding adp-ribosylation factor arf6 darf3; Belongs to the small GTPase superfamily. Arf family.","ADP-ribosylation factor-like protein 1",NA,"establishment of localization in cell; system development; vesicle-mediated transport","GTP binding; GTPase activity","Belongs to the small GTPase superfamily. Arf family","ARL1","Arf","Small GTPase superfamily, ARF/SAR type","ADP-ribosylation factor family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
