"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"J9EAF0","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"J9EAF0_AEDAE","AAEL017196-PA.",NA,NA,"protein processing","metalloendopeptidase activity","Peptidase family M13",NA,"Peptidase_M13,Peptidase_M13_N","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9EAN8","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"J9EAN8_AEDAE","AAEL010145-PC.",NA,"This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane","intracellular potassium ion homeostasis; intracellular sodium ion homeostasis; potassium ion import across plasma membrane; sodium ion export across plasma membrane","ATPase activator activity","Sodium / potassium ATPase beta chain","nrv2","Na_K-ATPase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HTV7","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL801114","AAEL017419-PA.","CCHC-type domain-containing protein",NA,NA,"nucleic acid binding; zinc ion binding","Zinc knuckle","CNBP","zf-CCHC,zf-CCHC_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0C745","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL000065","AAEL000065-PA.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding; zinc ion binding","zinc finger","HINFP","zf-C2H2,zf-C2H2_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0C7B1","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL000093","AAEL000093-PA.",NA,NA,"intracellular signal transduction","GTPase activator activity; zinc ion binding","Bruton's tyrosine kinase Cys-rich motif","RASA2","BTK,C2,PH,RasGAP","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IE98","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012979","AAEL012979-PA.",NA,NA,"axon guidance; imaginal disc-derived wing morphogenesis; ommatidial rotation; positive regulation of neurogenesis; R3/R4 cell differentiation; regulation of growth; regulation of plasma membrane bounded cell projection organization",NA,"Immunoglobulin domain",NA,"I-set","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IE99","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL012977","AAEL012977-PA.",NA,NA,NA,"protein kinase activity","Immunoglobulin domain",NA,"I-set","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IF14","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL007415","Multicopper oxidase; Belongs to the multicopper oxidase family.",NA,NA,"iron ion transport","copper ion binding; oxidoreductase activity","Belongs to the multicopper oxidase family","Lac2","Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IFC5","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL005895","AAEL005895-PA.",NA,NA,"axonogenesis; central nervous system development","heparin binding; transition metal ion binding","beta-amyloid precursor protein C-terminus","APLP2","APP_Cu_bd,APP_E2,APP_N,APP_amyloid,Beta-APP,Kunitz_BPTI","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IG29","Aedes aegypti","GO:0048856","Anatomical structure development",148,2924,0.3,0.92,2.84e-14,"AAEL003527","AAEL003527-PA.","Protein-lysine N-methyltransferase SMYD4","Protein-lysine N-methyltransferase. Monomethylates PRMT5, modulating its transcriptional activity. May also act as a histone methyltransferase. Plays a critical role in cardiac development. Acts as a key epigenetic regulator of gene expression during cardiac development via its dual activities as a methyltransferase and negative regulator of HDAC1","compound eye photoreceptor development; methylation","histone deacetylase binding; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","SET domain","SMYD4","SET,zf-MYND","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
