"uniprot_id","signature_description","interpro_description"
"Q16KJ5","Glycosyl transferase family 2","Glycosyltransferase 2-like"
"Q16PQ3","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family","Ribosomal protein eL8/eL30/eS12/Gadd45"
"Q17E15","RNA recognition motif","RNA recognition motif domain"
"Q17K45","DNA polymerase alpha subunit B N-terminal","DNA polymerase alpha, subunit B, N-terminal"
"Q16UG8","DNA polymerase alpha/epsilon subunit B","DNA polymerase alpha/delta/epsilon, subunit B"
"Q16KZ4","Glycosyl transferase family 2","Glycosyltransferase 2-like"
"Q17FE8","RNA recognition motif","RNA recognition motif domain"
"Q16HG5","RNA recognition motif","RNA recognition motif domain"
"J9HZV2","RNA recognition motif","RNA recognition motif domain"
"Q17DB8","Lin-28A-like, second zinc knuckle","Lin-28A-like, second zinc knuckle"
"Q16UG6","DNA polymerase alpha subunit B N-terminal","DNA polymerase alpha, subunit B, N-terminal"
