#node	identifier	category	term ID	term description
AAEL000053	7159.Q0C7A8	GO Process	GO:0006629	Lipid metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0006644	Phospholipid metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0006650	Glycerophospholipid metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0006793	Phosphorus metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0006796	Phosphate-containing compound metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0008152	Metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0009892	Negative regulation of metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0009894	Regulation of catabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0009895	Negative regulation of catabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0009987	Cellular process
AAEL000053	7159.Q0C7A8	GO Process	GO:0010506	Regulation of autophagy
AAEL000053	7159.Q0C7A8	GO Process	GO:0010507	Negative regulation of autophagy
AAEL000053	7159.Q0C7A8	GO Process	GO:0016311	Dephosphorylation
AAEL000053	7159.Q0C7A8	GO Process	GO:0019222	Regulation of metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0019637	Organophosphate metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0030258	Lipid modification
AAEL000053	7159.Q0C7A8	GO Process	GO:0031323	Regulation of cellular metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0031324	Negative regulation of cellular metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0031329	Regulation of cellular catabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0031330	Negative regulation of cellular catabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0044237	Cellular metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0044238	Primary metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0044255	Cellular lipid metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0046486	Glycerolipid metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0046488	Phosphatidylinositol metabolic process
AAEL000053	7159.Q0C7A8	GO Process	GO:0046839	Phospholipid dephosphorylation
AAEL000053	7159.Q0C7A8	GO Process	GO:0046856	Phosphatidylinositol dephosphorylation
AAEL000053	7159.Q0C7A8	GO Process	GO:0048519	Negative regulation of biological process
AAEL000053	7159.Q0C7A8	GO Process	GO:0048523	Negative regulation of cellular process
AAEL000053	7159.Q0C7A8	GO Process	GO:0050789	Regulation of biological process
AAEL000053	7159.Q0C7A8	GO Process	GO:0050794	Regulation of cellular process
AAEL000053	7159.Q0C7A8	GO Process	GO:0065007	Biological regulation
AAEL000053	7159.Q0C7A8	GO Process	GO:0071704	Organic substance metabolic process
AAEL000053	7159.Q0C7A8	GO Function	GO:0003824	Catalytic activity
AAEL000053	7159.Q0C7A8	GO Function	GO:0004438	phosphatidylinositol-3-phosphatase activity
AAEL000053	7159.Q0C7A8	GO Function	GO:0016787	Hydrolase activity
AAEL000053	7159.Q0C7A8	GO Function	GO:0016788	Hydrolase activity, acting on ester bonds
AAEL000053	7159.Q0C7A8	GO Function	GO:0016791	Phosphatase activity
AAEL000053	7159.Q0C7A8	GO Function	GO:0042578	Phosphoric ester hydrolase activity
AAEL000053	7159.Q0C7A8	GO Function	GO:0052744	Phosphatidylinositol monophosphate phosphatase activity
AAEL000053	7159.Q0C7A8	GO Function	GO:0052866	Phosphatidylinositol phosphate phosphatase activity
AAEL000053	7159.Q0C7A8	GO Component	GO:0005622	Intracellular anatomical structure
AAEL000053	7159.Q0C7A8	GO Component	GO:0005737	Cytoplasm
AAEL000053	7159.Q0C7A8	GO Component	GO:0110165	Cellular anatomical entity
AAEL000053	7159.Q0C7A8	STRING clusters	CL:10612	Mixed, incl. Inositol phosphate metabolism, and Inositol phosphate metabolic process
AAEL000053	7159.Q0C7A8	STRING clusters	CL:10613	Inositol phosphate metabolism, and Myotubularin family
AAEL000053	7159.Q0C7A8	STRING clusters	CL:10614	Inositol phosphate metabolism, and Myotubularin family
AAEL000053	7159.Q0C7A8	STRING clusters	CL:10616	Inositol phosphate metabolism, and PAS complex
