"name","type"
"Q17G54","protein"
"aae-miR-34-5p","miRNA"
"Q17G52","protein"
"A0A0P6J0D7","protein"
"A0A1S4FD07","protein"
"Q176R2","protein"
"UPI000B785995","protein"
"Q17BE2","protein"
"UPI000B79780A","protein"
"UPI000B785B5C","protein"
"Q179Z3","protein"
"A0A1S4G7G9","protein"
"Q17EZ8","protein"
"Q17EZ7","protein"
"A0A1S4F5I3","protein"
"UPI000B77B720","protein"
"aae-miR-5119-5p","miRNA"
"Q16ZY1","protein"
"Q16UW3","protein"
"Q17NJ1","protein"
"UPI000B782236","protein"
"UPI000B76E5E5","protein"
"UPI000B7776C9","protein"
"J9EAF0","protein"
"Q16QS7","protein"
"A0A1S4EUV1","protein"
"Q0C745","protein"
"UPI000B78D999","protein"
"UPI000B791FF5","protein"
"Q16EF2","protein"
"A0A1S4G248","protein"
"Q16G51","protein"
"Q16HZ9","protein"
"Q17CM5","protein"
"Q171W2","protein"
"A0A1S4G7M5","protein"
"Q175T9","protein"
"Q175T8","protein"
"UPI000B777752","protein"
"UPI000B76E93A","protein"
"Q17MX6","protein"
"Q17MX7","protein"
"Q17MX1","protein"
"UPI000B78E496","protein"
"UPI000B790AD5","protein"
"UPI000B791F85","protein"
"A0A1S4G779","protein"
"J9EBD1","protein"
"Q16KA6","protein"
"A0A0P6J4M7","protein"
"Q179A9","protein"
"UPI000B77E1A6","protein"
"A0A1S4FCG3","protein"
"Q177S2","protein"
"A0A1S4G149","protein"
"Q16H74","protein"
"Q16MK4","protein"
"A0A1S4FH10","protein"
"Q8MQU9","protein"
"Q171K9","protein"
"UPI000B799053","protein"
"UPI000B77D0FA","protein"
"UPI000B792947","protein"
"UPI000B76EEE3","protein"
"Q17KJ5","protein"
"UPI000B7935C2","protein"
"UPI000B78B2E9","protein"
"Q16P14","protein"
"UPI000B7821AD","protein"
"A0A1S4G7M0","protein"
"Q176T6","protein"
"Q176T7","protein"
"A0A0P6IVP9","protein"
"Q17ET2","protein"
"Q16RM1","protein"
"Q17NG8","protein"
"Q17NG1","protein"
"A0A1S4EWJ6","protein"
"Q16UD8","protein"
"UPI000B784315","protein"
"A0A0P6IVU8","protein"
"Q174H3","protein"
"Q16NS4","protein"
"UPI000B76F93D","protein"
"Q17HA9","protein"
"A0A411JKA7","protein"
"Q16KP5","protein"
"Q16YP6","protein"
"Q16LG8","protein"
"A0A0P6J4J0","protein"
"Q174W8","protein"
"A0A1S4FER6","protein"
"A0A1S4F8Q2","protein"
"Q17C39","protein"
"UPI000B76D631","protein"
"Q16GZ8","protein"
"Q16MJ6","protein"
"UPI000B7888F2","protein"
"Q172J0","protein"
"A0A1S4FGJ8","protein"
