"target_id","mfe","p_value","position","GU_seed","GU_flank"
"AAEL013846",-32.1,0.000537,47,0,2
"AAEL000075",-28.5,0.001047,11,0,3
"AAEL014289",-24.1,0.003332,6,0,1
"AAEL025460",-29.7,0.003481,144,0,3
"AAEL019661",-23.1,0.003587,2,0,3
"AAEL022932",-28.4,0.004096,11,0,1
"AAEL008221",-23.1,0.005141,9,0,1
"AAEL020893",-26.1,0.00517,13,0,2
"AAEL029093",-24.3,0.006485,35,0,3
"AAEL008234",-26.9,0.00661,95,0,2
"AAEL013518",-30,0.006852,307,0,2
"AAEL015552",-24,0.007404,2,0,1
"AAEL013098",-28.9,0.007578,179,0,1
"AAEL014040",-26.5,0.007987,21,0,3
"AAEL026114",-26.2,0.009512,27,0,0
"AAEL001787",-25.5,0.009606,12,0,3
"AAEL012388",-28.6,0.009652,74,0,1
"AAEL011967",-27.9,0.009926,112,0,0
"AAEL024670",-27.2,0.010036,90,0,2
"AAEL000714",-29.6,0.010119,175,0,0
"AAEL027737",-27.6,0.010133,45,0,1
"AAEL011325",-27,0.010219,78,0,0
"AAEL014760",-24.9,0.010685,1,0,1
"AAEL003564",-26.4,0.011169,59,0,0
"AAEL011382",-24.6,0.011248,62,0,0
"AAEL002191",-24.3,0.011723,4,0,1
"AAEL009801",-24.7,0.011838,26,0,2
"AAEL000937",-26.1,0.012381,51,0,0
"AAEL026846",-30.4,0.012536,91,0,1
"AAEL012084",-24.2,0.012545,20,0,2
"AAEL002912",-24.7,0.01279,5,0,1
"AAEL011193",-27.9,0.012841,162,0,2
"AAEL000008",-30.9,0.012884,77,0,1
"AAEL005355",-26.4,0.012927,1,0,2
"AAEL027034",-28,0.014078,183,0,2
"AAEL014244",-26.1,0.014411,28,0,1
"AAEL024330",-31.6,0.014484,22,0,0
"AAEL024236",-24.8,0.014874,62,0,0
"AAEL021467",-20.4,0.016124,2,0,0
"AAEL008839",-26.9,0.01633,15,0,2
"AAEL009342",-30.8,0.017109,215,0,3
"AAEL019798",-25.4,0.017358,73,0,3
"AAEL007508",-27.5,0.017434,163,0,1
"AAEL013453",-26.9,0.017699,101,0,2
"AAEL018195",-30,0.017751,283,0,3
"AAEL001099",-29.5,0.018254,4,0,0
"AAEL009924",-23.8,0.018279,1,0,0
"AAEL007303",-26.8,0.018297,16,0,3
"AAEL001969",-28.6,0.01893,154,0,2
"AAEL005445",-26,0.019323,54,0,1
"AAEL004712",-25.4,0.019482,91,0,3
"AAEL003473",-29,0.019769,345,0,2
"AAEL019580",-23.3,0.020642,41,0,1
"AAEL014644",-27.7,0.020783,256,0,0
"AAEL006587",-26.4,0.021623,46,0,2
"AAEL011022",-27.5,0.021948,45,0,3
"AAEL024941",-27.4,0.022124,201,0,1
"AAEL015216",-23.8,0.022173,42,0,3
"AAEL019425",-28.8,0.022479,101,0,2
"AAEL027512",-23.7,0.023155,61,0,0
"AAEL023309",-22.7,0.023666,22,0,2
"AAEL024756",-32.7,0.023946,49,0,1
"AAEL011702",-30.4,0.024203,739,0,3
"AAEL014051",-22.7,0.024443,4,0,1
"AAEL027396",-22.7,0.024443,4,0,1
"AAEL002812",-25.2,0.024559,82,0,0
"AAEL006415",-24.1,0.02488,71,0,1
"AAEL011890",-25.6,0.026053,44,0,2
"AAEL019709",-29.4,0.026486,33,0,1
"AAEL004668",-32.1,0.026603,383,0,0
"AAEL019682",-21.9,0.026781,2,0,0
"AAEL019694",-27.6,0.026925,214,0,2
"AAEL010797",-27.1,0.027263,37,0,2
"AAEL008662",-25,0.027445,83,0,1
"AAEL024347",-23.6,0.027626,25,0,0
"AAEL019486",-28,0.02797,48,0,0
"AAEL007052",-22.1,0.028202,21,0,0
"AAEL014840",-23.7,0.028696,18,0,2
"AAEL003377",-23.3,0.028817,1,0,2
"AAEL020461",-30.4,0.029521,610,0,1
"AAEL008392",-22.8,0.029779,38,0,3
"AAEL009731",-23.9,0.02993,3,0,2
"AAEL000805",-33.7,0.02994,357,0,0
"AAEL003542",-25.4,0.031304,24,0,3
"AAEL008163",-21.5,0.031405,13,0,1
"AAEL011887",-25.6,0.031516,83,0,0
"AAEL011105",-32.5,0.033255,22,0,3
"AAEL003211",-25.7,0.033685,16,0,3
"AAEL012383",-27.5,0.034095,338,0,2
"AAEL011475",-26.2,0.03435,31,0,1
"AAEL000026",-25.1,0.034542,121,0,2
"AAEL013156",-28.9,0.035115,418,0,1
"AAEL003801",-21.4,0.035169,1,0,0
"AAEL004734",-24.7,0.036871,61,0,2
"AAEL001134",-24.7,0.037739,132,0,2
"AAEL001177",-25.4,0.037852,92,0,1
"AAEL009789",-28.6,0.037854,35,0,2
"AAEL020804",-29.5,0.037947,509,0,1
"AAEL014594",-24.8,0.038001,81,0,2
"AAEL026813",-24.8,0.038001,81,0,2
"AAEL024451",-29.5,0.038246,508,0,1
"AAEL024750",-23.8,0.039691,86,0,2
"AAEL012349",-24.4,0.039757,76,0,1
"AAEL005850",-29.9,0.040212,255,0,2
"AAEL000199",-21.8,0.041226,1,0,2
"AAEL005437",-24.6,0.042439,6,0,1
"AAEL021199",-24.6,0.042439,6,0,1
"AAEL011624",-25.5,0.042539,98,0,0
"AAEL010464",-29.6,0.042582,121,0,1
"AAEL014347",-28.8,0.042759,524,0,3
"AAEL024673",-22,0.043214,27,0,0
"AAEL002790",-22.5,0.043519,32,0,0
"AAEL009850",-26.4,0.043984,90,0,2
"AAEL005143",-23.4,0.044946,90,0,1
"AAEL019451",-23.2,0.045251,3,0,2
"AAEL003883",-23.7,0.045594,51,0,2
"AAEL019576",-28.1,0.046243,267,0,0
"AAEL004034",-21.2,0.047358,3,0,1
"AAEL012266",-23.1,0.047384,17,0,1
"AAEL005287",-24.7,0.048145,156,0,0
"AAEL021152",-24.7,0.048145,156,0,0
"AAEL023206",-24.7,0.048145,156,0,0
"AAEL027714",-28.5,0.049822,194,0,3
"AAEL018208",-22.5,0.049907,1,0,3
