#node	identifier	domain_summary_url	annotation	other_names_and_aliases	kegg_id
AAEL000053	7159.Q0C7A8	AAEL000053-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=573:Pfam_Myotub-related(114|449)+	5563572,AAEL000053,AAEL000053-PA,Myotubularin-related protein 9,Q0C7A8,Q0C7A8_AEDAE,XM_001647811.1,XP_001647861,XP_001647861.1,aag:5563572	aag:5563572
AAEL000065	7159.Q0C745	AAEL000065-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=670:ZnF_C2H2(122|146)+ZnF_C2H2(160|184)+ZnF_C2H2(223|247)+ZnF_C2H2(263|287)+ZnF_C2H2(293|319)+ZnF_C2H2(323|345)+ZnF_C2H2(349|372)+ZnF_C2H2(378|400)+ZnF_C2H2(406|431)+ZnF_C2H2(439|462)+	5563619,AAEL000065,AAEL000065-PA,Histone H4 transcription factor,Q0C745,Q0C745_AEDAE,XM_001647875.1,XP_001647925,XP_001647925.1,aag:5563619	aag:5563619
AAEL000093	7159.Q0C7B1	AAEL000093-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=949:C2(1|108)+C2(201|323)+PH(658|760)+BTK(760|796)+	AAEL000093,AAEL000093-PA,Q0C7B1,Q0C7B1_AEDAE,XM_001647808.1,XP_001647858.1	
AAEL000242	7159.Q17PT9	AAEL000242-PA; Belongs to the potassium channel family.	https://smart.embl.de/smart/DDvec.cgi?smart=507:BTB(38|139)+Pfam_Ion_trans_2(339|424)+	5572028,AAEL000242,AAEL000242-PA,Q17PT9,Q17PT9_AEDAE,XM_001660084.1,XP_001660134,XP_001660134.1,aag:5572028	aag:5572028
AAEL000247	7159.Q17PU2	AAEL000247-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=383:Pfam_CS(6|77)+	5572025,AAEL000247,AAEL000247-PA,Dynein assembly factor 4, axonemal isoform X1,Q17PU2,Q17PU2_AEDAE,XM_001660081.1,XP_001660131,XP_001660131.1,aag:5572025	aag:5572025
AAEL000276	7159.Q17PN7	AAEL000276-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1499:LisH(821|853)+WD40(1071|1112)+WD40(1115|1156)+	2.7.11.1,5573755,AAEL000276,AAEL000276-PA,DDB1- and CUL4-associated factor 1,EC 2.7.11.1,Protein mahjong isoform X1,Q17PN7,Q17PN7_AEDAE,XM_001654734.1,XP_001654784.1,XP_021708369,aag:5573755	aag:5573755
AAEL000324	7159.Q17PG3	Tyrosine-protein kinase drl.	https://smart.embl.de/smart/DDvec.cgi?smart=535:Pfam_WIF(15|145)+TRANS(171|193)+TyrKc(269|524)+	2.7.10.1,5575168,AAEL000324,AAEL000324-PA,EC 2.7.10.1,Q17PG3,Q17PG3_AEDAE,RYK receptor-like tyrosine kinase,Tyrosine-protein kinase Dnt,Tyrosine-protein kinase drl,XM_001655496.1,XP_001655546.1,XP_021702281,aag:5575168	aag:5575168
AAEL000364	7159.Q17PI9	Glycine cleavage system H protein; The H protein shuttles the methylamine group of glycine from the P protein to the T protein; Belongs to the GcvH family.	https://smart.embl.de/smart/DDvec.cgi?smart=140:Pfam_GCV_H(18|138)+	AAEL000364,Glycine cleavage system H protein,Q17PI9,Q17PI9_AEDAE,XM_001655470.1,XP_001655520.1	
AAEL000397	7159.Q0IGF7	AAEL000397-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=369:	5576322,AAEL000397,AAEL000397-PA,Q0IGF7,Q0IGF7_AEDAE,XM_001656010.1,XP_001656060.1,XP_021710881,aag:5576322	aag:5576322
AAEL000431	7159.Q17PA7	AAEL000431-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=301:Pfam_SRR1(90|142)+	5577345,AAEL000431,AAEL000431-PA,Q17PA7,Q17PA7_AEDAE,SRR1-like protein,XM_001656372.1,XP_001656422,XP_001656422.1,aag:5577345	aag:5577345
