#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
UPI0007D32D50	7176.CPIJ013035-PA	7.03e-64	211	"KOG4441@1|root,KOG4441@2759|Eukaryota,38CWG@33154|Opisthokonta,3BH03@33208|Metazoa,3D1IW@33213|Bilateria,41XID@6656|Arthropoda,3SH7V@50557|Insecta,4500U@7147|Diptera,45GM3@7148|Nematocera"	33208|Metazoa	T	Kelch motif	KLHL18	"GO:0000151,GO:0002009,GO:0002165,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006807,GO:0007275,GO:0007444,GO:0007552,GO:0007560,GO:0008092,GO:0008150,GO:0008152,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009987,GO:0016567,GO:0019538,GO:0031461,GO:0031463,GO:0032446,GO:0032501,GO:0032502,GO:0032991,GO:0035239,GO:0035295,GO:0036211,GO:0042802,GO:0042803,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0046528,GO:0046529,GO:0046983,GO:0048513,GO:0048563,GO:0048569,GO:0048707,GO:0048729,GO:0048731,GO:0048856,GO:0051865,GO:0060429,GO:0060562,GO:0070647,GO:0071704,GO:1901564,GO:1902494,GO:1990234"	-	ko:K10455	-	-	-	-	"ko00000,ko04121"	-	-	-	"BACK,BTB,Kelch_1"
UPI0007D6C1CC	10224.XP_002740782.1	3.52e-146	463	"COG2801@1|root,KOG0017@2759|Eukaryota,38F42@33154|Opisthokonta,3BA5H@33208|Metazoa,3CWAK@33213|Bilateria"	33208|Metazoa	E	K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"Asp_protease_2,RVT_1,rve,zf-CCHC"
tr|A0A023EK43|A0A023EK43_AEDAL	7159.AAEL007383-PB	6.33e-117	339	"COG1528@1|root,KOG2332@2759|Eukaryota,3A3S9@33154|Opisthokonta,3BRZQ@33208|Metazoa,3D8HF@33213|Bilateria,4200B@6656|Arthropoda,3SN9E@50557|Insecta,45355@7147|Diptera,45K6E@7148|Nematocera"	33208|Metazoa	Q	"Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation"	Fer2LCH	"GO:0000041,GO:0002376,GO:0003674,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0006810,GO:0006811,GO:0006812,GO:0006826,GO:0006873,GO:0006875,GO:0006879,GO:0006880,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0007599,GO:0007610,GO:0007622,GO:0007623,GO:0007626,GO:0008043,GO:0008150,GO:0008198,GO:0009605,GO:0009607,GO:0009611,GO:0009620,GO:0009636,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0012505,GO:0019725,GO:0030001,GO:0030003,GO:0032501,GO:0032991,GO:0034220,GO:0034755,GO:0042060,GO:0042221,GO:0042381,GO:0042592,GO:0043167,GO:0043169,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0045087,GO:0045475,GO:0046872,GO:0046914,GO:0046916,GO:0048511,GO:0048512,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051235,GO:0051238,GO:0051641,GO:0051651,GO:0051704,GO:0051707,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0061687,GO:0065007,GO:0065008,GO:0070288,GO:0097286,GO:0097577,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098711,GO:0098739,GO:0098754,GO:0098771,GO:0099587,GO:1990461"	-	-	-	-	-	-	-	-	-	-	Ferritin
tr|A0A182GR14|A0A182GR14_AEDAL	7159.AAEL012600-PA	1.07e-168	479	"2E7AJ@1|root,2SDXC@2759|Eukaryota,3ABQX@33154|Opisthokonta,3BWEF@33208|Metazoa,3DC4U@33213|Bilateria,421JR@6656|Arthropoda,3SPPH@50557|Insecta,454FR@7147|Diptera,45KN0@7148|Nematocera"	33208|Metazoa	-	-	-	-	-	ko:K21548	-	-	-	-	"ko00000,ko03000"	-	-	-	-
tr|A0A182HDG6|A0A182HDG6_AEDAL	7159.AAEL005388-PA	0	913	"KOG4592@1|root,KOG4592@2759|Eukaryota,38BB7@33154|Opisthokonta,3BHXH@33208|Metazoa,3D0MH@33213|Bilateria,41YFX@6656|Arthropoda,3SJ6A@50557|Insecta,44XYD@7147|Diptera,45GT3@7148|Nematocera"	33208|Metazoa	S	deadenylation-dependent decapping of nuclear-transcribed mRNA	PATL1	"GO:0000288,GO:0000290,GO:0000291,GO:0000932,GO:0000956,GO:0002151,GO:0003674,GO:0003676,GO:0003723,GO:0003727,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006401,GO:0006402,GO:0006417,GO:0006725,GO:0006807,GO:0006996,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008187,GO:0008266,GO:0008340,GO:0008582,GO:0009056,GO:0009057,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010259,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0016043,GO:0016070,GO:0016071,GO:0016604,GO:0016605,GO:0016607,GO:0017148,GO:0019222,GO:0019439,GO:0022607,GO:0022613,GO:0022618,GO:0030371,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032991,GO:0033962,GO:0034046,GO:0034248,GO:0034249,GO:0034622,GO:0034641,GO:0034655,GO:0035770,GO:0036464,GO:0040008,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043928,GO:0043933,GO:0044085,GO:0044087,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0045182,GO:0045886,GO:0045926,GO:0046483,GO:0046700,GO:0048519,GO:0048523,GO:0048638,GO:0048640,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0051093,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051239,GO:0051241,GO:0051246,GO:0051248,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0060255,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070717,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1904396,GO:1904397,GO:1905809,GO:1990904,GO:2000026,GO:2000112,GO:2000113"	-	ko:K12617	"ko03018,map03018"	M00395	-	-	"ko00000,ko00001,ko00002,ko03019"	-	-	-	PAT1
tr|A0A182H3T1|A0A182H3T1_AEDAL	7070.TC002008-PA	4.18e-93	291	"COG2801@1|root,KOG0017@2759|Eukaryota,38F42@33154|Opisthokonta,3BA5H@33208|Metazoa,3CWAK@33213|Bilateria,41WI3@6656|Arthropoda,3SIRK@50557|Insecta"	33208|Metazoa	O	K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"Baculo_F,RVT_1,rve,zf-H2C2"
UPI0007D56640	7159.AAEL007376-PA	0	1809	"28KDT@1|root,2QSUK@2759|Eukaryota,38DVR@33154|Opisthokonta,3BEDV@33208|Metazoa,3CT7J@33213|Bilateria,41XI9@6656|Arthropoda,3SJ4M@50557|Insecta,452H3@7147|Diptera,45FX4@7148|Nematocera"	33208|Metazoa	S	zinc finger	ZNF608	"GO:0000122,GO:0000902,GO:0000904,GO:0002009,GO:0002165,GO:0002682,GO:0002683,GO:0002694,GO:0002695,GO:0003002,GO:0003674,GO:0003712,GO:0003714,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0006928,GO:0006935,GO:0007154,GO:0007162,GO:0007275,GO:0007389,GO:0007399,GO:0007409,GO:0007411,GO:0007412,GO:0007444,GO:0007447,GO:0007450,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0007610,GO:0007626,GO:0008150,GO:0008345,GO:0008589,GO:0009605,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009953,GO:0009966,GO:0009968,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010646,GO:0010648,GO:0016043,GO:0019219,GO:0019222,GO:0022008,GO:0022407,GO:0022408,GO:0023051,GO:0023057,GO:0030030,GO:0030154,GO:0030155,GO:0030182,GO:0030537,GO:0031175,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0033081,GO:0033085,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035222,GO:0035239,GO:0035295,GO:0040008,GO:0040011,GO:0042221,GO:0042330,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0045570,GO:0045580,GO:0045581,GO:0045595,GO:0045596,GO:0045619,GO:0045620,GO:0045879,GO:0045892,GO:0045934,GO:0046620,GO:0048190,GO:0048468,GO:0048513,GO:0048519,GO:0048523,GO:0048563,GO:0048569,GO:0048583,GO:0048585,GO:0048638,GO:0048666,GO:0048667,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0050863,GO:0050865,GO:0050866,GO:0050868,GO:0050896,GO:0051093,GO:0051171,GO:0051172,GO:0051239,GO:0051241,GO:0051249,GO:0051250,GO:0051252,GO:0051253,GO:0060255,GO:0060429,GO:0060562,GO:0061564,GO:0065007,GO:0071840,GO:0080090,GO:0097485,GO:0120036,GO:0120039,GO:0140110,GO:1902105,GO:1902106,GO:1902679,GO:1903037,GO:1903038,GO:1903506,GO:1903507,GO:1903706,GO:1903707,GO:2000026,GO:2000112,GO:2000113,GO:2001141"	-	ko:K10847	"ko01524,ko03420,map01524,map03420"	-	-	-	"ko00000,ko00001,ko03400"	-	-	-	-
tr|A0A182HCF0|A0A182HCF0_AEDAL	43151.ADAC008689-PA	1.75e-312	882	"KOG3777@1|root,KOG3777@2759|Eukaryota,38F0B@33154|Opisthokonta,3BAC8@33208|Metazoa,3CWP5@33213|Bilateria,41VCJ@6656|Arthropoda,3SKQN@50557|Insecta,44XGH@7147|Diptera,45BC1@7148|Nematocera"	33208|Metazoa	S	Zc3h12a-like Ribonuclease NYN domain	ZC3H12C	"GO:0000294,GO:0000932,GO:0000956,GO:0001101,GO:0001505,GO:0001558,GO:0001817,GO:0001818,GO:0001932,GO:0001933,GO:0001934,GO:0002230,GO:0002237,GO:0002253,GO:0002376,GO:0002429,GO:0002682,GO:0002683,GO:0002684,GO:0002694,GO:0002695,GO:0002697,GO:0002698,GO:0002757,GO:0002764,GO:0002768,GO:0002791,GO:0002792,GO:0002819,GO:0002820,GO:0002822,GO:0002823,GO:0002831,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003723,GO:0003729,GO:0003730,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004527,GO:0004532,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005783,GO:0005789,GO:0005791,GO:0005856,GO:0006139,GO:0006355,GO:0006357,GO:0006401,GO:0006402,GO:0006417,GO:0006464,GO:0006508,GO:0006725,GO:0006807,GO:0006937,GO:0006942,GO:0006950,GO:0006974,GO:0006979,GO:0007154,GO:0007162,GO:0007165,GO:0007166,GO:0007346,GO:0008016,GO:0008150,GO:0008152,GO:0008285,GO:0009056,GO:0009057,GO:0009267,GO:0009605,GO:0009607,GO:0009615,GO:0009617,GO:0009635,GO:0009636,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010468,GO:0010506,GO:0010508,GO:0010556,GO:0010557,GO:0010558,GO:0010562,GO:0010563,GO:0010564,GO:0010594,GO:0010595,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0010632,GO:0010634,GO:0010646,GO:0010647,GO:0010648,GO:0010656,GO:0010660,GO:0010883,GO:0010884,GO:0010941,GO:0010942,GO:0010948,GO:0012505,GO:0014070,GO:0016020,GO:0016032,GO:0016043,GO:0016070,GO:0016071,GO:0016579,GO:0016787,GO:0016788,GO:0017085,GO:0017091,GO:0017148,GO:0019048,GO:0019054,GO:0019219,GO:0019220,GO:0019222,GO:0019439,GO:0019538,GO:0019898,GO:0022407,GO:0022408,GO:0022603,GO:0022607,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030155,GO:0030162,GO:0030308,GO:0030334,GO:0030335,GO:0031090,GO:0031312,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031329,GO:0031331,GO:0031347,GO:0031348,GO:0031399,GO:0031400,GO:0031401,GO:0031667,GO:0031668,GO:0031669,GO:0031974,GO:0031981,GO:0031984,GO:0032088,GO:0032101,GO:0032102,GO:0032268,GO:0032269,GO:0032270,GO:0032386,GO:0032388,GO:0032496,GO:0032649,GO:0032651,GO:0032652,GO:0032675,GO:0032680,GO:0032689,GO:0032691,GO:0032692,GO:0032715,GO:0032720,GO:0032872,GO:0032874,GO:0032879,GO:0032880,GO:0032944,GO:0032945,GO:0032991,GO:0033157,GO:0033554,GO:0033993,GO:0034097,GO:0034248,GO:0034249,GO:0034599,GO:0034612,GO:0034641,GO:0034655,GO:0035198,GO:0035613,GO:0035690,GO:0035770,GO:0035821,GO:0035925,GO:0036211,GO:0036464,GO:0040008,GO:0040012,GO:0040017,GO:0042127,GO:0042129,GO:0042130,GO:0042149,GO:0042175,GO:0042221,GO:0042306,GO:0042307,GO:0042325,GO:0042326,GO:0042327,GO:0042406,GO:0042493,GO:0042594,GO:0042981,GO:0043021,GO:0043022,GO:0043030,GO:0043031,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043122,GO:0043124,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043370,GO:0043371,GO:0043408,GO:0043410,GO:0043412,GO:0043433,GO:0043487,GO:0043488,GO:0043900,GO:0043901,GO:0043903,GO:0043933,GO:0044003,GO:0044057,GO:0044068,GO:0044085,GO:0044092,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044788,GO:0044793,GO:0044827,GO:0044828,GO:0044877,GO:0045019,GO:0045069,GO:0045071,GO:0045428,GO:0045472,GO:0045580,GO:0045581,GO:0045595,GO:0045596,GO:0045597,GO:0045598,GO:0045600,GO:0045619,GO:0045620,GO:0045622,GO:0045623,GO:0045765,GO:0045766,GO:0045786,GO:0045822,GO:0045862,GO:0045893,GO:0045926,GO:0045930,GO:0045932,GO:0045934,GO:0045935,GO:0045936,GO:0045937,GO:0045944,GO:0045988,GO:0046483,GO:0046634,GO:0046636,GO:0046637,GO:0046639,GO:0046677,GO:0046685,GO:0046700,GO:0046822,GO:0046824,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048525,GO:0048583,GO:0048584,GO:0048585,GO:0050670,GO:0050672,GO:0050688,GO:0050691,GO:0050704,GO:0050706,GO:0050707,GO:0050708,GO:0050709,GO:0050710,GO:0050711,GO:0050713,GO:0050727,GO:0050728,GO:0050776,GO:0050777,GO:0050778,GO:0050779,GO:0050789,GO:0050792,GO:0050793,GO:0050794,GO:0050851,GO:0050852,GO:0050863,GO:0050865,GO:0050866,GO:0050868,GO:0050896,GO:0051046,GO:0051048,GO:0051049,GO:0051050,GO:0051051,GO:0051090,GO:0051093,GO:0051094,GO:0051128,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051222,GO:0051223,GO:0051224,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051248,GO:0051249,GO:0051250,GO:0051252,GO:0051253,GO:0051254,GO:0051259,GO:0051270,GO:0051272,GO:0051701,GO:0051702,GO:0051704,GO:0051707,GO:0051716,GO:0051726,GO:0051817,GO:0051851,GO:0055117,GO:0055118,GO:0060147,GO:0060149,GO:0060255,GO:0060341,GO:0060548,GO:0060964,GO:0060965,GO:0060966,GO:0060967,GO:0060968,GO:0060969,GO:0061013,GO:0061014,GO:0061157,GO:0061158,GO:0061980,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070201,GO:0070302,GO:0070304,GO:0070542,GO:0070555,GO:0070646,GO:0070647,GO:0070663,GO:0070664,GO:0070887,GO:0070920,GO:0071216,GO:0071219,GO:0071222,GO:0071229,GO:0071236,GO:0071243,GO:0071310,GO:0071345,GO:0071347,GO:0071356,GO:0071362,GO:0071396,GO:0071398,GO:0071407,GO:0071496,GO:0071704,GO:0071840,GO:0080090,GO:0080134,GO:0080135,GO:0090085,GO:0090087,GO:0090257,GO:0090304,GO:0090305,GO:0090316,GO:0090501,GO:0090502,GO:0090503,GO:0097159,GO:0097237,GO:0097327,GO:0098586,GO:0098827,GO:0140098,GO:1900015,GO:1900016,GO:1900117,GO:1900119,GO:1900165,GO:1900180,GO:1900182,GO:1900744,GO:1900745,GO:1901222,GO:1901223,GO:1901342,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901575,GO:1901700,GO:1901701,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902074,GO:1902075,GO:1902105,GO:1902106,GO:1902531,GO:1902532,GO:1902533,GO:1902680,GO:1902713,GO:1902714,GO:1902806,GO:1902807,GO:1903003,GO:1903037,GO:1903038,GO:1903311,GO:1903313,GO:1903320,GO:1903322,GO:1903426,GO:1903427,GO:1903506,GO:1903508,GO:1903522,GO:1903523,GO:1903530,GO:1903531,GO:1903555,GO:1903556,GO:1903706,GO:1903707,GO:1903798,GO:1903799,GO:1903827,GO:1903829,GO:1903900,GO:1903901,GO:1903935,GO:1903936,GO:1904018,GO:1904406,GO:1904467,GO:1904468,GO:1904589,GO:1904591,GO:1904636,GO:1904637,GO:1904950,GO:1904951,GO:1905952,GO:1905954,GO:1990868,GO:1990869,GO:1990904,GO:2000026,GO:2000045,GO:2000112,GO:2000113,GO:2000134,GO:2000145,GO:2000147,GO:2000316,GO:2000317,GO:2000319,GO:2000320,GO:2000377,GO:2000378,GO:2000379,GO:2000514,GO:2000515,GO:2000625,GO:2000627,GO:2000628,GO:2000630,GO:2001141"	-	ko:K18668	-	-	-	-	"ko00000,ko01000,ko03019"	-	-	-	RNase_Zc3h12a
tr|A0A182H556|A0A182H556_AEDAL	7159.AAEL001220-PA	0	4019	"COG5022@1|root,KOG4229@2759|Eukaryota,38DNN@33154|Opisthokonta,3BDWW@33208|Metazoa,3CWTT@33213|Bilateria,41UCC@6656|Arthropoda,3SHPJ@50557|Insecta,44YAC@7147|Diptera,45CDP@7148|Nematocera"	33208|Metazoa	Z	Domain in Myosin and Kinesin Tails	MYO7A	"GO:0000146,GO:0000166,GO:0000323,GO:0000902,GO:0000904,GO:0001654,GO:0001750,GO:0001754,GO:0001845,GO:0001917,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0002093,GO:0002139,GO:0002140,GO:0002164,GO:0002165,GO:0002168,GO:0003002,GO:0003008,GO:0003674,GO:0003774,GO:0003779,GO:0003824,GO:0005488,GO:0005515,GO:0005516,GO:0005524,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005773,GO:0005774,GO:0005829,GO:0005856,GO:0005886,GO:0005902,GO:0005903,GO:0005929,GO:0005938,GO:0006810,GO:0006886,GO:0006897,GO:0006909,GO:0006928,GO:0006996,GO:0007010,GO:0007015,GO:0007033,GO:0007040,GO:0007154,GO:0007165,GO:0007275,GO:0007389,GO:0007399,GO:0007423,GO:0007444,GO:0007455,GO:0007469,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0007591,GO:0007600,GO:0007601,GO:0007605,GO:0008092,GO:0008104,GO:0008134,GO:0008144,GO:0008150,GO:0008363,GO:0008407,GO:0008544,GO:0008586,GO:0009653,GO:0009790,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009913,GO:0009987,GO:0015031,GO:0015629,GO:0015833,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016324,GO:0016459,GO:0016461,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017022,GO:0017076,GO:0017111,GO:0019904,GO:0022008,GO:0022416,GO:0022607,GO:0023052,GO:0030029,GO:0030030,GO:0030036,GO:0030048,GO:0030154,GO:0030182,GO:0030312,GO:0030507,GO:0030554,GO:0030855,GO:0030898,GO:0031090,GO:0031175,GO:0031410,GO:0031476,GO:0031477,GO:0031982,GO:0032027,GO:0032391,GO:0032420,GO:0032421,GO:0032501,GO:0032502,GO:0032528,GO:0032529,GO:0032553,GO:0032555,GO:0032559,GO:0032989,GO:0032991,GO:0033036,GO:0033059,GO:0034613,GO:0035017,GO:0035107,GO:0035114,GO:0035120,GO:0035182,GO:0035214,GO:0035220,GO:0035239,GO:0035293,GO:0035295,GO:0035315,GO:0035316,GO:0035317,GO:0035324,GO:0035639,GO:0035869,GO:0036094,GO:0040003,GO:0042303,GO:0042335,GO:0042337,GO:0042461,GO:0042462,GO:0042470,GO:0042471,GO:0042472,GO:0042490,GO:0042491,GO:0042600,GO:0042623,GO:0042802,GO:0042803,GO:0042886,GO:0042995,GO:0043005,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043473,GO:0043531,GO:0043583,GO:0044085,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044437,GO:0044441,GO:0044444,GO:0044446,GO:0044448,GO:0044459,GO:0044462,GO:0044463,GO:0044464,GO:0044877,GO:0045171,GO:0045172,GO:0045177,GO:0045178,GO:0045179,GO:0045180,GO:0045184,GO:0045202,GO:0045296,GO:0046530,GO:0046907,GO:0046983,GO:0047485,GO:0048468,GO:0048513,GO:0048562,GO:0048563,GO:0048568,GO:0048569,GO:0048592,GO:0048598,GO:0048666,GO:0048667,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048770,GO:0048800,GO:0048839,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050839,GO:0050877,GO:0050885,GO:0050896,GO:0050905,GO:0050953,GO:0050954,GO:0050957,GO:0051015,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0051716,GO:0051875,GO:0051904,GO:0051905,GO:0060088,GO:0060113,GO:0060117,GO:0060119,GO:0060122,GO:0060429,GO:0060562,GO:0060563,GO:0065007,GO:0070727,GO:0070825,GO:0070925,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0080171,GO:0090382,GO:0090596,GO:0090651,GO:0097159,GO:0097367,GO:0097435,GO:0097458,GO:0097708,GO:0097730,GO:0097731,GO:0097733,GO:0098588,GO:0098590,GO:0098657,GO:0098805,GO:0098852,GO:0098858,GO:0098862,GO:0099568,GO:0099738,GO:0120025,GO:0120036,GO:0120038,GO:1901265,GO:1901363,GO:1904970,GO:1990427,GO:1990435"	-	"ko:K10359,ko:K21868"	-	-	-	-	"ko00000,ko03036,ko04131,ko04812"	-	-	-	"FERM_M,IQ,MyTH4,Myosin_head,SH3_2"
tr|A0A182GK33|A0A182GK33_AEDAL	7159.AAEL010938-PA	1.85e-217	602	"COG1446@1|root,KOG1592@2759|Eukaryota,38JIS@33154|Opisthokonta,3BB1E@33208|Metazoa,3CRC6@33213|Bilateria,41XIG@6656|Arthropoda,3SFKJ@50557|Insecta,44XM8@7147|Diptera,45K7K@7148|Nematocera"	33208|Metazoa	E	Asparaginase	-	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006528,GO:0006530,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009066,GO:0009068,GO:0009987,GO:0016054,GO:0019752,GO:0032787,GO:0033345,GO:0034641,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044464,GO:0046395,GO:0071704,GO:0072329,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606"	3.4.19.5	ko:K13051	-	-	-	-	"ko00000,ko01000,ko01002"	-	-	-	Asparaginase_2
