"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"A0A0P6J0T1"," GPRGHP3","AAEL012796",5576812,"protein_coding","Aedes aegypti LVP_AGWG","1",0.77819,"GPCR Growth Hormone Releasing Hormone Family",36.79,2,351135,2049,3769,302,682,6
"Q17AJ3"," ","AAEL005281",5566213,"protein_coding","Aedes aegypti LVP_AGWG","1",3.095584,"",41.73,2,14404,2152,2616,222,242,4
"A0A1S4EVA2"," ","AAEL000242",5572028,"protein_coding","Aedes aegypti LVP_AGWG","1",5.749599,"voltage-gated potassium channel",36.79,6,544814,2742,6175,455,1753,13
"A0A1S4FBU7"," ","AAEL005832",5567109,"protein_coding","Aedes aegypti LVP_AGWG","1",22.373487,"programmed cell death",36.54,2,99373,1434,4356,492,1937,5
"Q17IL0"," ","AAEL002287",5574208,"protein_coding","Aedes aegypti LVP_AGWG","1",25.411777,"trans-prenyltransferase",38.17,3,328976,1566,5441,373,3130,9
"A0A0P6IVL3"," ","AAEL019481",5578376,"protein_coding","Aedes aegypti LVP_AGWG","1",38.53266,"",38.77,9,524610,3210,8176,528,3410,9
"A0A1S4FH10"," TOLL5A","AAEL007619",5569408,"protein_coding","Aedes aegypti LVP_AGWG","1",42.268258,"Toll-like receptor",40.69,2,20715,3024,4544,188,1143,3
"Q16GL8"," ","AAEL026297",5564186,"protein_coding","Aedes aegypti LVP_AGWG","1",42.620486,"",38.01,2,212489,3375,6046,517,896,6
"A0A0P6IWS8"," ","AAEL007465",5576274,"protein_coding","Aedes aegypti LVP_AGWG","1",45.935275,"",38.01,3,351555,10895,12712,529,758,8
"A0A1S4FQK8"," ","AAEL024184",5573523,"protein_coding","Aedes aegypti LVP_AGWG","1",50.887961,"",38.93,1,22943,3531,4328,568,229,5
"Q16ZY1"," ","AAEL008031",5569928,"protein_coding","Aedes aegypti LVP_AGWG","1",51.41415,"carbonic anhydrase",37.64,3,194701,1014,3230,374,1469,9
"Q16YQ3"," ","AAEL008465",5570651,"protein_coding","Aedes aegypti LVP_AGWG","1",53.374639,"gamma-tubulin complex component 3 (gcp-3)",42.32,1,9884,2670,3171,179,322,4
"Q16VR4"," ","AAEL009467",5571976,"protein_coding","Aedes aegypti LVP_AGWG","1",57.336178,"",39.91,1,72920,492,1753,414,847,3
"A0A0P6J5N2"," ","AAEL007388",5569126,"protein_coding","Aedes aegypti LVP_AGWG","1",60.809841,"",39.76,3,56595,1002,2770,661,1107,5
"A0A1S4G041"," ","AAEL013684",5578392,"protein_coding","Aedes aegypti LVP_AGWG","1",64.644151,"",36.34,8,100075,730,3538,180,2515,5
"J9EAF0"," ","AAEL020614",23687616,"protein_coding","Aedes aegypti LVP_AGWG","1",66.189175,"",37.98,2,406061,2841,5407,580,1129,12
"Q16UW3"," ","AAEL009778",5572388,"protein_coding","Aedes aegypti LVP_AGWG","1",67.63054,"",45.78,1,1018,330,975,387,129,2
"A0A0P6IZR0"," ","AAEL019586",5565116,"protein_coding","Aedes aegypti LVP_AGWG","1",70.056445,"",38.68,17,415182,9557,14098,992,3483,24
"A0A1S4G7U1"," ","AAEL019621",5576026,"protein_coding","Aedes aegypti LVP_AGWG","1",76.402618,"",41.31,2,18502,1696,2512,169,646,8
"A0A1S4FKX5"," ","AAEL008948",5571321,"protein_coding","Aedes aegypti LVP_AGWG","1",81.568316,"",43.76,1,2685,1209,2494,336,949,4
"Q17GP3"," ","AAEL002938",110673991,"protein_coding","Aedes aegypti LVP_AGWG","1",86.044899,"skd/vacuolar sorting",42.01,2,20367,1332,2371,114,844,6
"A0A1S4F358"," ","AAEL024786",110675833,"protein_coding","Aedes aegypti LVP_AGWG","1",86.105077,"",40.94,1,12977,861,3925,2,2184,4
"Q17GP4"," ","AAEL024800",110675839,"protein_coding","Aedes aegypti LVP_AGWG","1",86.131571,"",39.36,1,60139,861,3384,663,1860,5
"A0A1S4FNL8"," ","AAEL009871",5572545,"protein_coding","Aedes aegypti LVP_AGWG","1",91.868244,"80 kda MCM3-associated protein",44.21,1,11028,4515,4760,162,83,3
