"Gene ID","source_id","Organism","Gene Name or Symbol","Transcript Product Description","UniProt ID(s)"
"AAEL000001","AAEL000001-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUN3,Q0C738"
"AAEL000004","AAEL000004-RA","Aedes aegypti LVP_AGWG","N/A","glycosyltransferase","A0A1S4EUN4,Q0C786"
"AAEL000005","AAEL000005-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUN5"
"AAEL000005","AAEL000005-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUN7"
"AAEL000005","AAEL000005-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUN5,Q0C743,Q0C744"
"AAEL000006","AAEL000006-RC","Aedes aegypti LVP_AGWG","N/A","phosphoenolpyruvate carboxykinase","A0A1S4EUN6,Q0C737"
"AAEL000008","AAEL000008-RA","Aedes aegypti LVP_AGWG","N/A","WD and tetratricopeptide repeat protein","A0A1S4EUP3,Q0C729"
"AAEL000008","AAEL000008-RB","Aedes aegypti LVP_AGWG","N/A","WD and tetratricopeptide repeat protein","A0A1S4EUP3"
"AAEL000008","AAEL000008-RC","Aedes aegypti LVP_AGWG","N/A","WD and tetratricopeptide repeat protein","A0A1S4EUP3"
"AAEL000010","AAEL000010-RA","Aedes aegypti LVP_AGWG","Rpl36-1","60S ribosomal protein L36 [Source:UniProtKB/TrEMBL;Acc:Q1HR17]","Q1HR17"
"AAEL000011","AAEL000011-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000011","AAEL000011-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUP1,Q0C759"
"AAEL000012","AAEL000012-RA","Aedes aegypti LVP_AGWG","Gr6","gustatory receptor Gr6","A0A1S4EUP8,Q0C788"
"AAEL000013","AAEL000013-RB","Aedes aegypti LVP_AGWG","N/A","peptidyl-prolyl cis-trans isomerase (cyclophilin)","Q0C7A7"
"AAEL000016","AAEL000016-RA","Aedes aegypti LVP_AGWG","N/A","Esterase AAEL000016 [Source:UniProtKB/Swiss-Prot;Acc:Q0C7C4]","Q0C7C4"
"AAEL000017","AAEL000017-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q0C7B3,Q16Z64"
"AAEL000017","AAEL000017-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL000018","AAEL000018-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q0C750"
"AAEL000020","AAEL000020-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUQ4,Q0C779,Q16SG4"
"AAEL000021","AAEL000021-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUQ2,Q0C766,Q0C767"
"AAEL000022","AAEL000022-RA","Aedes aegypti LVP_AGWG","N/A","Proteasome assembly chaperone 2 [Source:UniProtKB/TrEMBL;Acc:A0A1S4EUQ1]","A0A1S4EUQ1,Q0C726"
"AAEL000024","AAEL000024-RA","Aedes aegypti LVP_AGWG","N/A","dopachrome-conversion enzyme (DCE), putative","Q0C7C7"
"AAEL000024","AAEL000024-RB","Aedes aegypti LVP_AGWG","N/A","dopachrome-conversion enzyme (DCE), putative","Q0C7C7"
"AAEL000024","AAEL000024-RC","Aedes aegypti LVP_AGWG","N/A","dopachrome-conversion enzyme (DCE), putative","Q0C7C7"
"AAEL000025","AAEL000025-RB","Aedes aegypti LVP_AGWG","N/A","phosphoenolpyruvate carboxykinase","A0A1S4EUP0,Q0C736"
"AAEL000026","AAEL000026-RA","Aedes aegypti LVP_AGWG","N/A","dynein light chain, putative","Q0C784"
"AAEL000027","AAEL000027-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUQ6,Q0C761,Q16E55"
"AAEL000028","AAEL000028-RA","Aedes aegypti LVP_AGWG","CLIPB34","Clip-Domain Serine Protease  family B.","Q1HRH0"
"AAEL000029","AAEL000029-RB","Aedes aegypti LVP_AGWG","N/A","dopachrome-conversion enzyme (DCE), putative","A0A1S4EUR6,Q0C7C6"
"AAEL000032","AAEL000032-RE","Aedes aegypti LVP_AGWG","RpS6","40S ribosomal protein S6 [Source:UniProtKB/Swiss-Prot;Acc:Q9U761]","A0A1S4EUR3,Q0C740,Q5D0W4,Q9U761"
"AAEL000033","AAEL000033-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUQ9,Q0C787"
"AAEL000035","AAEL000035-RB","Aedes aegypti LVP_AGWG","OBP57","odorant binding protein (Obp57)","A0A1S4EUS0,Q0C763"
"AAEL000036","AAEL000036-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUR9,Q0C768,Q1DGH2"
"AAEL000037","AAEL000037-RA","Aedes aegypti LVP_AGWG","CLIPB35","Clip-Domain Serine Protease  family B.","A0A1S4EUR7,Q0C799"
"AAEL000038","AAEL000038-RA","Aedes aegypti LVP_AGWG","CLIPB6","Clip-Domain Serine Protease  family B.","A0A1S4EUR4,Q0C796"
"AAEL000039","AAEL000039-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUS3,Q0C752"
"AAEL000041","AAEL000041-RA","Aedes aegypti LVP_AGWG","N/A","Forkhead box protein (AaegFOXM2) [Source:UniProtKB/TrEMBL;Acc:A0A1S4EUS5]","A0A1S4EUS5,Q0C754,Q1DGH4"
"AAEL000041","AAEL000041-RB","Aedes aegypti LVP_AGWG","N/A","Forkhead box protein (AaegFOXM2) [Source:UniProtKB/TrEMBL;Acc:A0A1S4EUS5]","N/A"
"AAEL000041","AAEL000041-RC","Aedes aegypti LVP_AGWG","N/A","Forkhead box protein (AaegFOXM2) [Source:UniProtKB/TrEMBL;Acc:A0A1S4EUS5]","N/A"
"AAEL000042","AAEL000042-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q0C727"
"AAEL000043","AAEL000043-RA","Aedes aegypti LVP_AGWG","N/A","gustatory receptor 64e, putative","Q0C794"
"AAEL000044","AAEL000044-RB","Aedes aegypti LVP_AGWG","N/A","ornithine decarboxylase","A0A1S4EUS8,Q0C731,Q0C732"
"AAEL000046","AAEL000046-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUS9,Q0C780,Q16SG5"
"AAEL000047","AAEL000047-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUS7,Q0C755"
"AAEL000048","AAEL000048-RB","Aedes aegypti LVP_AGWG","Gr4","gustatory receptor Gr4","A0A1S4EUS6,Q0C795"
"AAEL000049","AAEL000049-RA","Aedes aegypti LVP_AGWG","N/A","three prime repair exonuclease 1, putative","A0A1S4EUT2,Q0C7B5"
"AAEL000049","AAEL000049-RB","Aedes aegypti LVP_AGWG","N/A","three prime repair exonuclease 1, putative","N/A"
"AAEL000049","AAEL000049-RC","Aedes aegypti LVP_AGWG","N/A","three prime repair exonuclease 1, putative","N/A"
"AAEL000050","AAEL000050-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4EUT5,Q0C775"
"AAEL000051","AAEL000051-RA","Aedes aegypti LVP_AGWG","OBP3","odorant binding protein OBP3","A0A1S4EUT4,Q0C748"
"AAEL000053","AAEL000053-RA","Aedes aegypti LVP_AGWG","N/A","myotubularin","Q0C7A8"
