#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAEL000093	AAEL009377	7159.Q0C7B1	7159.Q16W03	0	0	0	0	0	0.088	0.227	0.229	0.408
AAEL000093	AAEL008371	7159.Q0C7B1	7159.Q16Z01	0	0	0	0.561	0.067	0	0.545	0.176	0.619
AAEL000093	AAEL002594	7159.Q0C7B1	7159.Q17HS6	0	0	0	0	0.074	0	0	0.747	0.755
AAEL000242	AAEL010821	7159.Q17PT9	7159.Q1HR99	0	0	0	0	0.265	0.334	0.214	0.042	0.582
AAEL000247	AAEL001340	7159.Q17PU2	7159.Q17LI9	0	0	0	0	0.144	0.054	0	0.384	0.457
AAEL000324	GPRFZ2	7159.Q17PG3	7159.Q174W8	0	0	0	0	0	0.069	0.900	0.143	0.913
AAEL000364	AAEL002188	7159.Q17PI9	7159.Q17J05	0.046	0	0	0	0.356	0	0	0.146	0.429
AAEL000364	AAEL002220	7159.Q17PI9	7159.Q17J06	0.046	0	0	0	0.356	0	0	0.146	0.429
AAEL000397	AAEL009448	7159.Q0IGF7	7159.Q16IF7	0	0	0	0	0	0.983	0.371	0.515	0.994
AAEL000489	AAEL013997	7159.Q17P09	7159.Q16HK0	0	0	0	0	0.067	0.173	0.281	0.135	0.455
AAEL000489	AAEL010643	7159.Q17P09	7159.Q16SB0	0	0.401	0	0	0.068	0.115	0.294	0	0.604
AAEL000489	AAEL009085	7159.Q17P09	7159.Q16WV5	0	0	0	0	0	0.073	0.381	0.079	0.425
AAEL000489	AAEL008622	7159.Q17P09	7159.Q16Y82	0	0	0.183	0.686	0	0.051	0.286	0.045	0.400
AAEL000489	AAEL007876	7159.Q17P09	7159.Q170K8	0	0	0	0.560	0	0.088	0.369	0.069	0.417
AAEL000489	AAEL007890	7159.Q17P09	7159.Q170K9	0	0	0	0	0	0.088	0.369	0.069	0.417
AAEL000489	AAEL002594	7159.Q17P09	7159.Q17HS6	0	0	0.096	0.887	0.073	0.123	0.371	0	0.476
AAEL000703	AAEL011536	7159.Q17NG8	7159.Q16PT5	0.170	0	0	0	0.141	0	0.783	0.516	0.915
AAEL000703	AAEL009838	7159.Q17NG8	7159.Q16UP5	0.231	0	0	0	0.840	0.150	0.979	0.653	0.999
AAEL000703	AAEL005766	7159.Q17NG8	7159.Q178U8	0.074	0	0	0	0.331	0.042	0	0.699	0.797
AAEL000868	AAEL000891	7159.Q17MX1	7159.Q17MX7	0	0.377	0	0	0	0	0	0.078	0.401
AAEL000868	AAEL000908	7159.Q17MX1	7159.Q17MX6	0	0.899	0	0	0	0	0	0.078	0.903
AAEL000891	AAEL000908	7159.Q17MX7	7159.Q17MX6	0	0.899	0	0	0	0	0	0	0.899
AAEL000951	J9HYQ9_AEDAE	7159.Q17MM5	7159.J9HYQ9	0	0	0	0	0.504	0.849	0.545	0.516	0.981
AAEL000951	AAEL010821	7159.Q17MM5	7159.Q1HR99	0.074	0	0	0	0.952	0.103	0	0.439	0.974
AAEL001005	Q1HR69_AEDAE	7159.Q17MI1	7159.Q1HR69	0	0	0	0	0.729	0.123	0.297	0.549	0.914
AAEL001104	AAEL009451	7159.Q17M42	7159.Q16VS2	0	0	0	0	0.042	0.308	0	0.188	0.414
AAEL001104	AAEL001951	7159.Q17M42	7159.Q6QNY2	0	0	0	0	0.042	0.308	0	0.188	0.414
AAEL001104	AAEL010821	7159.Q17M42	7159.Q1HR99	0	0	0	0	0	0.054	0	0.571	0.576
AAEL001273	AAEL010716	7159.Q17LP8	7159.Q16S36	0	0	0	0	0.392	0	0	0.442	0.646
AAEL001273	AAEL010584	7159.Q17LP8	7159.Q16SI7	0	0	0	0	0	0.084	0.665	0.130	0.709
AAEL001273	AAEL004651	7159.Q17LP8	7159.Q17C93	0	0	0	0	0.094	0.085	0.155	0.279	0.427
AAEL001454	J9E9F1_AEDAE	7159.Q17L67	7159.J9E9F1	0	0	0	0	0.069	0.274	0.213	0.062	0.434
AAEL001454	AAEL012259	7159.Q17L67	7159.Q16MM1	0	0	0	0	0.046	0.371	0	0.237	0.502
AAEL001454	AAEL011870	7159.Q17L67	7159.Q16NS4	0	0	0	0	0.094	0.848	0	0.421	0.913
AAEL001454	AAEL001468	7159.Q17L67	7159.Q17L66	0	0.735	0	0	0	0	0	0	0.735
AAEL001468	J9E9F1_AEDAE	7159.Q17L66	7159.J9E9F1	0	0	0	0	0.069	0.274	0.213	0.062	0.434
AAEL001468	AAEL012259	7159.Q17L66	7159.Q16MM1	0	0	0	0	0.046	0.371	0	0.237	0.502
AAEL001468	AAEL011870	7159.Q17L66	7159.Q16NS4	0	0	0	0	0.094	0.848	0	0.421	0.913
AAEL001482	AAEL004934	7159.Q17L13	7159.Q17BK4	0	0.899	0.371	0	0	0	0	0	0.934
AAEL001567	AAEL012723	7159.Q17KU1	7159.Q16L96	0	0	0	0	0.042	0.053	0	0.473	0.480
AAEL001643	J9E9F1_AEDAE	7159.Q17KJ5	7159.J9E9F1	0	0	0	0	0	0.274	0.213	0.062	0.417
AAEL001643	AAEL012057	7159.Q17KJ5	7159.Q16N85	0	0	0	0	0	0.508	0.371	0.274	0.755
AAEL001702	AAEL012707	7159.Q17KG8	7159.Q16LB3	0	0	0	0	0	0.110	0.266	0.174	0.413
AAEL001702	AAEL003733	7159.Q17KG8	7159.Q17EP1	0	0	0	0	0	0.110	0.266	0.174	0.413
AAEL001702	AAEL010821	7159.Q17KG8	7159.Q1HR99	0	0	0	0	0.054	0.355	0	0.126	0.420
AAEL001749	AAEL001755	7159.Q17K93	7159.Q17K92	0	0.895	0	0	0	0	0	0	0.895
AAEL001760	AAEL007876	7159.Q17K95	7159.Q170K8	0	0	0	0	0	0.300	0.213	0.045	0.427
AAEL001760	AAEL007890	7159.Q17K95	7159.Q170K9	0	0	0	0	0	0.300	0.213	0.045	0.427
AAEL001861	Q1HR69_AEDAE	7159.Q17JY3	7159.Q1HR69	0	0	0	0	0.074	0	0.562	0	0.577
AAEL001951	AAEL012057	7159.Q6QNY2	7159.Q16N85	0	0	0	0	0	0.378	0.129	0.106	0.473
AAEL001951	AAEL010061	7159.Q6QNY2	7159.Q16U10	0	0	0	0	0	0.271	0.141	0.131	0.408
AAEL001951	AAEL009085	7159.Q6QNY2	7159.Q16WV5	0	0	0	0	0	0.219	0.292	0	0.423
AAEL001951	AAEL002761	7159.Q6QNY2	7159.Q17H75	0	0	0	0	0.109	0.318	0.234	0.146	0.549
AAEL002162	AAEL002164	7159.Q17J25	7159.Q17J24	0	0.564	0	0	0	0	0	0	0.564
AAEL002162	AAEL002168	7159.Q17J25	7159.Q17J26	0	0.898	0	0	0	0	0	0	0.898
AAEL002164	AAEL002168	7159.Q17J24	7159.Q17J26	0	0.512	0	0	0	0	0	0	0.512
AAEL002169	AAEL007876	7159.Q17J27	7159.Q170K8	0	0	0	0	0	0.300	0.213	0.045	0.427
AAEL002169	AAEL007890	7159.Q17J27	7159.Q170K9	0	0	0	0	0	0.300	0.213	0.045	0.427
AAEL002188	J9E9F1_AEDAE	7159.Q17J05	7159.J9E9F1	0	0	0	0	0.499	0	0	0.101	0.530
AAEL002188	J9HFE1_AEDAE	7159.Q17J05	7159.J9HFE1	0	0	0	0	0.510	0	0	0.184	0.583
AAEL002188	AAEL012974	7159.Q17J05	7159.Q0IE94	0.046	0	0	0	0.356	0	0	0.146	0.429
AAEL002188	AAEL011890	7159.Q17J05	7159.Q16NR7	0	0	0	0	0.302	0.306	0	0.046	0.497
AAEL002188	AAEL010716	7159.Q17J05	7159.Q16S36	0.074	0	0	0	0.697	0	0	0.099	0.725
AAEL002188	AAEL008517	7159.Q17J05	7159.Q16YK5	0	0	0	0	0.510	0	0	0.184	0.583
AAEL002188	AAEL002813	7159.Q17J05	7159.Q17H51	0	0	0	0	0.769	0.789	0.531	0.338	0.982
AAEL002188	AAEL004457	7159.Q17J05	7159.Q1HRI9	0	0	0	0	0.284	0.067	0	0.273	0.471
AAEL002188	AAEL010821	7159.Q17J05	7159.Q1HR99	0	0	0	0	0.715	0	0	0.177	0.755
AAEL002220	J9E9F1_AEDAE	7159.Q17J06	7159.J9E9F1	0	0	0	0	0.499	0	0	0.101	0.530
AAEL002220	J9HFE1_AEDAE	7159.Q17J06	7159.J9HFE1	0	0	0	0	0.510	0	0	0.184	0.583
AAEL002220	AAEL012974	7159.Q17J06	7159.Q0IE94	0.046	0	0	0	0.356	0	0	0.146	0.429
AAEL002220	AAEL011890	7159.Q17J06	7159.Q16NR7	0	0	0	0	0.302	0.306	0	0.046	0.497
AAEL002220	AAEL010716	7159.Q17J06	7159.Q16S36	0.074	0	0	0	0.697	0	0	0.099	0.725
AAEL002220	AAEL008517	7159.Q17J06	7159.Q16YK5	0	0	0	0	0.510	0	0	0.184	0.583
AAEL002220	AAEL002813	7159.Q17J06	7159.Q17H51	0	0	0	0	0.769	0.789	0.531	0.338	0.982
AAEL002220	AAEL004457	7159.Q17J06	7159.Q1HRI9	0	0	0	0	0.284	0.067	0	0.273	0.471
AAEL002220	AAEL010821	7159.Q17J06	7159.Q1HR99	0	0	0	0	0.715	0	0	0.177	0.755
AAEL002287	AAEL004900	7159.Q17IL0	7159.Q17BN5	0	0	0	0.651	0	0	0.909	0.330	0.936
AAEL002308	AAEL009400	7159.Q17IM8	7159.Q16VZ3	0	0	0	0	0	0.307	0	0.532	0.661
AAEL002321	AAEL009947	7159.Q17IK5	7159.Q16UC4	0	0	0	0.584	0.068	0.127	0.064	0.356	0.443
AAEL002321	AAEL008371	7159.Q17IK5	7159.Q16Z01	0	0	0	0	0	0	0	0.637	0.637
AAEL002321	AAEL005741	7159.Q17IK5	7159.Q178X8	0	0	0	0	0.054	0.043	0.050	0.446	0.459
AAEL002594	AAEL013997	7159.Q17HS6	7159.Q16HK0	0	0	0	0	0	0.173	0.281	0.135	0.440
AAEL002594	AAEL010643	7159.Q17HS6	7159.Q16SB0	0	0.865	0	0	0	0	0	0	0.865
AAEL002594	AAEL009085	7159.Q17HS6	7159.Q16WV5	0	0	0	0	0	0.073	0.381	0.079	0.425
AAEL002594	AAEL008622	7159.Q17HS6	7159.Q16Y82	0	0	0.202	0.641	0	0.058	0.286	0.045	0.418
AAEL002594	AAEL007876	7159.Q17HS6	7159.Q170K8	0	0	0	0	0	0.088	0.369	0.069	0.417
AAEL002594	AAEL007890	7159.Q17HS6	7159.Q170K9	0	0	0	0	0	0.088	0.369	0.069	0.417
AAEL002754	AAEL007876	7159.Q17HA9	7159.Q170K8	0	0	0	0	0	0.361	0.240	0.082	0.515
AAEL002754	AAEL007890	7159.Q17HA9	7159.Q170K9	0	0	0	0	0	0.361	0.240	0.082	0.515
AAEL002761	AAEL014901	7159.Q17H75	7159.Q16F46	0	0	0	0	0	0.128	0.382	0.062	0.450
AAEL002761	AAEL009451	7159.Q17H75	7159.Q16VS2	0	0	0	0	0.109	0.318	0.234	0.146	0.549
AAEL002761	AAEL005463	7159.Q17H75	7159.Q179X5	0	0	0	0	0.123	0.132	0.217	0.135	0.415
AAEL002813	AAEL011890	7159.Q17H51	7159.Q16NR7	0	0	0	0	0.151	0.445	0	0	0.508
AAEL002851	AAEL006399	7159.Q17GX9	7159.Q0IFA2	0	0	0	0	0.054	0.407	0	0.047	0.418
AAEL002851	Q1HR69_AEDAE	7159.Q17GX9	7159.Q1HR69	0	0	0	0	0.498	0.278	0	0.186	0.679
AAEL002913	AAEL006189	7159.Q17GS0	7159.Q177A9	0	0	0	0	0.088	0	0.601	0.136	0.658
AAEL002936	AAEL006189	7159.Q17GP4	7159.Q177A9	0	0	0	0	0	0.175	0	0.439	0.517
AAEL003001	AAEL006399	7159.Q17GJ0	7159.Q0IFA2	0	0	0	0	0.048	0.478	0	0	0.481
AAEL003001	AAEL009448	7159.Q17GJ0	7159.Q16IF7	0	0	0	0	0	0.703	0.251	0.183	0.802
AAEL003001	AAEL011709	7159.Q17GJ0	7159.Q16PA7	0	0	0	0	0	0	0	0.538	0.538
AAEL003001	AAEL007388	7159.Q17GJ0	7159.Q172G9	0	0	0	0	0.488	0	0	0	0.487
AAEL003001	AAEL007353	7159.Q17GJ0	7159.Q172K9	0	0	0	0	0	0.275	0.610	0.523	0.853
AAEL003013	AAEL008622	7159.Q17GI1	7159.Q16Y82	0	0	0.186	0.581	0.074	0.840	0.954	0.286	0.995
AAEL003167	AAEL003169	7159.Q17G70	7159.Q17G69	0	0.899	0.272	0	0	0	0	0	0.923
AAEL003169	AAEL004133	7159.Q17G69	7159.Q17DL2	0	0	0.059	0.962	0	0	0.900	0	0.901
AAEL003191	AAEL003199	7159.Q17G52	7159.Q17G54	0	0.598	0	0.702	0	0	0	0.131	0.636
AAEL003267	Q1HR69_AEDAE	7159.Q17FX3	7159.Q1HR69	0.077	0	0	0	0.042	0.274	0	0.291	0.483
AAEL003290	AAEL007876	7159.Q17FU9	7159.Q170K8	0	0	0	0	0	0.300	0.213	0.045	0.427
AAEL003290	AAEL007890	7159.Q17FU9	7159.Q170K9	0	0	0	0	0	0.300	0.213	0.045	0.427
AAEL003292	AAEL003304	7159.Q17FU6	7159.Q17FU7	0	0.878	0	0	0	0	0	0	0.878
AAEL003407	AAEL014033	7159.Q17FE8	7159.Q16HG5	0	0	0.394	0	0	0	0	0.538	0.708
AAEL003407	AAEL006710	7159.Q17FE8	7159.Q175B9	0	0	0.382	0	0	0	0	0.079	0.406
AAEL003407	AAEL003979	7159.Q17FE8	7159.Q17E15	0	0	0.461	0	0	0	0	0.538	0.740
AAEL003407	AAEL003414	7159.Q17FE8	7159.Q17FE9	0	0.679	0	0	0	0	0	0	0.679
AAEL003414	AAEL014033	7159.Q17FE9	7159.Q16HG5	0	0	0	0	0	0	0	0.538	0.538
AAEL003414	AAEL003979	7159.Q17FE9	7159.Q17E15	0	0	0	0	0	0	0	0.538	0.538
AAEL003592	AAEL003609	7159.Q17F08	7159.Q17F07	0	0.900	0.293	0	0	0	0	0	0.926
AAEL003609	AAEL014730	7159.Q17F07	7159.Q16FK4	0	0.900	0.295	0	0	0	0	0	0.926
AAEL003953	AAEL012723	7159.Q17E44	7159.Q16L96	0	0	0.160	0.626	0	0	0.646	0.127	0.717
AAEL003979	AAEL006710	7159.Q17E15	7159.Q175B9	0	0	0.316	0	0	0.099	0	0.206	0.467
AAEL004457	J9HFE1_AEDAE	7159.Q1HRI9	7159.J9HFE1	0.130	0	0	0	0.055	0.777	0	0.215	0.836
AAEL004457	AAEL008517	7159.Q1HRI9	7159.Q16YK5	0.130	0	0	0	0.055	0.777	0	0.215	0.836
AAEL004457	ARK	7159.Q1HRI9	7159.Q17MT6	0	0	0	0	0	0.323	0.957	0.517	0.984
AAEL004457	Q1HR69_AEDAE	7159.Q1HRI9	7159.Q1HR69	0	0	0	0	0.042	0.050	0	0.560	0.564
AAEL004463	AAEL004478	7159.Q17CP5	7159.Q17CP4	0	0.870	0	0	0	0	0	0	0.870
AAEL004464	AAEL014207	7159.Q17CP3	7159.Q16GZ8	0	0	0.441	0	0	0	0	0	0.441
AAEL004464	AAEL012288	7159.Q17CP3	7159.Q16MJ6	0	0	0.441	0	0	0	0	0	0.441
AAEL004525	AAEL015231	7159.Q17CM5	7159.Q16EF2	0	0.825	0	0	0	0	0	0	0.825
AAEL004525	AAEL014521	7159.Q17CM5	7159.Q16G51	0	0.777	0	0	0	0	0	0	0.777
AAEL004549	AAEL013529	7159.Q17CG1	7159.Q16IW8	0	0.888	0	0	0	0	0	0	0.888
AAEL004549	AAEL012541	7159.Q17CG1	7159.Q16LS6	0	0.786	0	0	0	0	0	0	0.786
AAEL004651	AAEL006876	7159.Q17C93	7159.Q174K3	0	0	0	0	0	0.053	0	0.538	0.543
AAEL004715	AAEL010555	7159.Q17C29	7159.Q16SL7	0	0	0	0	0	0	0	0.441	0.441
AAEL004715	AAEL010126	7159.Q17C29	7159.Q16TT9	0	0	0	0	0	0	0	0.590	0.590
AAEL004715	AAEL009400	7159.Q17C29	7159.Q16VZ3	0	0	0	0	0	0.738	0.590	0.263	0.913
AAEL004717	AAEL005302	7159.Q17C39	7159.Q17AG5	0	0	0	0	0	0	0	0.420	0.420
AAEL005089	AAEL005099	7159.Q17B44	7159.Q17B43	0	0.875	0	0	0	0	0	0	0.875
AAEL005581	AAEL008816	7159.Q179N7	7159.Q16XQ1	0	0	0	0	0	0.063	0	0.452	0.464
AAEL005655	AAEL008622	7159.Q179E9	7159.Q16Y82	0	0	0	0	0	0	0	0.419	0.418
AAEL005679	AAEL013066	7159.Q179A9	7159.Q16KA6	0	0.846	0.219	0	0	0	0	0	0.874
AAEL005741	AAEL008371	7159.Q178X8	7159.Q16Z01	0	0	0	0	0.044	0	0	0.472	0.473
AAEL005766	AAEL005895	7159.Q178U8	7159.Q0IFC5	0	0	0	0	0	0	0	0.467	0.467
AAEL005766	AAEL006912	7159.Q178U8	7159.Q174F7	0	0	0	0	0	0.089	0	0.405	0.435
AAEL005766	AAEL010821	7159.Q178U8	7159.Q1HR99	0	0	0	0	0.069	0	0	0.547	0.560
AAEL005895	AAEL007890	7159.Q0IFC5	7159.Q170K9	0	0	0	0	0	0.438	0.082	0.205	0.554
AAEL005895	AAEL007876	7159.Q0IFC5	7159.Q170K8	0	0	0	0	0	0.438	0.082	0.205	0.554
AAEL006038	AAEL008371	7159.Q177S2	7159.Q16Z01	0	0	0	0	0.305	0.133	0.170	0.069	0.472
AAEL006149	AAEL006152	7159.Q177H3	7159.Q177H4	0	0.402	0	0	0	0	0	0	0.402
AAEL006189	AAEL006912	7159.Q177A9	7159.Q174F7	0	0	0	0	0.457	0	0.240	0.074	0.584
AAEL006710	AAEL014033	7159.Q175B9	7159.Q16HG5	0	0	0.240	0	0	0.099	0	0.206	0.408
AAEL006710	AAEL008507	7159.Q175B9	7159.Q16YK1	0	0	0	0	0	0.451	0	0.184	0.532
AAEL006803	AAEL006813	7159.Q174R9	7159.Q174R8	0	0.692	0	0	0	0	0	0	0.692
AAEL007359	AAEL009630	7159.Q172J7	7159.Q16VA1	0	0	0	0	0	0.125	0.678	0.096	0.723
AAEL007441	AAEL010716	7159.Q1HRN7	7159.Q16S36	0	0	0	0	0.554	0.382	0.088	0.160	0.760
AAEL007876	AAEL014620	7159.Q170K8	7159.Q16FV7	0	0	0	0	0	0.300	0.213	0.045	0.427
AAEL007876	AAEL013997	7159.Q170K8	7159.Q16HK0	0	0	0	0	0	0.533	0.084	0.047	0.556
