"uniprot_id","protein_name","species","mirna","mirna_expression","common_mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"J9EAN8","nrv2","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"J9EAN8_AEDAE",NA,NA,"This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane","intracellular potassium ion homeostasis; intracellular sodium ion homeostasis; potassium ion import across plasma membrane; sodium ion export across plasma membrane","ATPase activator activity","Sodium / potassium ATPase beta chain","nrv2","Na_K-ATPase","Sodium/potassium-transporting ATPase subunit beta","Sodium / potassium ATPase beta chain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IG29","SMYD4","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL003527",NA,"Protein-lysine N-methyltransferase SMYD4","Protein-lysine N-methyltransferase. Monomethylates PRMT5, modulating its transcriptional activity. May also act as a histone methyltransferase. Plays a critical role in cardiac development. Acts as a key epigenetic regulator of gene expression during cardiac development via its dual activities as a methyltransferase and negative regulator of HDAC1","compound eye photoreceptor development; methylation","histone deacetylase binding; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","SET domain","SMYD4","SET,zf-MYND","Zinc finger, MYND-type","MYND finger","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16FK4","LRBA","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL014730",NA,NA,NA,"protein localization","protein kinase binding","Neurobeachin","LRBA","Beach,DUF1088,DUF4704,Laminin_G_3,PH_BEACH,WD40","Neurobeachin, beta-propeller domain","Neurobeachin beta propeller domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16GL8","Tl","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL014337","Mitotic protein phosphatase 1 regulator, putative.",NA,NA,NA,NA,"Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Leucine-rich repeat","Leucine rich repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HK0","GNB4","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL013997",NA,NA,NA,"signal transduction",NA,"Guanine nucleotide-binding protein","GNB4","WD40","G-protein subunit beta 1-5","G protein beta WD-40 repeat protein","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16I15","chinmo","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL013830","Bmp-induced factor.",NA,NA,"animal organ development; developmental process involved in reproduction; neuron development; regulation of transcription by RNA polymerase II","zinc ion binding","Broad-Complex, Tramtrack and Bric a brac","chinmo","BTB,zf-C2H2,zf-C2H2_4","Zinc finger C2H2-type","Zinc finger, C2H2 type","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16I75","PRDM1","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL013770","Zinc finger protein.",NA,NA,"adaptive immune response; cell fate commitment; innate immune response","DNA-binding transcription repressor activity, RNA polymerase II-specific; N-methyltransferase activity; protein methyltransferase activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain","PRDM1","SET,zf-C2H2","SET domain","PR domain zinc finger protein 2, PR domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16I88","Q16I88","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL013758",NA,NA,NA,NA,NA,"CD80-like C2-set immunoglobulin domain",NA,"C2-set_2,Ig_3,V-set,ig","CD80-like, immunoglobulin C2-set","CD80-like C2-set immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16IN4","EGFLAM","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL013602",NA,NA,NA,NA,NA,"Laminin G domain","EGFLAM","EGF,Laminin_G_1,Laminin_G_2,fn3,hEGF","Laminin G domain","Laminin G domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16IW8","SYN3","Aedes aegypti","aae-mir-34-5p","up-regulated","no","GO:0048731","System development",90,1578,0.41,1.05,1.07e-12,"AAEL013529",NA,NA,NA,"neurotransmitter secretion",NA,"It is involved in the biological process described with neurotransmitter secretion","SYN3","Synapsin,Synapsin_C,Synapsin_N","Synapsin, ATP-binding domain","Synapsin, ATP binding domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
