"species","mirna","enrichment_fdr","n_genes","pathway_genes","fold_enrichment","pathway","url","gene_id","Description","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","ensembl_id","source"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,5,53,7.084135541,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","A0A1S4G6E5",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,5,53,7.084135541,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","A0A1S4FAT3","Mothers against decapentaplegic homolog [Source:UniProtKB/TrEMBL;Acc:A0A1S4FAT3]","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,5,53,7.084135541,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","A0A1S4FJZ7","jnk","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,5,53,7.084135541,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","Q0IE98",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,5,53,7.084135541,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","Q16HF3",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,6,91,4.951110114,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","A0A1S4FJZ7","jnk","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,6,91,4.951110114,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q16XW4","shc transforming protein","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,6,91,4.951110114,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","A0A0P6K0X9",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,6,91,4.951110114,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q0IE98",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,6,91,4.951110114,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q17EH0",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti","aae-mir-5119-5p",0.03840588731,6,91,4.951110114,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","Q17GI1","dual specificity mitogen-activated protein kinase kinase 4 MAPKK4","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes albopictus","aal-miR-193-5p",0.00675596,2,18,54.1203704,"GO:0006665 sphingolipid metabolic proc.","http://amigo.geneontology.org/amigo/term/GO:0006665","CCG001475.1","Non-lysosomal glucosylceramidase [Source:UniProtKB/TrEMBL;Acc:A0A182G2J8]","GO Biological Process","phospholipid","shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene","Symbol"
