species,mirna,enrichment_fdr,n_genes,pathway_genes,fold_enrichment,pathway,url,genes,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,ensembl_id
Aedes aegypti,aae-mir-34-5p,0.006766145238,8,39,6.924488356,GO:0015698 inorganic anion transport,http://amigo.geneontology.org/amigo/term/GO:0015698,Q17AX2 Q173U8 A0A1S4FJ60 Q16RK1 Q16P14 Q1HR57,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.02260406145,7,48,4.92287844,GO:0098656 anion transmembrane transport,http://amigo.geneontology.org/amigo/term/GO:0098656,Q17AX2 A0A1S4FJ60 Q16RK1 Q16P14 Q1HR57,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL6,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.007028063064,11,82,4.52836205,GO:0048513 animal organ development,http://amigo.geneontology.org/amigo/term/GO:0048513,Q17NT7 A0A1S4EWB0 A0A1S4F874 Q16KR1 A0A1S4FKJ6 A0A1S4FWE5 A0A1S4G219 A0A1S4G744 Q170K4 Q16LX7 Q16WM1,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL7,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.01809083963,8,60,4.500917431,GO:0006820 anion transport,http://amigo.geneontology.org/amigo/term/GO:0006820,Q17AX2 Q173U8 A0A1S4FJ60 Q16RK1 Q16P14 Q1HR57,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL8,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.01080377934,22,308,2.411205767,GO:0048856 anatomical structure development,http://amigo.geneontology.org/amigo/term/GO:0048856,Q17NT7 A0A1S4EWB0 Q17LA6 Q17H88 A0A1S4F874 Q16KR1 Q17A79 Q174T9 A0A1S4FJQ9 A0A1S4FKJ6 A0A1S4FWE5 A0A1S4G219 A0A1S4G744 Q17G69 A0A1S4EYV5 Q16FB0 Q170K4 Q16LX7 A0A1S4G017 Q17DL2 Q16Q60 Q16WM1,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL9,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.01617872623,22,327,2.271105126,GO:0032502 developmental proc.,http://amigo.geneontology.org/amigo/term/GO:0032502,Q17NT7 A0A1S4EWB0 Q17LA6 Q17H88 A0A1S4F874 Q16KR1 Q17A79 Q174T9 A0A1S4FJQ9 A0A1S4FKJ6 A0A1S4FWE5 A0A1S4G219 A0A1S4G744 Q17G69 A0A1S4EYV5 Q16FB0 Q170K4 Q16LX7 A0A1S4G017 Q17DL2 Q16Q60 Q16WM1,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL10,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.01080377934,31,510,2.051888829,GO:0009889 reg. of biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0009889,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FJ71 A0A1S4FM75 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G0T1 A0A1S4G1X1 Q16G14 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL11,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.02294669732,27,461,1.977084121,GO:1903506 reg. of nucleic acid-templated transcription,http://amigo.geneontology.org/amigo/term/GO:1903506,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL12,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.02294669732,27,461,1.977084121,GO:0006355 reg. of transcription DNA-templated,http://amigo.geneontology.org/amigo/term/GO:0006355,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL13,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.02294669732,27,461,1.977084121,GO:2001141 reg. of RNA biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:2001141,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL14,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.01080377934,37,652,1.915651207,GO:0051171 reg. of nitrogen compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0051171,Q17MR3 A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 Q16I15 A0A1S4F8Q2 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 A0A0P6IX28 Q174A4 A0A1S4FGH1 A0A1S4FJ71 Q16WI3 A0A1S4FM75 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A0P6IVL3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL15,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.01080377934,37,653,1.912717591,GO:0080090 reg. of primary metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0080090,Q17MR3 A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 Q16I15 A0A1S4F8Q2 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 A0A0P6IX28 Q174A4 A0A1S4FGH1 A0A1S4FJ71 Q16WI3 A0A1S4FM75 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A0P6IVL3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL16,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.009607063276,41,731,1.89334078,GO:0019222 reg. of metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0019222,Q17MR3 A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 Q16I15 A0A1S4F8Q2 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD07 Q176B9 Q175K5 A0A0P6IX28 Q174A4 A0A1S4FGH1 A0A1S4FJ71 Q16WI3 A0A1S4FM75 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G0T1 A0A1S4G1X1 Q16G14 A0A1S4G6Y0 A0A0P6IVL3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL17,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.02294669732,32,584,1.849692095,GO:0010468 reg. of gene expression,http://amigo.geneontology.org/amigo/term/GO:0010468,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD07 Q176B9 Q174A4 A0A1S4FJ71 A0A1S4FM75 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A1S4G6Y0 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL18,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.006766145238,77,1624,1.600541759,GO:0050789 reg. of biological proc.,http://amigo.geneontology.org/amigo/term/GO:0050789,A0A1S4EVA2 Q17NJ1 Q17N19 Q17MR3 A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17J05 Q17I67 Q17H88 A0A1S4F4V4 Q16I15 Q17D24 A0A1S4F8Q2 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD34 A0A1S4FD07 Q176B9 Q175K5 A0A0B4U3Y7 A0A0P6IX28 Q174A4 A0A1S4FFA2 Q1HQW4 A0A1S4FGH1 A0A1S4FJ71 A0A1S4FJ63 A0A1S4EYD6 A0A1S4FKB3 Q16WI3 Q16W03 A0A1S4FM75 Q16VA1 A0A1S4FR12 Q16PP6 A0A1S4FU22 A0A0P6K0V3 A0A1S4FYE1 A0A1S4FYY2 J9HG16 A0A0P6IVB5 Q16IP4 Q16I75 A0A1S4G0T1 Q16HK0 A0A1S4G1X1 Q16G14 A0A1S4G5Q8 A0A1S4G7M5 A0A1S4G6Y0 A0A0P6J4M7 A0A0P6IY86 A0A0P6ITT4 A0A0P6IVL3 A0A0P6K0X9 A0A1S4FER6 A0A0P6IXL7 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 A0A0P6ISZ2 Q17NE5 Q16KH2 Q16Q60 A0A0P6IVK4 A0A0P6JS10 Q16LK0 Q16GL8 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL19,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.01129122709,69,1506,1.546629994,GO:0050794 reg. of cellular proc.,http://amigo.geneontology.org/amigo/term/GO:0050794,A0A1S4EVA2 Q17NJ1 Q17N19 A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17J05 Q17I67 Q17H88 A0A1S4F4V4 Q17D24 A0A1S4F8Q2 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD34 Q176B9 Q175K5 A0A0B4U3Y7 Q174A4 A0A1S4FFA2 Q1HQW4 A0A1S4FGH1 A0A1S4FJ71 A0A1S4FJ63 A0A1S4EYD6 A0A1S4FKB3 Q16W03 A0A1S4FM75 Q16VA1 A0A1S4FR12 Q16PP6 A0A1S4FU22 A0A0P6K0V3 A0A1S4FYE1 A0A1S4FYY2 J9HG16 A0A0P6IVB5 Q16IP4 Q16I75 Q16HK0 A0A1S4G1X1 Q16G14 A0A1S4G5Q8 A0A1S4G7M5 A0A0P6J4M7 A0A0P6IY86 A0A0P6ITT4 A0A0P6K0X9 A0A1S4FER6 A0A0P6IXL7 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 A0A0P6ISZ2 Q17NE5 Q16KH2 Q16Q60 A0A0P6IVK4 A0A0P6JS10 Q16LK0 Q16GL8 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL20,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.009264326381,80,1756,1.537898894,GO:0065007 biological reg.,http://amigo.geneontology.org/amigo/term/GO:0065007,A0A1S4EVA2 Q17NJ1 Q17N19 Q17MR3 A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17J05 Q17I67 Q17H88 A0A1S4F4V4 Q16I15 Q17D24 Q16IW8 A0A1S4F874 A0A1S4F8Q2 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD34 A0A1S4FD07 Q176B9 Q175K5 A0A0B4U3Y7 A0A0P6IX28 Q174A4 A0A1S4FFA2 Q1HQW4 A0A1S4FGH1 A0A1S4FI57 A0A1S4FJ71 A0A1S4FJ63 A0A1S4EYD6 A0A1S4FKB3 Q16WI3 Q16W03 A0A1S4FM75 Q16VA1 A0A1S4FR12 Q16PP6 A0A1S4FU22 A0A0P6K0V3 A0A1S4FYE1 A0A1S4FYY2 J9HG16 A0A0P6IVB5 Q16IP4 Q16I75 A0A1S4G0T1 Q16HK0 A0A1S4G1X1 Q16G14 A0A1S4G5Q8 A0A1S4G7M5 A0A1S4G6Y0 A0A0P6J4M7 A0A0P6IY86 A0A0P6ITT4 A0A0P6IVL3 A0A0P6K0X9 A0A1S4FER6 A0A0P6IXL7 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 A0A0P6ISZ2 Q17NE5 Q16KH2 Q16Q60 A0A0P6IVK4 A0A0P6JS10 Q16LK0 Q16GL8 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL21,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.004444555651,3,4,25.31766055,GO:0034707 chloride channel complex,http://amigo.geneontology.org/amigo/term/GO:0034707,Q16RK1 Q16P14,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL22,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.04532291127,2,3,22.50458716,GO:0009986 cell surface,http://amigo.geneontology.org/amigo/term/GO:0009986,A0A1S4FJ89,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL23,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.01095428886,4,12,11.25229358,GO:0070461 SAGA-type complex,http://amigo.geneontology.org/amigo/term/GO:0070461,Q17J15 Q16IF7 A0A0N8ERY6,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL24,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.03712105077,3,9,11.25229358,GO:0000124 SAGA complex,http://amigo.geneontology.org/amigo/term/GO:0000124,Q16IF7 A0A0N8ERY6,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL25,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.02570976087,5,26,6.491707833,GO:0000123 histone acetyltransferase complex,http://amigo.geneontology.org/amigo/term/GO:0000123,Q17J15 Q16IF7 A0A0P6K0V3 A0A0N8ERY6,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL26,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.03236068168,5,29,5.820151851,GO:0031248 protein acetyltransferase complex,http://amigo.geneontology.org/amigo/term/GO:0031248,Q17J15 Q16IF7 A0A0P6K0V3 A0A0N8ERY6,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL27,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.03236068168,5,29,5.820151851,GO:1902493 acetyltransferase complex,http://amigo.geneontology.org/amigo/term/GO:1902493,Q17J15 Q16IF7 A0A0P6K0V3 A0A0N8ERY6,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL28,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.0001945994022,136,3166,1.450074472,GO:0016020 membrane,http://amigo.geneontology.org/amigo/term/GO:0016020,Q17Q14 A0A1S4EVA2 A0A0P6IW15 A0A1S4EVW1 A0A1S4EWB0 Q17NJ1 Q17NM9 Q17NC4 Q17N19 Q17LP8 Q17KI5 Q17K92 A0A1S4F022 Q17IU2 Q16N73 A0A1S4F2T8 A0A1S4F315 Q17GQ2 Q17GP3 Q17GF2 A0A1S4F5I3 A0A0P6K119 Q1HRI9 Q17CP4 Q17BE2 Q17BD1 A0A1S4F9K8 Q17AX2 Q17AJ3 A0A1S4FA68 A0A1S4FAZ9 A0A1S4FB77 A0A1S4FBA9 Q178A4 A0A1S4FCX3 Q176Y4 Q176W7 Q176S8 A0A1S4FD34 A0A1S4FDA2 Q176D2 Q0IF62 A0A0B4U3Y7 Q174T9 Q173U8 Q173B0 Q1HRN7 Q0IEY6 A0A0P6IUU0 Q170D7 A0A1S4FJ63 A0A1S4FJ60 A0A1S4EYD6 A0A1S4FKX5 Q16WU5 A0A1S4FLP7 Q16WF1 Q16W03 Q16V79 A0A1S4FNS8 A0A1S4FPJ9 J9EAN8 Q16FD7 A0A1S4FR12 Q16SI7 Q16PC8 Q16S36 Q16RY8 A0A1S4FRX2 Q16RK1 A0A1S4G3G5 A0A1S4FSU8 Q16PP6 A0A1S4FU22 Q16PH9 Q16NS2 Q16NF2 Q1HQG4 A0A1S4FVM5 A0A0N8ES45 A0A1S4FWE5 Q16LW6 Q16KJ5 A0A1S4FX89 A0A1S4FYE1 Q16JQ4 A0A1S4FYY2 J9HG16 A0A1S4G0B0 A0A1S4G0T1 Q16GZ8 A0A1S4G219 Q16GJ5 Q17GM1 Q16LQ3 J9HS29 A0A1S4G685 A0A1S4G7M5 A0A1S4G6Y0 A0A1S4G7G9 A0A0P6IZR0 A0A0P6J4J0 A0A1S4G7U1 A0A0P6J5D2 Q17G69 A0A1S4FER6 Q17A91 Q0IG88 Q16ND4 Q16XX7 Q16P14 A0A1S4FXX4 A0A0P6K0Q3 A0A1S4EYV5 A0A1S4FH62 J9EAF0 A0A1S4FMM9 Q1HR57 Q16LX7 Q17FC6 Q17DL2 A0A1S4FQK8 Q16TV9 A0A1S4F358 Q17GP4 Q16EE7 A0A0P6IW43 Q16Q60 Q16GL8 A0A0P6K0P2 Q17GE3,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL29,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.001467186028,117,2767,1.427378043,GO:0031224 intrinsic component of membrane,http://amigo.geneontology.org/amigo/term/GO:0031224,Q17Q14 A0A1S4EVA2 A0A0P6IW15 A0A1S4EVW1 A0A1S4EWB0 Q17NJ1 Q17NM9 Q17NC4 Q17N19 Q17KI5 Q17K92 A0A1S4F022 Q17IU2 Q16N73 A0A1S4F315 Q17GQ2 Q17GF2 A0A1S4F5I3 Q17CP4 Q17BD1 A0A1S4F9K8 Q17AX2 Q17AJ3 A0A1S4FA68 A0A1S4FAZ9 A0A1S4FBA9 Q178A4 A0A1S4FCX3 Q176Y4 Q176W7 Q176S8 A0A1S4FD34 Q176D2 Q0IF62 Q174T9 Q173U8 Q173B0 Q1HRN7 A0A0P6IUU0 Q170D7 A0A1S4FJ63 A0A1S4FJ60 A0A1S4EYD6 A0A1S4FKX5 Q16WU5 A0A1S4FLP7 Q16WF1 Q16V79 A0A1S4FNS8 A0A1S4FPJ9 J9EAN8 Q16FD7 A0A1S4FR12 Q16SI7 Q16S36 Q16RY8 A0A1S4FRX2 Q16RK1 A0A1S4G3G5 A0A1S4FSU8 A0A1S4FU22 Q16PH9 Q16NS2 Q16NF2 Q1HQG4 A0A1S4FVM5 A0A0N8ES45 A0A1S4FWE5 Q16LW6 Q16KJ5 A0A1S4FX89 A0A1S4FYE1 A0A1S4FYY2 J9HG16 A0A1S4G0B0 Q16GZ8 A0A1S4G219 Q16GJ5 Q17GM1 Q16LQ3 J9HS29 A0A1S4G685 A0A1S4G6Y0 A0A1S4G7G9 A0A0P6IZR0 A0A0P6J4J0 A0A1S4G7U1 A0A0P6J5D2 Q17G69 A0A1S4FER6 Q17A91 Q0IG88 Q16ND4 Q16P14 A0A1S4FXX4 A0A0P6K0Q3 A0A1S4EYV5 A0A1S4FH62 A0A1S4FMM9 Q1HR57 Q16LX7 Q17FC6 Q17DL2 A0A1S4FQK8 Q16TV9 A0A1S4F358 Q17GP4 A0A0P6IW43 Q16Q60 Q16GL8 A0A0P6K0P2 Q17GE3,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL30,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.001467186028,116,2754,1.421858448,GO:0016021 integral component of membrane,http://amigo.geneontology.org/amigo/term/GO:0016021,Q17Q14 A0A1S4EVA2 A0A0P6IW15 A0A1S4EVW1 A0A1S4EWB0 Q17NJ1 Q17NM9 Q17NC4 Q17N19 Q17KI5 Q17K92 A0A1S4F022 Q17IU2 Q16N73 A0A1S4F315 Q17GQ2 Q17GF2 A0A1S4F5I3 Q17CP4 Q17BD1 A0A1S4F9K8 Q17AX2 Q17AJ3 A0A1S4FA68 A0A1S4FAZ9 A0A1S4FBA9 Q178A4 A0A1S4FCX3 Q176Y4 Q176W7 Q176S8 A0A1S4FD34 Q176D2 Q0IF62 Q174T9 Q173U8 Q173B0 Q1HRN7 A0A0P6IUU0 Q170D7 A0A1S4FJ63 A0A1S4FJ60 A0A1S4EYD6 A0A1S4FKX5 Q16WU5 A0A1S4FLP7 Q16WF1 Q16V79 A0A1S4FNS8 A0A1S4FPJ9 J9EAN8 Q16FD7 A0A1S4FR12 Q16SI7 Q16S36 Q16RY8 A0A1S4FRX2 Q16RK1 A0A1S4G3G5 A0A1S4FSU8 A0A1S4FU22 Q16PH9 Q16NS2 Q16NF2 Q1HQG4 A0A1S4FVM5 A0A0N8ES45 A0A1S4FWE5 Q16LW6 Q16KJ5 A0A1S4FX89 A0A1S4FYY2 J9HG16 A0A1S4G0B0 Q16GZ8 A0A1S4G219 Q16GJ5 Q17GM1 Q16LQ3 J9HS29 A0A1S4G685 A0A1S4G6Y0 A0A1S4G7G9 A0A0P6IZR0 A0A0P6J4J0 A0A1S4G7U1 A0A0P6J5D2 Q17G69 A0A1S4FER6 Q17A91 Q0IG88 Q16ND4 Q16P14 A0A1S4FXX4 A0A0P6K0Q3 A0A1S4EYV5 A0A1S4FH62 A0A1S4FMM9 Q1HR57 Q16LX7 Q17FC6 Q17DL2 A0A1S4FQK8 Q16TV9 A0A1S4F358 Q17GP4 A0A0P6IW43 Q16Q60 Q16GL8 A0A0P6K0P2 Q17GE3,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL31,aalvpagwg_eg_gene
Aedes aegypti,aae-mir-34-5p,0.004594392256,6,19,10.6600676,GO:0005253 anion channel activity,http://amigo.geneontology.org/amigo/term/GO:0005253,A0A1S4FJ60 Q16RK1 Q16P14 Q1HR57,GO Molecular Function,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL32,aalvpagwg_eg_gene
