"uniprot_id","species","mirna_expression","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id","log10_fdr","term_wrapped"
"Q0IE98","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"AAEL012979",NA,NA,NA,NA,NA,"Immunoglobulin domain",NA,"I-set","EGF-like domain","EGF-like domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
"Q0IE99","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"AAEL012977",NA,NA,NA,NA,"protein kinase activity","Immunoglobulin domain",NA,"I-set","Immunoglobulin I-set","Immunoglobulin I-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
"Q16GL8","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"AAEL014337","Mitotic protein phosphatase 1 regulator, putative.",NA,NA,NA,NA,"Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Leucine-rich repeat","Leucine rich repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
"Q16I88","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"AAEL013758",NA,NA,NA,NA,NA,"CD80-like C2-set immunoglobulin domain",NA,"C2-set_2,Ig_3,V-set,ig","CD80-like, immunoglobulin C2-set","CD80-like C2-set immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
"Q16MK4","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"AAEL012273",NA,NA,NA,"hematopoietic progenitor cell differentiation",NA,"Armadillo repeat-containing protein 6","ARMC6","Arm","LRRK2, ARM repeat domain","LRRK2 ARM repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
"Q170K8","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"AAEL007876","Tyrosine protein kinase with ig domain; Belongs to the protein kinase superfamily. Tyr protein kinase family.","Tyrosine-protein kinase-like otk","Acts as a calcium-dependent, homophilic cell adhesion molecule that regulates neural recognition during the development of the nervous system. Component of the repulsive Plexin signaling response to regulate motor axon guidance at the embryonic stage. Also component of a receptor complex that is required in the adult visual system to innervate the lamina layer; specific targeting of R1-R6 axons","cell surface receptor protein tyrosine kinase signaling pathway; neurogenesis; positive regulation of neuron projection development; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","ATP binding; metal ion binding; transmembrane receptor protein tyrosine kinase activity","Tyrosine protein kinase with ig domain","PTK7","I-set,Ig_3,Pkinase_Tyr","Immunoglobulin I-set","Immunoglobulin I-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
"Q171J8","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"TOLL1A","Toll-like receptor; Belongs to the Toll-like receptor family.",NA,NA,"toll-like receptor signaling pathway","signaling receptor activity","Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","Toll/interleukin-1 receptor homology (TIR) domain","TIR domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
"Q17DL2","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"AAEL004133",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","Echinoid","igcm-1","C2-set_2,I-set,Ig_3,V-set,fn3,ig","Immunoglobulin V-set domain","Immunoglobulin V-set domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
"Q17G69","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"AAEL003169",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","Immunoglobulin C-2 Type","igcm-1","C2-set_2,I-set,Ig_3,V-set,fn3",NA,"Immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
"Q17HA9","Aedes aegypti","up-regulated","GO:0048731","System development",106,1578,0.42,1.18,3.37e-16,"AAEL002754",NA,NA,NA,"cell-cell adhesion","cell adhesion molecule binding","CD80-like C2-set immunoglobulin domain","KIRREL","C2-set_2,I-set,Ig_2,Ig_3,ig",NA,"Immunoglobulin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes",15.4723700991287,"System development"
