"string_id","original_id","uniprot_id","protein_name"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9E9F1","J9E9F1_AEDAE","J9E9F1","POLR3B"
"7159.J9EBD1","J9EBD1_AEDAE","J9EBD1","CHEK1"
"7159.J9HFE1","J9HFE1_AEDAE","J9HFE1","TUFM"
"7159.J9HFE1","J9HFE1_AEDAE","J9HFE1","TUFM"
"7159.J9HFE1","J9HFE1_AEDAE","J9HFE1","TUFM"
"7159.J9HFE1","J9HFE1_AEDAE","J9HFE1","TUFM"
"7159.J9HFE1","J9HFE1_AEDAE","J9HFE1","TUFM"
"7159.J9HFE1","J9HFE1_AEDAE","J9HFE1","TUFM"
"7159.J9HYQ9","J9HYQ9_AEDAE","J9HYQ9","EEF1A1"
"7159.J9HYQ9","J9HYQ9_AEDAE","J9HYQ9","EEF1A1"
"7159.J9HYQ9","J9HYQ9_AEDAE","J9HYQ9","EEF1A1"
"7159.J9HYQ9","J9HYQ9_AEDAE","J9HYQ9","EEF1A1"
"7159.Q0C7B1","AAEL000093","Q0C7B1","RASA2"
"7159.Q0C7B1","AAEL000093","Q0C7B1","RASA2"
"7159.Q0C7B1","AAEL000093","Q0C7B1","RASA2"
"7159.Q0IE94","AAEL012974","Q0IE94","GCSH"
"7159.Q0IE94","AAEL012974","Q0IE94","GCSH"
"7159.Q0IFA2","AAEL006399","Q0IFA2","TEKT2"
"7159.Q0IFA2","AAEL006399","Q0IFA2","TEKT2"
"7159.Q0IFC5","AAEL005895","Q0IFC5","APLP2"
"7159.Q0IFC5","AAEL005895","Q0IFC5","APLP2"
"7159.Q0IFC5","AAEL005895","Q0IFC5","APLP2"
"7159.Q0IGF7","AAEL000397","Q0IGF7","SUPT20H"
"7159.Q16EF2","AAEL015231","Q16EF2","nphp-2"
"7159.Q16F46","AAEL014901","Q16F46","ARHGAP18"
"7159.Q16F46","AAEL014901","Q16F46","ARHGAP18"
"7159.Q16FK4","AAEL014730","Q16FK4","LRBA"
"7159.Q16FV7","AAEL014620","Q16FV7","Q16FV7"
"7159.Q16FV7","AAEL014620","Q16FV7","Q16FV7"
"7159.Q16G51","AAEL014521","Q16G51","nphp-2"
"7159.Q16G89","AAEL014485","Q16G89","Q16G89"
"7159.Q16GZ8","AAEL014207","Q16GZ8","Q16GZ8"
"7159.Q16HG5","AAEL014033","Q16HG5","CELF3"
"7159.Q16HG5","AAEL014033","Q16HG5","CELF3"
"7159.Q16HG5","AAEL014033","Q16HG5","CELF3"
"7159.Q16HK0","AAEL013997","Q16HK0","GNB4"
"7159.Q16HK0","AAEL013997","Q16HK0","GNB4"
"7159.Q16HK0","AAEL013997","Q16HK0","GNB4"
"7159.Q16HK0","AAEL013997","Q16HK0","GNB4"
"7159.Q16HK0","AAEL013997","Q16HK0","GNB4"
"7159.Q16HK0","AAEL013997","Q16HK0","GNB4"
"7159.Q16HK0","AAEL013997","Q16HK0","GNB4"
"7159.Q16HK0","AAEL013997","Q16HK0","GNB4"
"7159.Q16IF7","AAEL009448","Q16IF7","Q16IF7"
"7159.Q16IF7","AAEL009448","Q16IF7","Q16IF7"
"7159.Q16II4","AAEL013651","Q16II4","Q16II4"
