"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL001928-RA","AAEL001928","UPI0000DA8C47","aae-bantam-3p",-24.85,285,308,171
"AAEL010283-RB","AAEL010283","Q16TC6","aae-bantam-3p",-19.63,307,327,169
"AAEL010283-RB","AAEL010283","A0A1S4FPU7","aae-bantam-3p",-19.63,307,327,169
"AAEL010283-RB","AAEL010283","Q16TC7","aae-bantam-3p",-19.63,307,327,169
"AAEL019624-RA","AAEL019624","A0A1S4EUP9","aae-bantam-3p",-19.37,752,773,169
"AAEL019624-RA","AAEL019624","Q0C725","aae-bantam-3p",-19.37,752,773,169
"AAEL009422-RD","AAEL009422","Q16VV6","aae-bantam-3p",-24.58,43,66,167
"AAEL009422-RD","AAEL009422","Q16VV9","aae-bantam-3p",-24.58,43,66,167
"AAEL009422-RE","AAEL009422","Q16VW0","aae-bantam-3p",-24.58,43,66,167
"AAEL009422-RE","AAEL009422","Q16VV7","aae-bantam-3p",-24.58,43,66,167
"AAEL009422-RF","AAEL009422","Q16VV5","aae-bantam-3p",-24.58,43,66,167
"AAEL009422-RF","AAEL009422","A0A1S4FMA0","aae-bantam-3p",-24.58,43,66,167
"AAEL009422-RF","AAEL009422","Q16VV8","aae-bantam-3p",-24.58,43,66,167
"AAEL009422-RG","AAEL009422","A0A0N8ES35","aae-bantam-3p",-24.58,43,66,167
"AAEL009422-RG","AAEL009422","A0A0P6IW47","aae-bantam-3p",-24.58,43,66,167
"AAEL012083-RB","AAEL012083","UPI000B76BD10","aae-bantam-3p",-21.96,3,25,167
"AAEL012083-RC","AAEL012083","UPI000B76B98E","aae-bantam-3p",-21.96,3,25,167
"AAEL012083-RD","AAEL012083","UPI000B77F0B9","aae-bantam-3p",-21.96,65,87,167
"AAEL012083-RE","AAEL012083","Q16N57","aae-bantam-3p",-21.96,3,25,167
"AAEL012083-RE","AAEL012083","A0A1S4FVE7","aae-bantam-3p",-21.96,3,25,167
"AAEL012083-RF","AAEL012083","UPI000B773D38","aae-bantam-3p",-21.96,441,463,167
"AAEL012083-RG","AAEL012083","UPI000B79616F","aae-bantam-3p",-21.96,441,463,167
"AAEL012083-RH","AAEL012083","UPI000B770701","aae-bantam-3p",-21.96,441,463,167
"AAEL012083-RI","AAEL012083","UPI000B789B81","aae-bantam-3p",-21.96,65,87,167
"AAEL012083-RJ","AAEL012083","UPI000B772732","aae-bantam-3p",-21.96,65,87,167
"AAEL012083-RK","AAEL012083","UPI000B772ED2","aae-bantam-3p",-21.96,441,463,167
"AAEL012083-RL","AAEL012083","UPI000B781721","aae-bantam-3p",-21.96,441,463,167
"AAEL026039-RA","AAEL026039","UPI000B76F0D0","aae-bantam-3p",-21.27,478,501,167
"AAEL024534-RA","AAEL024534","Q0IFZ4","aae-bantam-3p",-20.48,1345,1367,167
"AAEL009423-RA","AAEL009423","A0A0P6J545","aae-bantam-3p",-17.41,49,71,167
"AAEL009423-RA","AAEL009423","A0A1S4FM88","aae-bantam-3p",-17.41,49,71,167
"AAEL009423-RA","AAEL009423","Q16VV3","aae-bantam-3p",-17.41,49,71,167
"AAEL023169-RA","AAEL023169","Q172L3","aae-bantam-3p",-23.06,1507,1527,166
"AAEL023169-RB","AAEL023169","Q172L4","aae-bantam-3p",-23.06,1507,1527,166
"AAEL023169-RB","AAEL023169","Q16LX7","aae-bantam-3p",-23.06,1507,1527,166
"AAEL009169-RA","AAEL009169","Q16WM9","aae-bantam-3p",-17.65,2439,2459,166
