"uniprot_id","mirna/enriched_term"
"A0A182G6N9","aal-mir-87"
"A0A182G6N9","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers"
"A0A182GC69","aal-mir-87"
"A0A182GC69","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers"
"A0A182GEI8","aal-mir-87"
"A0A182GEI8","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers"
"A0A182GQQ4","aal-mir-87"
"A0A182GQQ4","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers"
"A0A182H7E8","aal-mir-87"
"A0A182H7E8","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers"
"A0A182H9B0","aal-mir-87"
"A0A182H9B0","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers"
"A0A182HDI8","aal-mir-87"
"A0A182HDI8","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers"
"A0A182G4U6","aal-mir-1951"
"A0A182G4U6","BTB And C-terminal Kelch"
"A0A182GDY7","aal-mir-1951"
"A0A182GDY7","BTB And C-terminal Kelch"
"A0A182GYP6","aal-mir-1951"
"A0A182GYP6","BTB And C-terminal Kelch"
"A0A182G2Q1","aal-mir-4728-5p"
"A0A182G2Q1","Processing of Intronless Pre-mRNAs"
"A0A182GIN2","aal-mir-4728-5p"
"A0A182GIN2","Processing of Intronless Pre-mRNAs"
"A0A182GK16","aal-mir-4728-5p"
"A0A182GK16","Processing of Intronless Pre-mRNAs"
"A0A182GMD7","aal-mir-4728-5p"
"A0A182GMD7","Processing of Intronless Pre-mRNAs"
"A0A182HDC1","aal-mir-4728-5p"
"A0A182HDC1","Processing of Intronless Pre-mRNAs"
"A0A023ECJ9","aal-mir-4728-5p"
"A0A023ECJ9","Intracellular"
"A0A023EFS1","aal-mir-4728-5p"
"A0A023EFS1","Intracellular"
"A0A023EIB6","aal-mir-4728-5p"
"A0A023EIB6","Intracellular"
"A0A023EJQ3","aal-mir-4728-5p"
"A0A023EJQ3","Intracellular"
