"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","GO:0007399","Nervous system development",80,1132,0.44,1.14,3.77e-13,"7159.J9EAN8,7159.Q0IE98,7159.Q0IE99,7159.Q0IFC5,7159.Q0IG29,7159.Q16FK4,7159.Q16GL8,7159.Q16HK0,7159.Q16I15,7159.Q16I88,7159.Q16IN4,7159.Q16IW8,7159.Q16L96,7159.Q16LK0,7159.Q16LS6,7159.Q16LU2,7159.Q16LX7,7159.Q16M53,7159.Q16M54,7159.Q16N85,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16TR7,7159.Q16UC4,7159.Q16VM1,7159.Q16W03,7159.Q16WF1,7159.Q16WM1,7159.Q16XT3,7159.Q16Y82,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q16Z01,7159.Q170K4,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q174K3,7159.Q174W8,7159.Q177R3,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17C93,7159.Q17CG1,7159.Q17D24,7159.Q17DM5,7159.Q17E44,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17GF2,7159.Q17GI1,7159.Q17GP3,7159.Q17HG6,7159.Q17HS6,7159.Q17I67,7159.Q17IA0,7159.Q17IL0,7159.Q17K20,7159.Q17K67,7159.Q17K68,7159.Q17M42,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17NC1,7159.Q17NJ1,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9,7159.Q17PU2","J9EAN8_AEDAE,AAEL012979,AAEL012977,AAEL005895,AAEL003527,AAEL014730,AAEL014337,AAEL013997,AAEL013830,AAEL013758,AAEL013602,AAEL013529,AAEL012723,AAEL012627,AAEL012541,AAEL012517,AAEL012493,AAEL012420,AAEL012416,AAEL012057,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL010144,AAEL009947,AAEL009515,AAEL009377,AAEL009240,AAEL009175,AAEL008773,AAEL008622,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL008371,AAEL007888,AAEL007876,TOLL1A,AAEL007331,AAEL006876,GPRFZ2,AAEL006057,AAEL004737,AAEL004715,AAEL004717,AAEL004651,AAEL004549,AAEL004351,AAEL004088,AAEL003953,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL003109,AAEL003013,AAEL002938,AAEL002690,AAEL002594,AAEL002451,AAEL002411,AAEL002287,AAEL001832,AAEL001780,AAEL001776,AAEL001104,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000729,TOLL8,AAEL000597,AAEL000324,AAEL000242,AAEL000247","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0022008","Neurogenesis",71,941,0.47,1.18,8.24e-13,"7159.J9EAN8,7159.Q0IE98,7159.Q0IE99,7159.Q0IFC5,7159.Q0IG29,7159.Q16FK4,7159.Q16GL8,7159.Q16HK0,7159.Q16I15,7159.Q16I88,7159.Q16IN4,7159.Q16L96,7159.Q16LK0,7159.Q16LU2,7159.Q16LX7,7159.Q16M53,7159.Q16M54,7159.Q16N85,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16UC4,7159.Q16W03,7159.Q16WF1,7159.Q16WM1,7159.Q16XT3,7159.Q16Y82,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q16Z01,7159.Q170K4,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q174K3,7159.Q174W8,7159.Q177R3,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17C93,7159.Q17D24,7159.Q17E44,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17GI1,7159.Q17GP3,7159.Q17HG6,7159.Q17HS6,7159.Q17I67,7159.Q17IA0,7159.Q17IL0,7159.Q17K20,7159.Q17M42,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17NC1,7159.Q17NJ1,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9,7159.Q17PU2","J9EAN8_AEDAE,AAEL012979,AAEL012977,AAEL005895,AAEL003527,AAEL014730,AAEL014337,AAEL013997,AAEL013830,AAEL013758,AAEL013602,AAEL012723,AAEL012627,AAEL012517,AAEL012493,AAEL012420,AAEL012416,AAEL012057,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009947,AAEL009377,AAEL009240,AAEL009175,AAEL008773,AAEL008622,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL008371,AAEL007888,AAEL007876,TOLL1A,AAEL007331,AAEL006876,GPRFZ2,AAEL006057,AAEL004737,AAEL004715,AAEL004717,AAEL004651,AAEL004351,AAEL003953,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL003013,AAEL002938,AAEL002690,AAEL002594,AAEL002451,AAEL002411,AAEL002287,AAEL001832,AAEL001104,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000729,TOLL8,AAEL000597,AAEL000324,AAEL000242,AAEL000247","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",68,887,0.48,1.18,1.44e-12,"7159.Q0IE98,7159.Q0IE99,7159.Q0IFC5,7159.Q0IG29,7159.Q16FK4,7159.Q16GL8,7159.Q16HK0,7159.Q16I15,7159.Q16I88,7159.Q16IN4,7159.Q16L96,7159.Q16LK0,7159.Q16LU2,7159.Q16LX7,7159.Q16M53,7159.Q16M54,7159.Q16N85,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16UC4,7159.Q16W03,7159.Q16WF1,7159.Q16WM1,7159.Q16XT3,7159.Q16Y82,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K4,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q174K3,7159.Q174W8,7159.Q177R3,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17C93,7159.Q17E44,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17GI1,7159.Q17GP3,7159.Q17HG6,7159.Q17HS6,7159.Q17I67,7159.Q17IA0,7159.Q17IL0,7159.Q17K20,7159.Q17M42,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17NC1,7159.Q17NJ1,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9,7159.Q17PU2","AAEL012979,AAEL012977,AAEL005895,AAEL003527,AAEL014730,AAEL014337,AAEL013997,AAEL013830,AAEL013758,AAEL013602,AAEL012723,AAEL012627,AAEL012517,AAEL012493,AAEL012420,AAEL012416,AAEL012057,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009947,AAEL009377,AAEL009240,AAEL009175,AAEL008773,AAEL008622,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL007888,AAEL007876,TOLL1A,AAEL007331,AAEL006876,GPRFZ2,AAEL006057,AAEL004737,AAEL004715,AAEL004717,AAEL004651,AAEL003953,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL003013,AAEL002938,AAEL002690,AAEL002594,AAEL002451,AAEL002411,AAEL002287,AAEL001832,AAEL001104,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000729,TOLL8,AAEL000597,AAEL000324,AAEL000242,AAEL000247","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0030182","Neuron differentiation",63,824,0.48,1.14,1.69e-11,"7159.Q0IE98,7159.Q0IE99,7159.Q0IFC5,7159.Q0IG29,7159.Q16FK4,7159.Q16GL8,7159.Q16I15,7159.Q16I88,7159.Q16IN4,7159.Q16L96,7159.Q16LU2,7159.Q16LX7,7159.Q16M53,7159.Q16M54,7159.Q16N85,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16W03,7159.Q16WF1,7159.Q16WM1,7159.Q16XT3,7159.Q16Y82,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K4,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q174K3,7159.Q174W8,7159.Q177R3,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17C93,7159.Q17E44,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17GI1,7159.Q17GP3,7159.Q17HG6,7159.Q17HS6,7159.Q17I67,7159.Q17IA0,7159.Q17K20,7159.Q17M42,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17NC1,7159.Q17NJ1,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9","AAEL012979,AAEL012977,AAEL005895,AAEL003527,AAEL014730,AAEL014337,AAEL013830,AAEL013758,AAEL013602,AAEL012723,AAEL012517,AAEL012493,AAEL012420,AAEL012416,AAEL012057,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009377,AAEL009240,AAEL009175,AAEL008773,AAEL008622,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL007888,AAEL007876,TOLL1A,AAEL007331,AAEL006876,GPRFZ2,AAEL006057,AAEL004737,AAEL004715,AAEL004717,AAEL004651,AAEL003953,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL003013,AAEL002938,AAEL002690,AAEL002594,AAEL002451,AAEL002411,AAEL001832,AAEL001104,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000729,TOLL8,AAEL000597,AAEL000324,AAEL000242","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048666","Neuron development",52,673,0.48,1.05,1.69e-09,"7159.Q0IFC5,7159.Q0IG29,7159.Q16FK4,7159.Q16GL8,7159.Q16I15,7159.Q16I88,7159.Q16IN4,7159.Q16L96,7159.Q16LX7,7159.Q16M53,7159.Q16M54,7159.Q16N85,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16WF1,7159.Q16WM1,7159.Q16XT3,7159.Q16Y82,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q174K3,7159.Q174W8,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17GI1,7159.Q17GP3,7159.Q17HG6,7159.Q17HS6,7159.Q17I67,7159.Q17K20,7159.Q17M42,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17NJ1,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9","AAEL005895,AAEL003527,AAEL014730,AAEL014337,AAEL013830,AAEL013758,AAEL013602,AAEL012723,AAEL012493,AAEL012420,AAEL012416,AAEL012057,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009240,AAEL009175,AAEL008773,AAEL008622,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL007876,TOLL1A,AAEL007331,AAEL006876,GPRFZ2,AAEL004737,AAEL004715,AAEL004717,AAEL003861,AAEL003609,AAEL003592,AAEL003013,AAEL002938,AAEL002690,AAEL002594,AAEL002451,AAEL001832,AAEL001104,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,TOLL8,AAEL000597,AAEL000324,AAEL000242","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0007611","Learning or memory",25,171,0.76,1.38,5.58e-09,"7159.Q0IE98,7159.Q0IE99,7159.Q0IFC5,7159.Q16FK4,7159.Q16IW8,7159.Q16LS6,7159.Q16LU2,7159.Q16M53,7159.Q16M54,7159.Q16N83,7159.Q16PP6,7159.Q16RU6,7159.Q16Y82,7159.Q16Z01,7159.Q170V1,7159.Q17B43,7159.Q17B44,7159.Q17C29,7159.Q17CG1,7159.Q17D24,7159.Q17F07,7159.Q17F08,7159.Q17IA0,7159.Q17PT9,7159.Q17PU2","AAEL012979,AAEL012977,AAEL005895,AAEL014730,AAEL013529,AAEL012541,AAEL012517,AAEL012420,AAEL012416,AAEL012065,AAEL011565,AAEL010835,AAEL008622,AAEL008371,AAEL007791,AAEL005099,AAEL005089,AAEL004715,AAEL004549,AAEL004351,AAEL003609,AAEL003592,AAEL002411,AAEL000242,AAEL000247","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0007635","Chemosensory behavior",18,86,0.91,1.49,2.06e-08,"7159.Q0IE98,7159.Q0IE99,7159.Q16EP6,7159.Q16FK4,7159.Q16IW8,7159.Q16LS6,7159.Q16LU2,7159.Q16P38,7159.Q16QU1,7159.Q16Z01,7159.Q17B43,7159.Q17B44,7159.Q17CG1,7159.Q17D24,7159.Q17F07,7159.Q17F08,7159.Q17MI1,7159.Q17PT9","AAEL012979,AAEL012977,AAEL015071,AAEL014730,AAEL013529,AAEL012541,AAEL012517,AAEL011773,GPRgr11,AAEL008371,AAEL005099,AAEL005089,AAEL004549,AAEL004351,AAEL003609,AAEL003592,AAEL001005,AAEL000242","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0008355","Olfactory learning",13,39,1.12,1.58,6.72e-08,"7159.Q0IE98,7159.Q0IE99,7159.Q16FK4,7159.Q16IW8,7159.Q16LS6,7159.Q16LU2,7159.Q16Z01,7159.Q17B43,7159.Q17B44,7159.Q17CG1,7159.Q17D24,7159.Q17F07,7159.Q17F08","AAEL012979,AAEL012977,AAEL014730,AAEL013529,AAEL012541,AAEL012517,AAEL008371,AAEL005099,AAEL005089,AAEL004549,AAEL004351,AAEL003609,AAEL003592","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0008306","Associative learning",14,53,1.01,1.44,1.69e-07,"7159.Q0IE98,7159.Q0IE99,7159.Q16FK4,7159.Q16IW8,7159.Q16LS6,7159.Q16LU2,7159.Q16Z01,7159.Q17B43,7159.Q17B44,7159.Q17C29,7159.Q17CG1,7159.Q17D24,7159.Q17F07,7159.Q17F08","AAEL012979,AAEL012977,AAEL014730,AAEL013529,AAEL012541,AAEL012517,AAEL008371,AAEL005099,AAEL005089,AAEL004715,AAEL004549,AAEL004351,AAEL003609,AAEL003592","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0042048","Olfactory behavior",15,76,0.89,1.21,1.22e-06,"7159.Q0IE98,7159.Q0IE99,7159.Q16FK4,7159.Q16IW8,7159.Q16LS6,7159.Q16LU2,7159.Q16P38,7159.Q16Z01,7159.Q17B43,7159.Q17B44,7159.Q17CG1,7159.Q17D24,7159.Q17F07,7159.Q17F08,7159.Q17MI1","AAEL012979,AAEL012977,AAEL014730,AAEL013529,AAEL012541,AAEL012517,AAEL011773,AAEL008371,AAEL005099,AAEL005089,AAEL004549,AAEL004351,AAEL003609,AAEL003592,AAEL001005","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
