"protein_name","mirna/enriched_term"
"IVNS1ABP","aal-mir-276-5p"
"IVNS1ABP","BTB And C-terminal Kelch"
"A0A182GDY7","aal-mir-276-5p"
"A0A182GDY7","BTB And C-terminal Kelch"
"A0A182GYP6","aal-mir-276-5p"
"A0A182GYP6","BTB And C-terminal Kelch"
"A0A182GCB3","aal-mir-276-5p"
"A0A182GCB3","Aspartic peptidase domain superfamily"
"A0A182H373","aal-mir-276-5p"
"A0A182H373","Aspartic peptidase domain superfamily"
"A0A182H681","aal-mir-276-5p"
"A0A182H681","Aspartic peptidase domain superfamily"
"A0A182HEI5","aal-mir-276-5p"
"A0A182HEI5","Aspartic peptidase domain superfamily"
