"species","enrichment_fdr","n_genes","pathway_genes","fold_enrichment","pathway","url","gene_id","Description","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","ensembl_id","source"
"Aedes aegypti",0.01294351,6,25,5.83854545,"Path:aag04215 Apoptosis-multiple species","http://www.genome.jp/kegg-bin/show_pathway?aag04215","Q1HRI9","cytochrome c","KEGG","immune","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,6,25,5.83854545,"Path:aag04215 Apoptosis-multiple species","http://www.genome.jp/kegg-bin/show_pathway?aag04215","Q17MT6","Apaf-1 Related Killer","KEGG","immune","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,6,25,5.83854545,"Path:aag04215 Apoptosis-multiple species","http://www.genome.jp/kegg-bin/show_pathway?aag04215","A0A1S4FDA2","serine protease htra2","KEGG","immune","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,6,25,5.83854545,"Path:aag04215 Apoptosis-multiple species","http://www.genome.jp/kegg-bin/show_pathway?aag04215","A0A1S4FJZ7","jnk","KEGG","immune","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,6,25,5.83854545,"Path:aag04215 Apoptosis-multiple species","http://www.genome.jp/kegg-bin/show_pathway?aag04215","A0A1S4FKB3","jnk","KEGG","immune","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,6,25,5.83854545,"Path:aag04215 Apoptosis-multiple species","http://www.genome.jp/kegg-bin/show_pathway?aag04215","A0FGS9","Inhibitor of Apoptosis (IAP) containing Baculoviral IAP Repeat(s) (BIR domains).","KEGG","immune","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","A0A1S4G6E5",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","Q17DL2",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","A0A1S4F958","limd1","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","A0A1S4FAT3","Mothers against decapentaplegic homolog [Source:UniProtKB/TrEMBL;Acc:A0A1S4FAT3]","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","A0A1S4FJZ7","jnk","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","A0A1S4FKB3","jnk","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","Q16WX3","cyclin e","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","Q0IE98",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","Q17G69",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","Q16HF3",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","A0A0P6JS10",NA,"KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","A0A1S4F874","tyrosine-protein kinase src64b","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","A0A1S4FJQ9","protein tyrosine phosphatase n11 (shp2)","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene","Pasted"
