"mRNA","uniprot_id","gene_name","microRNA","energy","targetStart","targetEnd","score"
"ENST00000486715","Q96RP9","GFM1","hsa-let-7b-3p",-10.85,3994,4035,0.999995625294043
"ENST00000332556","P11279","LAMP1","hsa-miR-548ba",-8.9,1220,1242,0.999994958449283
"ENST00000396252","E2QRP0","NBN","hsa-miR-548ba",-9.5,4191,4206,0.999992430545035
"ENST00000409330","A0A0C4DG07","NBN","hsa-miR-548ba",-9.5,2053,2068,0.999992430545035
"ENST00000263780","Q9UQN3","CHMP2B","hsa-miR-548ba",-8.45,1636,1681,0.999992093242622
"ENST00000471660","Q9UQN3","CHMP2B","hsa-miR-548ba",-8.45,1636,1681,0.999992093242622
"ENST00000535728","A0A0A0MTJ2","SPOCK3","hsa-miR-548ba",-8.46,693,738,0.999992093242622
"ENST00000222644","Q9NZW5","MPP6","hsa-let-7b-3p",-13.51,172,222,0.99999193728111
"ENST00000373491","Q9NU19","TBC1D22B","hsa-let-7b-3p",-12.3,1707,1743,0.999991695924329
"ENST00000396475","Q9NZW5","MPP6","hsa-let-7b-3p",-13.51,172,222,0.999991505805755
"ENST00000399639","Q8NB59","SYT14","hsa-miR-548ba",-8.9,10613,10630,0.999991276722848
"ENST00000484726","Q6ZN30","BNC2","hsa-miR-548ba",-8.8,284,297,0.999990986947005
"ENST00000321453","Q14123","PDE1C","hsa-let-7b-3p",-10.5,2139,2156,0.999990474783565
"ENST00000396191","Q14123","PDE1C","hsa-let-7b-3p",-10.5,2139,2156,0.999990474783565
"ENST00000396193","A0A0A0MS69","PDE1C","hsa-let-7b-3p",-10.5,2139,2156,0.999990474783565
"ENST00000560133","H3BNM9","LINS1","hsa-miR-548ba",-8.75,34,82,0.999990446768584
"ENST00000247881","Q9NYW5","TAS2R4","hsa-let-7b-3p",-13.06,2265,2297,0.999990098725989
"ENST00000451215","Q8WXK1","ASB15","hsa-miR-548ba",-9.5,2134,2147,0.999989798384874
"ENST00000451558","Q8WXK1","ASB15","hsa-miR-548ba",-9.5,2134,2147,0.999989798384874
"ENST00000495132","F2Z3K0","EXOC6","hsa-let-7b-3p",-10.23,490,531,0.9999895685316
"ENST00000428393","A0A0A0MSX1","MFSD14B","hsa-let-7b-3p",-12.91,1490,1540,0.999988827779433
"ENST00000367339","Q9BZM4","ULBP3","hsa-let-7b-3p",-11.1,2238,2250,0.999988437332261
"ENST00000684002",NA,NA,"hsa-let-7b-3p",-12.21,1488,1521,0.999988403324924
"ENST00000682025",NA,NA,"hsa-let-7b-3p",-11.3,1043,1058,0.999988277606303
"ENST00000682300",NA,NA,"hsa-let-7b-3p",-11.3,1043,1058,0.999988277606303
"ENST00000683487",NA,NA,"hsa-let-7b-3p",-11.3,1043,1058,0.999988277606303
"ENST00000262608","A0A0R4J2E1","CECR2","hsa-let-7b-3p",-12.93,5244,5289,0.999988036926122
"ENST00000280557","O43583","DENR","hsa-let-7b-3p",-11.07,1951,1983,0.999988036926122
"ENST00000293328","P51692","STAT5B","hsa-let-7b-3p",-11.61,2404,2447,0.999988036926122
"ENST00000342247","Q9BXF3","CECR2","hsa-let-7b-3p",-12.93,5244,5289,0.999988036926122
"ENST00000355219","H0Y2Z1","CECR2","hsa-let-7b-3p",-12.93,5438,5483,0.999988036926122
"ENST00000373789","Q8IZC4","RTKN2","hsa-let-7b-3p",-13.79,4627,4656,0.999988036926122
"ENST00000400585","B7WPH3","CECR2","hsa-let-7b-3p",-12.93,5244,5289,0.999988036926122
"ENST00000612582","A0A087WT21","CECR2","hsa-let-7b-3p",-12.93,5244,5289,0.999988036926122
"ENST00000333991","O14727","APAF1","hsa-miR-548ba",-9.9,2857,2880,0.999987978454105
"ENST00000357310","O14727","APAF1","hsa-miR-548ba",-9.9,2772,2795,0.999987978454105
"ENST00000359972","O14727","APAF1","hsa-miR-548ba",-9.9,2772,2795,0.999987978454105
"ENST00000373275","Q6RI45","BRWD3","hsa-let-7b-3p",-10.5,6914,6928,0.999987978454105
"ENST00000469430","F8WAV7","INTS6","hsa-let-7b-3p",-13.24,2873,2916,0.999987978454105
"ENST00000550527","O14727","APAF1","hsa-miR-548ba",-9.9,2772,2795,0.999987978454105
"ENST00000551964","O14727","APAF1","hsa-miR-548ba",-9.9,2772,2795,0.999987978454105
"ENST00000672911",NA,NA,"hsa-let-7b-3p",-12.9,353,375,0.999987978454105
"ENST00000375344","Q5SR56","MFSD14B","hsa-let-7b-3p",-12.91,1321,1371,0.999987162312301
"ENST00000450498","H7C1K6","IFI44L","hsa-let-7b-3p",-14.43,70,113,0.999987162312301
"ENST00000366690","P20338","RAB4A","hsa-let-7b-3p",-14.35,1970,2017,0.999986213387936
"ENST00000463745","Q9H0F7","ARL6","hsa-let-7b-3p",-11.44,3129,3158,0.999986213387936
"ENST00000579640","J3KRP6","SS18","hsa-let-7b-3p",-14.24,1528,1574,0.999986213387936
"ENST00000618010","A0A087WYT5","RAB4A","hsa-let-7b-3p",-14.35,1970,2017,0.999986213387936
"ENST00000376499","Q04724","TLE1","hsa-let-7b-3p",-13.22,446,466,0.999985941164799
"ENST00000473414","Q86X83","COMMD2","hsa-let-7b-3p",-13.42,865,917,0.999985584638051
"ENST00000333129","Q5HY92","FIGN","hsa-let-7b-3p",-11.31,6811,6867,0.999985407043755
"ENST00000360905","Q8IUD2","ERC1","hsa-miR-548ba",-10.5,5595,5615,0.999985299166289
"ENST00000397203","Q8IUD2","ERC1","hsa-miR-548ba",-10.5,5595,5615,0.999985299166289
"ENST00000543086","Q8IUD2","ERC1","hsa-miR-548ba",-10.5,5595,5615,0.999985299166289
