"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-375",-24.36,21074,21095,172
"AALF019709-RA","endo beta n-acetylglucosaminidase [Source:Projected from Aedes aegypti (AAEL010527) VB Community Annotation]","A0A182H197","aal-miR-375",-24.15,234,254,170
"AALF015239-RA","leucine-rich transmembrane protein [Source:Projected from Aedes aegypti lvpagwg (AAEL005734) VB Community Annotation]","A0A023EYA0,A0A182GT13","aal-miR-375",-24.9,435,458,166
"AALF021410-RA","Vacuolar protein sorting-associated protein 35 [Source:UniProtKB/TrEMBL;Acc:A0A182H4A9]","A0A182H4A9","aal-miR-375",-22.43,123,144,164
"AALF020334-RA","serine/threonine protein kinase [Source:Projected from Aedes aegypti (AAEL011578) VB Community Annotation]","A0A182H2D3","aal-miR-375",-20.97,736,757,164
"AALF022030-RA","ADP,ATP carrier protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004855) VB Community Annotation]","A0A023EHU8,A0A023ERY5,A0A182H5C0","aal-miR-375",-21.26,278,299,162
"AALF022588-RA","Putative transport and golgi organization 10 [Source:UniProtKB/TrEMBL;Acc:A0A023EVY6]","A0A023EVY6","aal-miR-375",-25.97,14,35,161
"AALF018139-RA","integrin-linked protein kinase 2 (ilk-2) [Source:Projected from Aedes aegypti lvpagwg (AAEL000378) VB Community Annotation]","A0A182GXR3","aal-miR-375",-21.19,260,280,161
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-375",-26.67,24581,24602,160
"AALF015951-RA","UDP-galactose transporter [Source:Projected from Aedes aegypti lvpagwg (AAEL005678) VB Community Annotation]","A0A182GUE8","aal-miR-375",-21.89,133,155,159
"AALF014610-RA","UDP-galactose transporter [Source:Projected from Aedes aegypti (AAEL005678) VB Community Annotation]","A0A182GRT0","aal-miR-375",-20.72,133,155,159
"AALF018436-RA","Enolase-phosphatase E1 (EC 3.1.3.77)(2,3-diketo-5-methylthio-1-phosphopentane phosphatase) [Source:Projected from Aedes aegypti (AAEL000109) VB Community Annotation]","A0A023ER21,A0A023ETU6,A0A182GZ21","aal-miR-375",-20.43,222,245,159
"AALF008385-RA","single-stranded DNA-binding protein mssp-1 [Source:Projected from Aedes aegypti (AAEL007091) VB Community Annotation]","A0A023EUB8,A0A182GE72","aal-miR-375",-20.32,195,219,159
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-375",-24.27,15021,15041,158
"AALF025948-RA","Glucosamine-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:A0A182HBI6]","A0A023EP88,A0A182HBI6","aal-miR-375",-23.38,4467,4490,158
"AALF022802-RA","Putative mitochondrial solute carrier protein [Source:UniProtKB/TrEMBL;Acc:A0A023EMT7]","A0A023EMT7","aal-miR-375",-16.97,350,372,158
"AALF027416-RA","Alpha-1,4 glucan phosphorylase [Source:UniProtKB/TrEMBL;Acc:A0A182HDR9]","A0A182HDR9","aal-miR-375",-21.84,57,76,157
"AALF014954-RA","Putative piopio [Source:UniProtKB/TrEMBL;Acc:A0A023ERW3]","A0A023EMB8,A0A023ENI3,A0A023ERW3,A0A023ETS9","aal-miR-375",-14.62,752,771,157
"AALF021758-RA","splicing factor yt521-b [Source:Projected from Aedes aegypti (AAEL002272) VB Community Annotation]","A0A023ETE8,A0A182H4W0","aal-miR-375",-29.27,1455,1478,156
"AALF016085-RA","atlastin [Source:Projected from Aedes aegypti (AAEL003109) VB Community Annotation]","A0A182GUP1","aal-miR-375",-23.25,3,25,155
"AALF011270-RA","cleavage and polyadenylation specificity factor cpsf [Source:Projected from Aedes aegypti (AAEL000832) VB Community Annotation]","A0A182GK16","aal-miR-375",-17.95,391,412,155
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-375",-17.63,16579,16602,155
"AALF007761-RA","Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A182GCY7]","A0A182GCY7","aal-miR-375",-14.88,98,119,155
"AALF026128-RA","inosine-uridine preferring nucleoside hydrolase [Source:Projected from Aedes aegypti (AAEL002176) VB Community Annotation]","A0A182HBT0","aal-miR-375",-27.83,198,218,154
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-375",-18.13,22558,22578,154
"AALF014553-RA","hemomucin [Source:Projected from Aedes aegypti (AAEL006196) VB Community Annotation]","A0A023EV07,A0A023EVJ8,A0A182GRP8","aal-miR-375",-20.99,4,23,153
"AALF004462-RA","ssm4 protein [Source:Projected from Aedes aegypti (AAEL009353) VB Community Annotation]","A0A182G786","aal-miR-375",-17.29,2464,2485,153
"AALF012626-RA","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","A0A023EQQ3","aal-miR-375",-15.89,20702,20723,153
"AALF014760-RA","alpha-1,2-Mannosidase [Source:UniProtKB/TrEMBL;Acc:A0A182GS33]","A0A182GS33,A0A1W7R8J6","aal-miR-375",-15.64,4887,4906,153
"AALF012021-RA","Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023ETW7]","A0A023ETW7","aal-miR-375",-22.63,866,891,152
"AALF007045-RA","Galactose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182GBM7]","A0A182GBM7","aal-miR-375",-22.54,93,114,152
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aal-miR-375",-22.07,12039,12060,152
"AALF004132-RA","development and differentiation-enhancing factor, ddef [Source:Projected from Aedes aegypti (AAEL003487) VB Community Annotation]","A0A182G6N6","aal-miR-375",-19.51,77,100,152
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-375",-16.64,1802,1823,152
"AALF026911-RA","GPCR Orphan/Putative Class B Family [Source:Projected from Aedes aegypti (AAEL006957) VB Community Annotation]","A0A182HD07,A0A1W7R6U0","aal-miR-375",-14.86,179,200,152
"AALF016961-RA","Clip-Domain Serine Protease  family B. [Source:Projected from Aedes aegypti (AAEL000074) VB Community Annotation]","A0A023EQN2,A0A023ER34,A0A023ER99,A0A023ETH3,A0A182GWB2,A0A1W7R7W4,A0A1W7R7Y9","aal-miR-375",-21.7,504,527,151
"AALF027460-RA","folate carrier protein [Source:Projected from Aedes aegypti (AAEL006879) VB Community Annotation]","A0A023EIT4,A0A023EN89,A0A182HDU3","aal-miR-375",-19.35,3139,3160,151
"AALF002860-RA","supervillin [Source:Projected from Aedes aegypti (AAEL003105) VB Community Annotation]","A0A023ER95,A0A023ESF2,A0A182G4P6","aal-miR-375",-16.79,1274,1297,151
"AALF002478-RA","ubiquitination factor E4 [Source:Projected from Aedes aegypti (AAEL006910) VB Community Annotation]","A0A182G419","aal-miR-375",-14.98,43,64,151
"AALF002317-RA","glucosyl/glucuronosyl transferases [Source:Projected from Aedes aegypti (AAEL003076) VB Community Annotation]","A0A023ETG1,A0A182G3U1,A0A1W7R8D2,A0A1W7R8H3,A0A1W7R8K9","aal-miR-375",-14.16,1994,2015,151
"AALF018341-RA","calcium/calmodulin-dependent protein kinase type 1 (camki) [Source:Projected from Aedes aegypti (AAEL013173) VB Community Annotation]","A0A182GYV1","aal-miR-375",-26.29,618,641,150
"AALF008319-RA","Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A182GE26]","A0A023EQX8,A0A023ERS1,A0A182GE26,A0A1W7R702","aal-miR-375",-26.07,483,507,150
"AALF008473-RA","chordin [Source:Projected from Aedes aegypti (AAEL005627) VB Community Annotation]","A0A182GEE1","aal-miR-375",-21.19,2254,2276,150
"AALF017793-RA","circadian protein clock/arnt/bmal/pas [Source:Projected from Aedes aegypti (AAEL002049) VB Community Annotation]","A0A023EV26,A0A182GXV2","aal-miR-375",-19.62,2352,2372,150
"AALF021451-RA","aquaporin [Source:Projected from Aedes aegypti (AAEL003550) VB Community Annotation]","A0A182H4C7","aal-miR-375",-19.47,198,217,150
"AALF009895-RA","dual specificity protein phosphatase [Source:Projected from Aedes aegypti (AAEL010411) VB Community Annotation]","A0A023EQS3,A0A182GHB6","aal-miR-375",-18.98,776,800,150
"AALF021441-RA","heat shock protein 70 (hsp70)-interacting protein [Source:Projected from Aedes aegypti (AAEL004148) VB Community Annotation]","A0A023EPX6,A0A182H4B7","aal-miR-375",-17.12,368,391,150
"AALF022754-RA","Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023EP79]","A0A023EN21,A0A023EN33,A0A023EP79,A0A023EQE4","aal-miR-375",-16.52,31,52,150
"AALF017522-RA","Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182GXB9]","A0A182GXB9","aal-miR-375",-15.81,575,596,150
"AALF015473-RA","Protein kinase C [Source:Projected from Aedes aegypti (AAEL001108) UniProtKB/TrEMBL;Acc:Q17M58]","A0A182GTH6","aal-miR-375",-14.03,430,451,150
"AALF006625-RA","chromosome region maintenance protein 5/exportin [Source:Projected from Aedes aegypti lvpagwg (AAEL009392) VB Community Annotation]","A0A182GAX7","aal-miR-375",-27.98,514,535,149
