"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"A0A182G4R2"," RP20_CCG002897","AALF002897",NA,"protein_coding","Aedes albopictus","JXUM01S009660",2e-06,"Glutathione synthetase [Source:UniProtKB/TrEMBL;Acc:A0A182G4R2]",40.17,1,29236,1488,2375,147,740,6
"A0A182GIS9"," CCG010630.1","AALF010630",NA,"protein_coding","Aedes albopictus","JXUM01S076365",2e-06,"",51.92,1,1042,924,1042,16,102,1
"A0A182GRS0"," CCG028562.1","AALF028562",NA,"protein_coding","Aedes albopictus","JXUM01S100710",2e-06,"",53.21,1,778,507,778,172,99,1
"A0A023ER40"," RP20_CCG016231","AALF016231",NA,"protein_coding","Aedes albopictus","JXUM01S003720",3e-06,"",52.28,1,7573,1005,7218,180,6033,2
"A0A182GBZ7"," CCG007240.1","AALF007240",NA,"protein_coding","Aedes albopictus","JXUM01S013165",3e-06,"",46.78,1,1071,555,1071,228,288,1
"A0A182H5N2"," CCG022238.1","AALF022238",NA,"protein_coding","Aedes albopictus","JXUM01S027506",5e-06,"",55.91,1,1320,927,1320,105,288,1
"A0A1W7R6I8"," RP20_CCG007238","AALF007238",NA,"protein_coding","Aedes albopictus","JXUM01S001687",7e-06,"",47.64,1,2309,1833,2309,400,76,1
"A0A182G3H7"," CCG002133.1","AALF002133",NA,"protein_coding","Aedes albopictus","JXUM01S009159",1.9e-05,"",40.35,1,12353,1395,11878,10038,445,5
"A0A182HB08"," CCG025628.1","AALF025628",NA,"protein_coding","Aedes albopictus","JXUM01S093635",2e-05,"",53.23,1,496,330,496,58,108,1
"A0A182GBK9"," RP20_CCG007010","AALF007010",NA,"protein_coding","Aedes albopictus","JXUM01S129862",3.2e-05,"",54.46,1,784,162,784,276,346,1
"A0A182GZ59"," RP20_CCG018493","AALF018493",NA,"protein_coding","Aedes albopictus","JXUM01S004347",3.2e-05,"",38.22,1,47501,564,10796,9199,1033,3
