"string_id","original_id","uniprot_id","protein_name"
"7160.A0A023EBS4","RP20_CCG021402","A0A023EBS4","LYRM4"
"7160.A0A023EBS4","RP20_CCG021402","A0A023EBS4","LYRM4"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","A0A023ED66"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","A0A023ED66"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","A0A023ED66"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","A0A023ED66"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","A0A023ED66"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","A0A023ED66"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","A0A023ED66"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","A0A023ED66"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","A0A023ED66"
"7160.A0A023ED66","RP20_CCG004030","A0A023ED66","RPL36"
"7160.A0A023EE18","RP20_CCG009017","A0A023EE18","C19orf12"
"7160.A0A023EFH1","RP20_CCG013111","A0A023EFH1","A0A023EFH1"
"7160.A0A023EFS1","RP20_CCG010314","A0A023EFS1","A0A023EFS1"
"7160.A0A023EFS1","RP20_CCG010314","A0A023EFS1","FABP5"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","A0A023EIB6"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","A0A023EIB6"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","A0A023EIB6"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","A0A023EIB6"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","A0A023EIB6"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","A0A023EIB6"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","A0A023EIB6"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","A0A023EIB6"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","A0A023EIB6"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","RAB1A"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","RAB1A"
"7160.A0A023EIB6","RP20_CCG003697","A0A023EIB6","RAB1A"
"7160.A0A023EID3","RP20_CCG023467","A0A023EID3","A0A023EID3"
"7160.A0A023EID3","RP20_CCG023467","A0A023EID3","ARL1"
"7160.A0A023EID3","RP20_CCG023467","A0A023EID3","ARL1"
"7160.A0A023EID3","RP20_CCG023467","A0A023EID3","ARL1"
"7160.A0A023EID3","RP20_CCG023467","A0A023EID3","ARL1"
"7160.A0A023EID3","RP20_CCG023467","A0A023EID3","ARL1"
"7160.A0A023EID3","RP20_CCG023467","A0A023EID3","ARL1"
"7160.A0A023EID3","RP20_CCG023467","A0A023EID3","ARL1"
"7160.A0A023EID3","RP20_CCG023467","A0A023EID3","ARL1"
"7160.A0A023EIL7","RP20_CCG007410","A0A023EIL7","A0A023EIL7"
"7160.A0A023EJK9","RP20_CCG026399","A0A023EJK9","RAB6B"
"7160.A0A023EJK9","RP20_CCG026399","A0A023EJK9","RAB6B"
"7160.A0A023EJK9","RP20_CCG026399","A0A023EJK9","RAB6B"
"7160.A0A023EJK9","RP20_CCG026399","A0A023EJK9","RAB6B"
"7160.A0A023EJK9","RP20_CCG026399","A0A023EJK9","RAB6B"
"7160.A0A023EJK9","RP20_CCG026399","A0A023EJK9","RAB6B"
"7160.A0A023EJK9","RP20_CCG026399","A0A023EJK9","RAB6B"
"7160.A0A023EJK9","RP20_CCG026399","A0A023EJK9","RAB6B"
"7160.A0A023EJK9","RP20_CCG026399","A0A023EJK9","RAB6B"
"7160.A0A023EJP8","RP20_CCG003534","A0A023EJP8","A0A023EJP8"
"7160.A0A023EJP8","RP20_CCG003534","A0A023EJP8","A0A023EJP8"
"7160.A0A023EJP8","RP20_CCG003534","A0A023EJP8","A0A023EJP8"
"7160.A0A023EJQ3","RP20_CCG003410","A0A023EJQ3","A0A023EJQ3"
"7160.A0A023EKS2","RP20_CCG016093","A0A023EKS2","A0A023EKS2"
"7160.A0A023EKS2","RP20_CCG016093","A0A023EKS2","A0A023EKS2"
"7160.A0A023EKS2","RP20_CCG016093","A0A023EKS2","U2AF1"
"7160.A0A023EKS2","RP20_CCG016093","A0A023EKS2","U2AF1"
"7160.A0A023EKS2","RP20_CCG016093","A0A023EKS2","U2AF1"
"7160.A0A023EKS2","RP20_CCG016093","A0A023EKS2","U2AF1"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","A0A023EPY3"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","A0A023EPY3"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EPY3","RP20_CCG025494","A0A023EPY3","GAPDH"
"7160.A0A023EQ67","RP20_CCG014756","A0A023EQ67","A0A023EQ67"
"7160.A0A023EQ67","RP20_CCG014756","A0A023EQ67","ABHD13"
"7160.A0A023EQE1","RP20_CCG020920","A0A023EQE1","A0A023EQE1"
"7160.A0A023EQE1","RP20_CCG020920","A0A023EQE1","A0A023EQE1"
"7160.A0A023EQE1","RP20_CCG020920","A0A023EQE1","A0A023EQE1"
"7160.A0A023EQE1","RP20_CCG020920","A0A023EQE1","PPP4C"
"7160.A0A023EQE1","RP20_CCG020920","A0A023EQE1","PPP4C"
"7160.A0A023EQE1","RP20_CCG020920","A0A023EQE1","PPP4C"
"7160.A0A023EQE1","RP20_CCG020920","A0A023EQE1","PPP4C"
"7160.A0A023EQE1","RP20_CCG020920","A0A023EQE1","PPP4C"
"7160.A0A023EQV8","RP20_CCG011874","A0A023EQV8","A0A023EQV8"
"7160.A0A023EQV8","RP20_CCG011874","A0A023EQV8","A0A023EQV8"
"7160.A0A023EQV8","RP20_CCG011874","A0A023EQV8","A0A023EQV8"
"7160.A0A023EQV8","RP20_CCG011874","A0A023EQV8","A0A023EQV8"
"7160.A0A023EQV8","RP20_CCG011874","A0A023EQV8","A0A023EQV8"
"7160.A0A023EQV8","RP20_CCG011874","A0A023EQV8","A0A023EQV8"
"7160.A0A023EQV8","RP20_CCG011874","A0A023EQV8","DNAJB5"
"7160.A0A023EQV8","RP20_CCG011874","A0A023EQV8","DNAJB5"
"7160.A0A023ER33","RP20_CCG009155","A0A023ER33","A0A023ER33"
"7160.A0A023ER33","RP20_CCG009155","A0A023ER33","A0A023ER33"
"7160.A0A023ER33","RP20_CCG009155","A0A023ER33","A0A023ER33"
"7160.A0A182G0L9","RP20_CCG000070","A0A182G0L9","A0A182G0L9"
"7160.A0A182G0L9","RP20_CCG000070","A0A182G0L9","A0A182G0L9"
"7160.A0A182G0L9","RP20_CCG000070","A0A182G0L9","A0A182G0L9"
"7160.A0A182G0L9","RP20_CCG000070","A0A182G0L9","A0A182G0L9"
"7160.A0A182G0L9","RP20_CCG000070","A0A182G0L9","A0A182G0L9"
"7160.A0A182G0L9","RP20_CCG000070","A0A182G0L9","A0A182G0L9"
"7160.A0A182G0N5","RP20_CCG000101","A0A182G0N5","A0A182G0N5"
"7160.A0A182G0Q0","RP20_CCG000121","A0A182G0Q0","A0A182G0Q0"
"7160.A0A182G0Q0","RP20_CCG000121","A0A182G0Q0","A0A182G0Q0"
"7160.A0A182G0Q0","RP20_CCG000121","A0A182G0Q0","A0A182G0Q0"
"7160.A0A182G0U6","RP20_CCG000245","A0A182G0U6","A0A182G0U6"
"7160.A0A182G0U6","RP20_CCG000245","A0A182G0U6","A0A182G0U6"
"7160.A0A182G134","RP20_CCG000408","A0A182G134","A0A182G134"
"7160.A0A182G134","RP20_CCG000408","A0A182G134","A0A182G134"
