"species","mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","protein_name","cc_function","go_p","go_f","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q16EP6","AAEL015071","AAEL015071-PA.",NA,NA,NA,"sweet taste receptor activity","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q16FK4","AAEL014730","AAEL014730-PA.",NA,NA,"protein localization","protein kinase binding","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q16IW8","AAEL013529","AAEL013529-PA.",NA,NA,"neurotransmitter secretion",NA,"GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q16LS6","AAEL012541","AAEL012541-PA.",NA,NA,"neurotransmitter secretion",NA,"GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q16P38","AAEL011773","AAEL011773-PA.","Calreticulin",NA,"ERAD pathway; protein folding","calcium ion binding; carbohydrate binding; unfolded protein binding","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q16QU1","GPRgr11","AAEL011174-PA.",NA,NA,NA,"sweet taste receptor activity","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q16Z01","AAEL008371","AAEL008371-PA.",NA,NA,NA,"GTPase activator activity","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q17B43","AAEL005099","Rap GTPase-activating protein.",NA,NA,"regulation of small GTPase mediated signal transduction","GTPase activator activity","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q17B44","AAEL005089","AAEL005089-PA.",NA,NA,NA,NA,"GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q17CG1","AAEL004549","AAEL004549-PA.",NA,NA,"neurotransmitter secretion",NA,"GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q17D24","AAEL004351","AAEL004351-PC; Belongs to the protein kinase superfamily.","non-specific serine/threonine protein kinase",NA,"Wnt signaling pathway","ATP binding; protein serine/threonine kinase activity","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007635","Chemosensory behavior",15,86,0.89,1.21,1.26e-06,"Q17F07","AAEL003609","AAEL003609-PA.",NA,NA,"protein localization","protein kinase binding","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
