"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF020334-RA","serine/threonine protein kinase [Source:Projected from Aedes aegypti (AAEL011578) VB Community Annotation]","A0A182H2D3","aal-miR-92b-3p",-25.61,5410,5430,166
"AALF008947-RA","heterogeneous nuclear ribonucleoprotein [Source:Projected from Aedes aegypti lvpagwg (AAEL010467) VB Community Annotation]","A0A023ET39,A0A182GFC6","aal-miR-92b-3p",-21.45,2661,2681,166
"AALF007772-RA","glucosamine-fructose-6-phosphate aminotransferase [Source:Projected from Aedes aegypti (AAEL009510) VB Community Annotation]","A0A182GCZ5","aal-miR-92b-3p",-22.43,312,332,164
"AALF005612-RA","macroglobulin/complement [Source:Projected from Aedes aegypti (AAEL012267) VB Community Annotation]","A0A023EWE3,A0A182G988,A0A1W7R8N4","aal-miR-92b-3p",-19.52,105,126,163
"AALF004362-RA","rac serine/threonine kinase [Source:Projected from Aedes aegypti (AAEL008823) VB Community Annotation]","A0A182G722","aal-miR-92b-3p",-18.49,443,463,160
"AALF022587-RA","synaptic vesicle protein [Source:Projected from Aedes aegypti (AAEL013884) VB Community Annotation]","A0A182H692","aal-miR-92b-3p",-20.98,678,697,158
"AALF004055-RA","Katanin p60 ATPase-containing subunit A1 [Source:UniProtKB/TrEMBL;Acc:A0A182G6J7]","A0A182G6J7","aal-miR-92b-3p",-16.81,18,40,158
"AALF009319-RA","Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182GG35]","A0A023EQG5,A0A182GG35","aal-miR-92b-3p",-19.49,22,42,157
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-92b-3p",-15.21,13890,13910,157
"AALF009526-RA","translation initiation factor eif-2b gamma subunit [Source:Projected from Aedes aegypti (AAEL011442) VB Community Annotation]","A0A182GGI8","aal-miR-92b-3p",-16.74,86,106,156
"AALF012725-RA","Mucin-like peritrophin [Source:Projected from Aedes aegypti lvpagwg (AAEL004798) UniProtKB/TrEMBL;Acc:Q9GPU9]","A0A182GMZ1,A0A1W7R7I5","aal-miR-92b-3p",-16.01,335,354,156
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aal-miR-92b-3p",-14.37,11471,11491,156
"AALF005741-RA","Protein kinase C [Source:UniProtKB/TrEMBL;Acc:A0A182G9G7]","A0A182G9G7","aal-miR-92b-3p",-16.73,754,774,155
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-92b-3p",-20.32,21777,21799,154
