"","gene_name","microRNA","score"
"1252","SP110","hsa-miR-548ba",0.999903933916194
"1253","SP110","hsa-miR-548ba",0.999903933916194
"1826","SP110","hsa-let-7b-5p",0.999875907354098
"1834","SP110","hsa-let-7b-5p",0.999875907354098
"3656","PTEN","hsa-let-7b-5p",0.999758823678892
"6574","PTEN","hsa-let-7b-3p",0.999483872983034
"15921","LIFR","hsa-let-7b-3p",0.996379027551356
"15936","LIFR","hsa-let-7b-3p",0.996379027551356
"16665","LIFR","hsa-miR-548ba",0.995701643253406
"16698","LIFR","hsa-miR-548ba",0.995701643253406
"18815","LIFR","hsa-miR-548ba",0.993644567985208
"19098","LIFR","hsa-miR-548ba",0.993371058735785
"19145","LIFR","hsa-miR-548ba",0.993371058735785
"20026","LIFR","hsa-miR-548ba",0.991396926885564
"20834","SP110","hsa-miR-548ba",0.991124631264703
"20863","SP110","hsa-miR-548ba",0.991124631264703
