"protein_accession","uniprot_id","md5","seq_length","analysis","signature_accession","signature_description","start_location","stop_location","score","status","date","interpro_accession","interpro_description"
"tr|A0A182HA79|A0A182HA79_AEDAL","A0A182HA79","6f630c136e39dbcff364fb04ffba3116","2156","Pfam","PF21055","ZSWIM4-8, C-terminal","1965","2145","1.1e-70","TRUE","17-10-2025","IPR048370","ZSWIM4-8, C-terminal"
"UPI0007D3BDB9","UPI0007D3BDB9","afc80ab9329a8ddc7549193f2784b043","1031","Pfam","PF23113","E3 ubiquitin-protein ligase MARCHF6-like, C-terminal domain","784","955","5.3e-48","TRUE","17-10-2025","IPR056521","E3 ubiquitin-protein ligase MARCHF6-like, C-terminal domain"
"tr|A0A182H812|A0A182H812_AEDAL","A0A182H812","954439e0a126503d5ec9910651710ab8","815","Pfam","PF24681","KLHDC2/KLHL20/DRC7 Kelch-repeats domain","247","450","8.1e-17","TRUE","17-10-2025",NA,NA
"UPI0007D5DCF4","UPI0007D5DCF4","b5bdab0f7b9b1713f5780c2a4a587e2a","384","Pfam","PF02535","ZIP Zinc transporter","33","379","5.6e-56","TRUE","17-10-2025","IPR003689","Zinc/iron permease"
"tr|A0A182G0N5|A0A182G0N5_AEDAL","A0A182G0N5","2de52cfb4b0d88e43ab0599e90b1d083","803","Pfam","PF02187","Growth-Arrest-Specific Protein 2 Domain","163","231","8.4e-31","TRUE","17-10-2025","IPR003108","GAR domain"
"tr|A0A182HB25|A0A182HB25_AEDAL","A0A182HB25","90a8f0f9114240782664d39c434707a2","1201","Pfam","PF00075","RNase H","927","1047","9.3e-09","TRUE","17-10-2025","IPR002156","Ribonuclease H domain"
"tr|A0A182H5J7|A0A182H5J7_AEDAL","A0A182H5J7","c6f5ac5281af53eb3226421bb306d5b8","231","Pfam","PF02338","OTU-like cysteine protease","162","218","2.4e-05","TRUE","17-10-2025","IPR003323","OTU domain"
"UPI0007D6531F","UPI0007D6531F","c86dfe7b1ea81cbcaae6e4fe7dd4d420","1375","Pfam","PF00183","Hsp90 protein","189","651","0","TRUE","17-10-2025","IPR001404","Heat shock protein Hsp90 family"
"UPI0007D45369","UPI0007D45369","fadd439216afdbfd7e32bde4197cac09","352","Pfam","PF01753","MYND finger","129","166","0.023","TRUE","17-10-2025","IPR002893","Zinc finger, MYND-type"
"UPI0007D1D433","UPI0007D1D433","47b886bd6a69fc6eff3dd90139525c14","168","Pfam","PF05741","Nanos RNA binding domain","123","166","6.6e-11","TRUE","17-10-2025","IPR024161","Zinc finger, nanos-type"
"tr|A0A182G2Q1|A0A182G2Q1_AEDAL","A0A182G2Q1","ec9367a28c8cce7413a5737a60a7c3ec","230","Pfam","PF13869","Nucleotide hydrolase","39","225","5.6e-78","TRUE","17-10-2025","IPR016706","Cleavage/polyadenylation specificity factor subunit 5"
"UPI0007D3E342","UPI0007D3E342","2e44dfd506f8d0ee9552b6fa627440fd","703","Pfam","PF01344","Kelch motif","405","452","0.0089","TRUE","17-10-2025","IPR006652","Kelch repeat type 1"
"tr|A0A023EIB6|A0A023EIB6_AEDAL","A0A023EIB6","d44d41e5c93e440235da29371fabf789","206","Pfam","PF00071","Ras family","15","175","1.1e-64","TRUE","17-10-2025","IPR001806","Small GTPase"
"tr|A0A182H681|A0A182H681_AEDAL","A0A182H681","c524590d06cef4c3eea05c7f147170b2","713","Pfam","PF17919","RNase H-like domain found in reverse transcriptase","459","557","5.6e-29","TRUE","17-10-2025","IPR041577","Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain"
"tr|A0A182H4G7|A0A182H4G7_AEDAL","A0A182H4G7","f00650fc384fb9a6898806c67adf4521","657","Pfam","PF00012","Hsp70 protein","36","633","0","TRUE","17-10-2025","IPR013126","Heat shock protein 70 family"
"tr|A0A182GD72|A0A182GD72_AEDAL","A0A182GD72","4bbc06181ea63dea16084e6e66c9fdf2","393","Pfam","PF00023","Ankyrin repeat","222","243","0.15","TRUE","17-10-2025","IPR002110","Ankyrin repeat"
"tr|A0A182H0X1|A0A182H0X1_AEDAL","A0A182H0X1","dd2d6a4f6ab028e79e36f6b5c24b4264","617","Pfam","PF00069","Protein kinase domain","15","265","4.8e-66","TRUE","17-10-2025","IPR000719","Protein kinase domain"
"UPI0007D6942F","UPI0007D6942F","bf7f90c85de38503723171ce96d00926","391","Pfam","PF21636","Protein phosphatase 1 regulatory subunit 21, C-terminal","284","388","0.0043","TRUE","17-10-2025","IPR049372","Protein phosphatase 1 regulatory subunit 21, C-terminal"
"UPI0007D3AFE7","UPI0007D3AFE7","5606696aefe44b7aa621b72bae8e1639","485","Pfam","PF17921","Integrase zinc binding domain","100","153","1.5e-06","TRUE","17-10-2025","IPR041588","Integrase zinc-binding domain"
"tr|A0A182G6N9|A0A182G6N9_AEDAL","A0A182G6N9","2d03ea9c1c6577282ea06ef3f323f5f6","164","Pfam","PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","14","163","6.5e-12","TRUE","17-10-2025","IPR000477","Reverse transcriptase domain"
"UPI0007D3B793","UPI0007D3B793","aeb224e2abb621274796108df36f5c4f","573","Pfam","PF14749","Acyl-coenzyme A oxidase N-terminal","5","49","1.2e-09","TRUE","17-10-2025","IPR029320","Acyl-coenzyme A oxidase, N-terminal"
