"uniprot_id","species","mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"A0A182G6N9","Aedes albopictus","aal-mir-87","CL:15720","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers",7,102,1.28,0.98,0.00037,"RP20_CCG004135","Reverse transcriptase domain-containing protein.",NA,NA,"DNA biosynthetic process",NA,"Reverse transcriptase (RNA-dependent DNA polymerase)",NA,"RVT_1","Reverse transcriptase domain","Reverse transcriptase (RNA-dependent DNA polymerase)","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GC69","Aedes albopictus","aal-mir-87","CL:15720","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers",7,102,1.28,0.98,0.00037,"RP20_CCG007352","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEI8","Aedes albopictus","aal-mir-87","CL:15720","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers",7,102,1.28,0.98,0.00037,"RP20_CCG008536","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GQQ4","Aedes albopictus","aal-mir-87","CL:15720","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers",7,102,1.28,0.98,0.00037,"RP20_CCG014064","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H7E8","Aedes albopictus","aal-mir-87","CL:15720","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers",7,102,1.28,0.98,0.00037,"RP20_CCG023342","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H9B0","Aedes albopictus","aal-mir-87","CL:15720","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers",7,102,1.28,0.98,0.00037,"RP20_CCG024568","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182HDI8","Aedes albopictus","aal-mir-87","CL:15720","Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers",7,102,1.28,0.98,0.00037,"RP20_CCG027228","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4U6","Aedes albopictus","aal-mir-1951","SM00875","BTB And C-terminal Kelch",3,13,2.2,1.31,0.00078,"RP20_CCG002972","BTB domain-containing protein.",NA,NA,NA,NA,"Galactose oxidase, central domain","IVNS1ABP","BACK,BTB,Kelch_1","BTB/Kelch-associated","BTB And C-terminal Kelch","SMART",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDY7","Aedes albopictus","aal-mir-1951","SM00875","BTB And C-terminal Kelch",3,13,2.2,1.31,0.00078,"RP20_CCG008258","BACK domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMART",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GYP6","Aedes albopictus","aal-mir-1951","SM00875","BTB And C-terminal Kelch",3,13,2.2,1.31,0.00078,"RP20_CCG018278","BTB domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMART",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2Q1","Aedes albopictus","aal-mir-4728-5p","MAP-77595","Processing of Intronless Pre-mRNAs",5,18,1.51,0.76,0.0017,"RP20_CCG001576","Cleavage and polyadenylation specificity factor subunit 5; Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The  [...]","Cleavage and polyadenylation specificity factor subunit 5","Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The CFIm complex acts as a key regulator of cleavage and polyadenylation site choice during APA through its binding to 5'-UGUA-3' elements localized in the 3'-untranslated region (UTR) for a huge number of pre-mRNAs","mRNA 3'-end processing","mRNA binding","Pre-mrna cleavage factor im, 25kD subunit","NUDT21","NUDIX_2","Cleavage/polyadenylation specificity factor subunit 5","Nucleotide hydrolase","Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GIN2","Aedes albopictus","aal-mir-4728-5p","MAP-77595","Processing of Intronless Pre-mRNAs",5,18,1.51,0.76,0.0017,"RP20_CCG010567","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GK16","Aedes albopictus","aal-mir-4728-5p","MAP-77595","Processing of Intronless Pre-mRNAs",5,18,1.51,0.76,0.0017,"RP20_CCG011270","CPSF_A domain-containing protein.","Cleavage and polyadenylation specificity factor subunit 1",NA,NA,"nucleic acid binding","Mono-functional DNA-alkylating methyl methanesulfonate N-term","CPSF1","CPSF_A,MMS1_N","RSE1/DDB1/CPSF1, second beta-propeller","RSE1/DDB1/CPSF1 second beta-propeller","Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMD7","Aedes albopictus","aal-mir-4728-5p","MAP-77595","Processing of Intronless Pre-mRNAs",5,18,1.51,0.76,0.0017,"RP20_CCG012454","RRM domain-containing protein.","Cleavage and polyadenylation specificity factor subunit 6",NA,"mRNA processing","RNA binding","RNA recognition motif","CPSF6","RRM_1","CPSF6/7, RSLD domain, N-terminal region","CPSF6-like, RSLD domain, N-terminal region","Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182HDC1","Aedes albopictus","aal-mir-4728-5p","MAP-77595","Processing of Intronless Pre-mRNAs",5,18,1.51,0.76,0.0017,"RP20_CCG027115","Poly(A) polymerase; Polymerase that creates the 3'-poly(A) tail of mRNA's.","Poly(A) polymerase","Polymerase that creates the 3'-poly(A) tail of mRNA's","mRNA processing; RNA 3'-end processing","ATP binding; metal ion binding; poly(A) RNA polymerase activity; RNA binding","Polymerase","hrg","NTP_transf_2,PAP_RNA-bind,PAP_central","Poly(A) polymerase, RNA-binding domain","Poly(A) polymerase predicted RNA binding domain","Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023ECJ9","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG026969","HIG1 domain-containing protein.","HIG1 domain-containing protein",NA,"mitochondrial respirasome assembly",NA,"Hypoxia induced protein conserved region","HIGD1C","HIG_1_N","Hypoxia induced protein, domain","Hypoxia induced protein conserved region","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
