"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"J9HTN1","GPRGHP4","GPCR Growth Hormone Releasing Hormone Family; Belongs to the G-protein coupled receptor 1 family.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"J9HTV7","AAEL801114","AAEL017419-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"J9HZD6","J9HZD6_AEDAE","Phosphoinositide phospholipase C.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"J9HZV2","J9HZV2_AEDAE","AAEL017168-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q0IEC2","AAEL011420","AAEL011420-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q0IFQ3","AAEL004167","AAEL004167-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16G66","AAEL014507","AAEL014507-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16HG5","AAEL014033","AAEL014033-PA.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16HZ7","AAEL013847","Diacylglycerol kinase, zeta, iota.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0050789","Regulation of biological process",91,5350,0.21,0.48,0.00014,"Q16HZ8","AAEL013849","Diacylglycerol kinase, zeta, iota.","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
