microRNA	mRNA	energy	targetStart	targetEnd	score
aae-miR-305-5p	AALF011532-RA.1	-13.55	7142	7178	0.999536910918837
aae-miR-305-5p	AALF017035-RA.1	-13.7	165	185	0.99950423832212
aae-miR-305-5p	AALF024628-RA.1	-21.55	0	53	0.994637106571349
aae-miR-305-5p	AALF024628-RA.1	-15.1	320	348	0.998272776005288
aae-miR-305-5p	AALF023794-RA.1	-13.2	659	683	0.999594584487819
aae-miR-305-5p	AALF025948-RA.1	-18.8	13419	13463	0.999908532210383
aae-miR-305-5p	AALF026595-RA.1	-13.12	316	333	0.999704715478025
aae-miR-305-5p	AALF005473-RA.1	-16.73	982	1021	0.99131303549548
aae-miR-305-5p	AALF005473-RA.1	-11.92	1319	1354	0.99338527277656
aae-miR-305-5p	AALF027855-RA.1	-20.5	473	518	0.993934178015161
aae-miR-305-5p	AALF022731-RA.1	-17.02	110	130	0.999906673634376
aae-miR-305-5p	AALF003816-RA.1	-14.44	231	282	0.999906673634376
aae-miR-305-5p	AALF006898-RA.1	-12.7	665	685	0.999827220162893
aae-miR-305-5p	AALF001602-RA.1	-13.3	65	87	0.998885632899069
aae-miR-305-5p	AALF007211-RA.1	-14	1780	1815	0.998726338833168
aae-miR-305-5p	AALF007211-RA.1	-14.71	1989	2038	0.991031673267743
aae-miR-305-5p	AALF027115-RA.1	-11.93	12179	12236	0.999903823114105
aae-miR-305-5p	AALF027115-RA.1	-13	12541	12567	0.999906673634376
aae-miR-305-5p	AALF006046-RA.1	-12.94	567	631	0.999125527907125
aae-miR-305-5p	AALF012319-RA.1	-17.9	1831	1860	0.99757678624788
aae-miR-305-5p	AALF004512-RA.1	-15.8	72	105	0.998663595315802
aae-miR-305-5p	AALF020781-RA.1	-11.91	53	105	0.999125527907125
aae-miR-305-5p	AALF022037-RA.1	-16.9	3	21	0.991759651730091
aae-miR-305-5p	AALF013075-RA.1	-13	431	448	0.992517893419896
aae-miR-305-5p	AALF014226-RA.1	-15.1	6081	6102	0.999300086035647
aae-miR-305-5p	AALF011418-RA.1	-21.72	55	87	0.995834106726343
aae-miR-305-5p	AALF004994-RA.1	-16.76	480	533	0.999241106858142
aae-miR-305-5p	AALF014328-RA.1	-14.61	22	82	0.999602655047595
aae-miR-305-5p	AALF027956-RA.1	-14.54	8	41	0.99905064581473
aae-miR-305-5p	AALF009698-RA.1	-16.7	32	54	0.994365970370375
aae-miR-305-5p	AALF025689-RA.1	-12.9	545	580	0.998312122159565
aae-miR-305-5p	AALF007203-RA.1	-16.19	356	396	0.996423745592297
aae-miR-305-5p	AALF004782-RA.1	-13.71	18	55	0.993601979950072
aae-miR-305-5p	AALF004782-RA.1	-14.24	761	828	0.995426835421849
aae-miR-305-5p	AALF011530-RA.1	-12.74	555	576	0.999740459256576
aae-miR-305-5p	AALF011530-RA.1	-13.5	784	820	0.99131303549548
aae-miR-305-5p	AALF012962-RA.1	-14.31	1494	1552	0.999125527907125
aae-miR-305-5p	AALF017917-RA.1	-16.25	386	424	0.999542114427819
aae-miR-305-5p	AALF017917-RA.1	-15.36	641	684	0.998878955207972
aae-miR-305-5p	AALF003712-RA.1	-14	511	538	0.996403871311664
aae-miR-305-5p	AALF011899-RA.1	-13.12	314	331	0.999704715478025
aae-miR-305-5p	AALF028394-RA.1	-14.1	145	163	0.995434379297057
aae-miR-305-5p	AALF007727-RA.1	-18	962	1004	0.997051386733249
aae-miR-305-5p	AALF017448-RA.1	-16.26	97	142	0.998187729470203
aae-miR-305-5p	AALF019989-RA.1	-17.85	140	192	0.995210243924377
aae-miR-305-5p	AALF021891-RA.1	-15.04	1894	1917	0.998663595315802
aae-miR-305-5p	AALF014393-RA.1	-13.48	7	56	0.999602655047595
aae-miR-305-5p	AALF001920-RA.1	-12.72	299	354	0.99935530575911
aae-miR-305-5p	AALF015551-RA.1	-15.8	267	311	0.999827220162893
