miRNA-transcript	Coordinates	numberTargets
aae-miR-276-3p#AALF023425-RA.1	4606-4613,6974-6981	2
aae-miR-11900#AALF001734-RA.1	726-740,745-751	2
aae-miR-11900#AALF007683-RA.1	8988-8995,234-242,17728-17739	3
aae-miR-932-5p#AALF005377-RA.1	8431-8438,38480-38486,28449-28456,6685-6691	4
aae-bantam-3p#AALF007357-RA.1	567-575,550-558	2
aae-miR-11900#AALF008785-RA.1	26474-26481,25782-25789,29624-29631,2176-2182	4
aae-bantam-5p#AALF021651-RA.1	10846-10852,9101-9109	2
aae-miR-308-3p#AALF002219-RA.1	10673-10679,10516-10522,9531-9538	3
aae-miR-11900#AALF020574-RA.1	16286-16296,1701-1708	2
aae-miR-1175-3p#AALF016469-RA.1	2813-2821,2838-2845	2
aae-miR-11900#AALF008969-RA.1	714-725,759-767,772-779	3
aae-miR-1175-3p#AALF014727-RA.1	11148-11155,1832-1839	2
aae-miR-11900#AALF016050-RA.1	6953-6964,6574-6585	2
aae-miR-999-3p#AALF012319-RA.1	17398-17404,8611-8618	2
aae-miR-11900#AALF007988-RA.1	14256-14264,14267-14274,4897-4903	3
aae-miR-3722-5p#AALF025297-RA.1	1359-1365,224-230	2
aae-miR-11900#AALF024211-RA.1	2444-2455,2514-2521	2
aae-miR-932-5p#AALF014226-RA.1	5052-5058,3820-3826,1295-1301	3
aae-miR-124-3p#AALF016069-RA.1	530-537,520-527	2
aae-miR-305-5p#AALF019489-RA.1	1159-1166,551-559	2
aae-miR-932-5p#AALF010296-RA.1	870-877,1559-1566	2
aae-miR-5119-5p#AALF005377-RA.1	2286-2293,10186-10193,30225-30231	3
aae-let-7#AALF023105-RA.1	5157-5163,5145-5153	2
aae-miR-11900#AALF005377-RA.1	7032-7038,33089-33096,38266-38274,3621-3628,20895-20904	5
aae-bantam-5p#AALF019823-RA.1	844-851,228-235	2
aae-miR-11900#AALF011049-RA.1	5982-5989,5962-5969	2
aae-miR-932-5p#AALF022841-RA.1	5589-5596,3210-3216	2
aae-miR-1175-3p#AALF008785-RA.1	5849-5855,2524-2531,2536-2542,21782-21790,21795-21802	5
aae-miR-932-5p#AALF015582-RA.1	4740-4747,3646-3653,8087-8094	3
aae-miR-11900#AALF005836-RA.1	354-362,346-352	2
aae-miR-1175-3p#AALF027144-RA.1	2492-2498,1753-1760,2568-2574,1204-1212,1657-1663,1091-1098,1229-1235,1359-1365,1764-1771,7245-7251	10
aae-miR-11900#AALF008082-RA.1	1363-1380,1071-1082	2
aae-miR-1175-3p#AALF004462-RA.1	1004-1011,3108-3115	2
aae-miR-999-3p#AALF019692-RA.1	13293-13300,12905-12913	2
aae-miR-11900#AALF021651-RA.1	7824-7833,9137-9145,6496-6503,5464-5470	4
aae-miR-4275-5p#AALF011919-RA.1	5220-5227,233-239	2
aae-miR-34-5p#AALF020038-RA.1	357-365,370-376	2
aae-miR-308-3p#AALF008785-RA.1	30246-30253,20623-20630,25357-25363	3
aae-miR-276-3p#AALF007403-RA.1	99-106,852-859	2
aae-miR-932-5p#AALF020712-RA.1	621-627,631-638	2
aae-miR-1175-3p#AALF023282-RA.1	637-644,139-145	2
aae-miR-2945-3p#AALF005377-RA.1	30641-30648,8058-8064	2
aae-miR-2945-3p#AALF006319-RA.1	2247-2254,2237-2245	2
aae-miR-276-3p#AALF000983-RA.1	11214-11221,11201-11209	2
aae-miR-11900#AALF022874-RA.1	372-391,783-789,750-757	3
aae-miR-276-3p#AALF021458-RA.1	30622-30630,32822-32828	2
aae-miR-11900#AALF008334-RA.1	2780-2786,2793-2800	2
aae-miR-11900#AALF015582-RA.1	9714-9722,6559-6566,19851-19860	3
aae-miR-276-3p#AALF000656-RA.1	29-37,40-48	2
aae-miR-11900#AALF000983-RA.1	7524-7531,3733-3741,9707-9718,7086-7093,5110-5121,7403-7412,3847-3854	7
aae-miR-1175-3p#AALF026969-RA.1	1548-1555,724-731	2
aae-miR-5119-5p#AALF021458-RA.1	23344-23351,29786-29793,15425-15431	3
aae-miR-308-3p#AALF023790-RA.1	19697-19703,12770-12776	2
aae-miR-11900#AALF021458-RA.1	8094-8101,8261-8269,18057-18064,28251-28259,29565-29572,31655-31663,8275-8282,137-149,13447-13454	9
aae-miR-11900#AALF026423-RA.1	1306-1322,631-641	2
aae-miR-276-3p#AALF024490-RA.1	32-38,341-347	2
aae-miR-932-5p#AALF004754-RA.1	2342-2348,2228-2234	2
aae-miR-11900#AALF014114-RA.1	1327-1334,273-281	2
aae-miR-11900#AALF013058-RA.1	989-995,976-984	2
aae-miR-3722-5p#AALF007937-RA.1	11242-11249,11233-11239	2
aae-miR-11900#AALF003978-RA.1	11842-11848,11646-11658,11830-11836,7778-7785	4
aae-miR-305-5p#AALF022521-RA.1	30958-30966,4347-4355,38329-38336	3
aae-miR-124-3p#AALF016401-RA.1	10140-10146,9589-9596	2
aae-miR-11900#AALF007802-RA.1	81-89,91-97,525-533	3
aae-miR-11900#AALF007527-RA.1	7972-7978,15284-15291,12566-12574,13098-13105,7862-7869,9929-9936,7980-7990,13109-13115	8
aae-miR-276-3p#AALF020428-RA.1	8540-8548,11841-11847	2
aae-miR-1175-3p#AALF023738-RA.1	2314-2320,2082-2088,2692-2698,3633-3639	4
aae-bantam-5p#AALF027634-RA.1	1783-1790,2399-2406	2
aae-miR-2945-3p#AALF002722-RA.1	340-346,279-286	2
aae-miR-3368-5p#AALF013415-RA.1	7282-7289,5677-5684	2
aae-miR-1175-3p#AALF019692-RA.1	10843-10851,8233-8240,7374-7380,10857-10863	4
aae-miR-276-3p#AALF027309-RA.1	1208-1215,1584-1590	2
aae-miR-932-5p#AALF013836-RA.1	8877-8884,1017-1024	2
aae-miR-4275-5p#AALF017793-RA.1	13422-13428,25916-25923	2
