"X.node1","node2","node1_string_id","node2_string_id","node1_uniprot_id","node2_uniprot_id","id1","id2","protein_name_1","protein_name_2","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"AAEL000093","AAEL009377","7159.Q0C7B1","7159.Q16W03","Q0C7B1","Q16W03","aag:5563620","aag:5571900","RASA2","RAP1A",0,0,0,0,0,0.088,0.227,0.229,0.408
"AAEL000093","AAEL008371","7159.Q0C7B1","7159.Q16Z01","Q0C7B1","Q16Z01","aag:5563620","aag:5570549","RASA2","NF1",0,0,0,0.561,0.067,0,0.545,0.176,0.619
"AAEL000093","AAEL002594","7159.Q0C7B1","7159.Q17HS6","Q0C7B1","Q17HS6","aag:5563620","aga:1272970","RASA2","PAK3",0,0,0,0,0.074,0,0,0.747,0.755
"AAEL000242","AAEL010821","7159.Q17PT9","7159.Q1HR99","Q17PT9","Q1HR99","aag:5572028","aag:5573974","KCNA2","RPLP0",0,0,0,0,0.265,0.334,0.214,0.042,0.582
"AAEL000247","AAEL001340","7159.Q17PU2","7159.Q17LI9","Q17PU2","Q17LI9","aag:5572025","aag:5570072","DYX1C1","CCDC39",0,0,0,0,0.144,0.054,0,0.384,0.457
"AAEL000324","GPRFZ2","7159.Q17PG3","7159.Q174W8","Q17PG3","Q174W8","aag:5575168","aag:5568380","RYK","GPRFZ2",0,0,0,0,0,0.069,0.9,0.143,0.913
"AAEL000364","AAEL002188","7159.Q17PI9","7159.Q17J05","Q17PI9","Q17J05","aag:5575143","aag:5573892","GCSH","Q17J05",0.046,0,0,0,0.356,0,0,0.146,0.429
"AAEL000364","AAEL002220","7159.Q17PI9","7159.Q17J06","Q17PI9","Q17J06","aag:5575143","aag:5573892","GCSH","Q17J06",0.046,0,0,0,0.356,0,0,0.146,0.429
"AAEL000397","AAEL009448","7159.Q0IGF7","7159.Q16IF7","Q0IGF7","Q16IF7","aag:5576322","aag:5571951","SUPT20H","Q16IF7",0,0,0,0,0,0.983,0.371,0.515,0.994
"AAEL000489","AAEL013997","7159.Q17P09","7159.Q16HK0","Q17P09","Q16HK0","aga:1281327","aag:5579061","Pak3","GNB4",0,0,0,0,0.067,0.173,0.281,0.135,0.455
"AAEL000489","AAEL010643","7159.Q17P09","7159.Q16SB0","Q17P09","Q16SB0","aga:1281327","aag:5575304","Pak3","PAK3",0,0.401,0,0,0.068,0.115,0.294,0,0.604
"AAEL000489","AAEL009085","7159.Q17P09","7159.Q16WV5","Q17P09","Q16WV5","aga:1281327","aag:5571449","Pak3","ARHGAP1",0,0,0,0,0,0.073,0.381,0.079,0.425
"AAEL000489","AAEL008622","7159.Q17P09","7159.Q16Y82","Q17P09","Q16Y82","aga:1281327","aag:5570856","Pak3","Q16Y82",0,0,0.183,0.686,0,0.051,0.286,0.045,0.4
"AAEL000489","AAEL007876","7159.Q17P09","7159.Q170K8","Q17P09","Q170K8","aga:1281327","aag:5569737","Pak3","PTK7",0,0,0,0.56,0,0.088,0.369,0.069,0.417
"AAEL000489","AAEL002594","7159.Q17P09","7159.Q17HS6","Q17P09","Q17HS6","aga:1281327","aga:1272970","Pak3","PAK3",0,0,0.096,0.887,0.073,0.123,0.371,0,0.476
"AAEL000703","AAEL011536","7159.Q17NG8","7159.Q16PT5","Q17NG8","Q16PT5","aag:5565921","aag:5574930","PYGB","PGM3",0.17,0,0,0,0.141,0,0.783,0.516,0.915
"AAEL000703","AAEL009838","7159.Q17NG8","7159.Q16UP5","Q17NG8","Q16UP5","aag:5565921","aag:5572509","PYGB","AGL",0.231,0,0,0,0.84,0.15,0.979,0.653,0.999
"AAEL000703","AAEL005766","7159.Q17NG8","7159.Q178U8","Q17NG8","Q178U8","aag:5565921","aag:5567031","PYGB","ALDOC",0.074,0,0,0,0.331,0.042,0,0.699,0.797
"AAEL000868","AAEL000891","7159.Q17MX1","7159.Q17MX7","Q17MX1","Q17MX7","aag:5567198","aag:5567198","Q17MX1","Q17MX7",0,0.377,0,0,0,0,0,0.078,0.401
"AAEL000868","AAEL000908","7159.Q17MX1","7159.Q17MX6","Q17MX1","Q17MX6","aag:5567198","aag:5567198","Q17MX1","DFNB31",0,0.899,0,0,0,0,0,0.078,0.903
"AAEL000891","AAEL000908","7159.Q17MX7","7159.Q17MX6","Q17MX7","Q17MX6","aag:5567198","aag:5567198","Q17MX7","DFNB31",0,0.899,0,0,0,0,0,0,0.899
"AAEL000951","J9HYQ9_AEDAE","7159.Q17MM5","7159.J9HYQ9","Q17MM5","J9HYQ9","aag:5567491","aag:23687721","EEF1B2","EEF1A1",0,0,0,0,0.504,0.849,0.545,0.516,0.981
"AAEL000951","AAEL010821","7159.Q17MM5","7159.Q1HR99","Q17MM5","Q1HR99","aag:5567491","aag:5573974","EEF1B2","RPLP0",0.074,0,0,0,0.952,0.103,0,0.439,0.974
"AAEL001005","Q1HR69_AEDAE","7159.Q17MI1","7159.Q1HR69","Q17MI1","Q1HR69","aag:5567839","aag:23687769","CALR","HSPA5",0,0,0,0,0.729,0.123,0.297,0.549,0.914
"AAEL001104","AAEL009451","7159.Q17M42","7159.Q16VS2","Q17M42","Q16VS2","aag:5568593","aag:5571971","DBNL","ACTB",0,0,0,0,0.042,0.308,0,0.188,0.414
"AAEL001104","AAEL001951","7159.Q17M42","7159.Q6QNY2","Q17M42","Q6QNY2","aag:5568593","aag:5572985","DBNL","ACTB",0,0,0,0,0.042,0.308,0,0.188,0.414
"AAEL001104","AAEL010821","7159.Q17M42","7159.Q1HR99","Q17M42","Q1HR99","aag:5568593","aag:5573974","DBNL","RPLP0",0,0,0,0,0,0.054,0,0.571,0.576
"AAEL001273","AAEL010716","7159.Q17LP8","7159.Q16S36","Q17LP8","Q16S36","aag:5569619","aag:5573790","SEC24B","Sec61alpha",0,0,0,0,0.392,0,0,0.442,0.646
"AAEL001273","AAEL010584","7159.Q17LP8","7159.Q16SI7","Q17LP8","Q16SI7","aag:5569619","aag:5573534","SEC24B","LMAN2",0,0,0,0,0,0.084,0.665,0.13,0.709
